duration,genres,facenumber_in_poster,content_rating
134,Biography|Drama|History,0,R
118,Comedy|Drama|Music|Romance,0,PG-13
121,Comedy|Drama|Romance,8,PG-13
105,Fantasy|Romance,0,PG-13
110,Drama|Romance,0,PG-13
114,Comedy|Crime|Drama,5,PG-13
104,Action|Crime|Drama|Thriller,0,R
100,Comedy,9,R
85,Comedy|Romance,0,PG-13
72,Adventure|Animation|Family|Fantasy,1,G
128,Biography|Drama|History,0,PG-13
72,Adventure|Animation|Family|Musical,0,G
89,Drama|Horror|Mystery|Thriller,0,PG-13
96,Drama|Mystery|Thriller,0,PG-13
77,Animation|Comedy|Drama|Family|Musical,0,G
123,Horror|Mystery|Thriller,1,R
111,Adventure|Family,0,PG
30,Comedy,2,
93,Adventure|Comedy,11,PG-13
129,Adventure|Fantasy,0,R
128,Biography|Crime|Drama|History,2,R
110,Crime|Drama|Thriller,1,PG-13
137,Horror|Thriller,0,PG-13
124,Comedy|Drama|Romance,1,R
93,Adventure|Comedy|Fantasy|Music|Sci-Fi,2,PG
115,Comedy|Drama|Romance|Thriller,1,PG-13
98,Action|Sci-Fi,0,PG
105,Crime|Drama|Thriller,1,R
127,Biography|Drama|Music,1,PG
82,Comedy,7,PG-13
143,Drama,3,R
103,Comedy|Drama,8,R
104,Drama|Mystery,0,PG-13
98,Action|Comedy,5,R
92,Horror|Thriller,0,R
123,Crime|Drama|Mystery|Thriller,0,R
88,Comedy,8,PG-13
158,Comedy|Drama|Musical|Romance|Western,3,PG-13
128,Biography|Drama|History,1,R
107,Action|Adventure|Drama|Mystery,2,PG-13
91,Horror,0,R
90,Adventure|Comedy,4,R
115,Crime|Drama|Mystery|Thriller,3,R
101,Crime|Thriller,0,PG-13
113,Drama|Thriller,3,R
113,Comedy|Drama|Music|Romance,0,R
87,Horror|Mystery,1,PG-13
101,Crime|Drama|Thriller,1,R
111,Crime|Drama|Romance|Thriller,0,R
108,Drama|Fantasy|Romance|Sci-Fi,1,R
105,Comedy|Family|Romance,6,PG
109,Action|Crime|Drama|Thriller,4,R
109,Action|Comedy|Sci-Fi,6,R
99,Comedy|Crime|Family|Mystery|Romance|Thriller,5,PG
98,Action|Horror|Sci-Fi|Thriller,0,R
104,Comedy|Romance,1,R
109,Adventure|Comedy|Family|Romance,3,PG
75,Horror|Thriller,0,PG-13
119,Action|Adventure|Drama|Romance|Western,1,PG-13
90,Adventure|Animation|Comedy|Family|Romance,0,PG
97,Action|Fantasy|Horror|Thriller,0,PG-13
103,Comedy|Drama|Sport,3,PG-13
89,Comedy|Family|Fantasy,4,PG
106,Comedy|Crime|Drama,0,R
96,Adventure|Crime|Mystery|Sci-Fi|Thriller,0,PG-13
115,Crime|Drama|Western,0,R
104,Action|Horror|Thriller,0,R
24,Action|Adventure|Animation|Family|Fantasy,0,
