num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes
127,105,248,Chi McBride,673,Crime|Drama|Mystery|Thriller,Narc ,Alan Van Sprang,1,blood splatter|cover up|murder|police shootout|undercover,214,English,R,7500000,466
9,102,329,Paul Gross,611,Comedy|Drama|Romance|Sport,Men with Brooms ,Kari Matchett,3,championship|coach|curling|marriage|rural setting,83,English,R,7500000,329
35,97,18,Jenny McCarthy,834,Comedy|Crime,Witless Protection ,Richard Bull,2,fbi|polo|possum|sheriff|shotgun,20,English,PG-13,7500000,749
6,118,0,Brenda Strong,373,Drama|Romance,The Work and the Glory ,Tiffany Dupont,1,1830s|baptism|intolerance|mormon church|sibling rivalry,33,English,PG,7500000,266
192,92,406,Mila Kunis,24000,Comedy|Crime|Romance,Extract ,Clifton Collins Jr.,6,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,106,English,R,8000000,15000
51,112,119,Cheech Marin,12000,Comedy|Drama|Music,Masked and Anonymous ,Bruce Dern,0,concert|jail|journalist|revolution|singer,95,English,PG-13,,844
38,103,27,Edouard Baer,71,Comedy|Crime|Drama|Romance|Thriller,Alias Betty ,Roschdy Zem,0,child|criminal|death|depression|novelist,26,French,,50000000,59
133,93,187,Om Puri,631,Drama|Romance|Sci-Fi|Thriller,Code 46 ,Natalie Mendoza,0,genetics|i.d.|love|sphinx|totalitarian,150,English,R,7500000,163
4,101,22,Jenny Agutter,5000,Comedy,Outside Bet ,Vincent Regan,3,,3,English,,7500000,659
287,115,549,Loretta Devine,3000,Crime|Drama|Thriller,Crash ,Jennifer Esposito,0,race relations|racism|racist|social problem|stereotype,1624,English,R,6500000,912
222,113,127,Michael McElhatton,3000,Drama,Albert Nobbs ,Mark Williams,3,19th century|hotel|painter|waiter|woman pretending to be a man,98,English,R,8000000,415
6,95,20,Nathin Butler,262,Action|Crime|Drama|Thriller,Black November ,Razaaq Adoti,3,color in title|number in title|two word title,4,English,,7500000,65
16,153,5,Mary Goggin,532,Comedy|Family|Romance,Ta Ra Rum Pum ,Vic Aviles,3,comeback|family relationships|marriage|new york|racer,37,Hindi,,6000000,249
242,89,10,Gena Rowlands,963,Animation|Biography|Drama|War,Persepolis ,Danielle Darrieux,0,dream|girl|iran|islamic revolution|revolution,158,French,PG-13,7300000,545
147,92,287,Teri Polo,844,Adventure|Fantasy|Thriller,The Hole ,Haley Bennett,2,basement|family relationships|hole|no opening credits|slow motion scene,69,English,PG-13,12000000,708
93,107,23,Elyas M'Barek,287,Drama|Thriller,The Wave ,Jennifer Ulrich,0,autocracy|based on real events|dictatorship|germany|teacher,96,German,,5000000,150
253,118,0,Bella Heathcote,18000,Horror|Thriller,The Neon Demon ,Charles Baker,2,beauty|cannibalism|fashion|lesbian|model,73,English,R,7000000,860
224,97,12,Jack O'Connell,788,Action|Crime|Drama|Thriller,Harry Brown ,Sean Harris,1,bayonet|death|police|self defense|widower,224,English,R,7300000,698
392,156,0,James Franco,24000,Action|Adventure|Romance,Spider-Man 3 ,Kirsten Dunst,0,sandman|spider man|symbiote|venom|villain,1902,English,PG-13,258000000,11000
39,100,0,William Hootkins,488,Action|Adventure|Fantasy|Sci-Fi|Thriller,The Omega Code ,Ayla Kell,0,code|evil|false accusation|megalomaniac|torah,206,English,PG-13,7500000,488
387,96,655,Jennifer Garner,24000,Comedy|Drama|Romance,Juno ,Rainn Wilson,0,adoption|baby|friend|pregnancy|school,881,English,PG-13,7500000,3000
