director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Luke Greenfield,75,Michael Papajohn,55762229,Louis Lombardi,The Animal ,1,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1,PG-13,22000000,241,1.85
Richard Attenborough,95,Amrish Puri,,Candice Bergen,Gandhi ,0,british|india|indian|muslim|pakistan,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1,PG,22000000,429,2.35
Lasse Hallström,180,Charlotte Le Bon,54235441,Manish Dayal,The Hundred-Foot Journey ,3,chef|haute cuisine|indian cuisine|michelin guide|restaurant,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1,PG,22000000,201,2.35
Irwin Winkler,53,Jeremy Northam,50728000,Ken Howard,The Net ,0,chat room|computer|computer hacker|identity|identity theft,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,PG-13,22000000,327,1.85
Jessie Nelson,129,Loretta Devine,40270895,Dianne Wiest,I Am Sam ,0,child custody|custody battle|disability|mentally impaired man|single father,http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1,PG-13,22000000,912,1.85
Christopher Spencer,61,Amber Rose Revah,59696176,Roma Downey,Son of God ,1,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1,PG-13,22000000,134,2.35
Len Wiseman,226,Kevin Grevioux,51483949,Sophia Myles,Underworld ,0,blood|death|hybrid|vampire|werewolf,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,R,22000000,593,2.35
Mikael Håfström,116,RZA,36020063,Denis O'Hare,Derailed ,2,drink|hotel|police|staged rape|thief,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1,R,22000000,561,2.35
Steven Soderbergh,248,Joel McHale,33313582,Matt Damon,The Informant! ,1,compulsive liar|fbi|informant|investigation|spy,http://www.imdb.com/title/tt1130080/?ref_=fn_tt_tt_1,R,21000000,734,1.85
Richard Attenborough,23,James Frain,25842000,Anthony Hopkins,Shadowlands ,0,author|book|england|friend|oxford,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1,PG,22000000,1000,2.35
Mike Bigelow,98,Eddie Griffin,22264487,Carlos Ponce,Deuce Bigalow: European Gigolo ,0,dolphin|gigolo|pimp|serial killer|villain arrested,http://www.imdb.com/title/tt0367652/?ref_=fn_tt_tt_1,R,22000000,489,1.85
Ken Scott,168,Bobby Moynihan,30659817,Jack Reynor,Delivery Man ,10,children|identity|lawsuit|lawyer|sperm donor,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,PG-13,26000000,311,2.35
Paul McGuigan,159,Spencer Wilding,5773519,Daniel Radcliffe,Victor Frankenstein ,2,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,PG-13,40000000,1000,2.35
Susanna White,134,Pawel Szajda,3108216,Radivoje Bukvic,Our Kind of Traitor ,2,based on novel|male frontal nudity|male nudity|male rear nudity,http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1,R,,104,2.35
Dennis Dugan,97,Neil Diamond,19351569,Amanda Detmer,Saving Silverman ,1,female nudity|friend|kidnapping|love|nun,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,PG-13,22000000,226,1.85
David Bowers,88,Rachael Harris,49002815,Zachary Gordon,Diary of a Wimpy Kid: Dog Days ,2,best friend|camping|country club|no opening credits|summer vacation,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,PG,22000000,569,2.35
Spike Lee,85,Jennifer Esposito,19283782,Mira Sorvino,Summer of Sam ,0,distrust|fear|murder|neighborhood|new york city,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,R,22000000,911,1.85
Kevin Smith,181,Shannon Elizabeth,30059386,Will Ferrell,Jay and Silent Bob Strike Back ,5,internet|jay and silent bob|new jersey|orangutan|police,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,R,22000000,1000,2.35
Michael Bay,257,Steve Buscemi,35799026,Scarlett Johansson,The Island ,1,clone|environment|escape|island|lottery,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,PG-13,126000000,12000,2.35
Daniel Sackheim,95,Bruce Dern,17951431,Chris Noth,The Glass House ,1,car|car accident|death|friend|glass,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1,PG-13,30000000,844,2.35
Ethan Coen,423,Channing Tatum,29997095,Scarlett Johansson,"Hail, Caesar! ",5,50s|film within a film|hollywood|illegitimate pregnancy|twins,http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1,PG-13,22000000,17000,1.85
Harry Elfont,93,Paulo Costanzo,14252830,Rosario Dawson,Josie and the Pussycats ,0,based on tv series|fictional band|girl band|music industry|pop band,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,PG-13,22000000,486,1.85
Gary Fleder,203,James Franco,19783777,Jason Statham,Homefront ,1,biker|biker gang|dea|dea agent|fight,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,R,22000000,11000,2.35
Uli Edel,38,Jim Carter,13555988,Richard E. Grant,The Little Vampire ,1,boy|pushed off a cliff|rat|secret passage|vampire,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,PG,22000000,439,1.85
David O. Russell,183,Lily Tomlin,12784713,Naomi Watts,I Heart Huckabees ,11,coincidence|cult film|overalls|suburb|vomiting,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,R,22000000,718,2.35
Fred Dekker,75,Rip Torn,10696210,CCH Pounder,RoboCop 3 ,0,android|corporation|ninja|police|robocop,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,PG-13,23500000,826,1.85
Brian Trenchard-Smith,18,Udo Kier,5974653,Michael Biehn,Megiddo: The Omega Code 2 ,0,armageddon|battle|end times|reference to satan|sequel,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,PG-13,22000000,595,1.85
Blake Edwards,22,Vernon Dobtcheff,5000000,Rock Hudson,Darling Lili ,2,crepe suzette|french|mata hari spoof|song|spy,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,G,25000000,50,2.35
Hugh Wilson,41,Alex Rocco,9694105,Brendan Fraser,Dudley Do-Right ,0,gold|gold rush|mirror|police officer|singer,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,PG,22000000,968,2.35
Camille Delamarre,148,Noémie Lenoir,16027866,Ed Skrein,The Transporter Refueled ,0,airfield|car|car stunt|driver|private jet,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,PG-13,25000000,173,2.35
