director_name,duration,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Bruce Paltrow,112,Marian Seldes,555,4734235,Comedy|Drama|Music,Lochlyn Munro,Duets ,1227,0,convict|karaoke|middle america|salesman|singer,403,6.0,1.85,573
Woody Allen,112,Debra Messing,11000,4839383,Comedy|Romance,Woody Allen,Hollywood Ending ,12766,0,blind|director|psychosomatic blindness|self deprecating|studio,650,6.6,1.85,762
Adam Rifkin,95,Lin Shaye,1000,4193025,Comedy|Music,Natasha Lyonne,Detroit Rock City ,2518,0,band|concert|high school|kiss|teenager,852,6.8,2.35,0
Russell Mulcahy,110,Jon Polito,1000,5900000,Action|Adventure|Fantasy,Christopher Lambert,Highlander ,1852,1,combat|head cut off|immortal|scotland|swordsman,309,7.2,1.85,0
Susanne Bier,118,Omar Benson Miller,1000,2849142,Drama,Alison Lohman,Things We Lost in the Fire ,1889,1,best friend|dinner|garage|narcotics anonymous|recovery,418,7.2,2.35,0
Kenneth Johnson,97,Annabeth Gish,503,1686429,Action|Crime|Sci-Fi,Charles Napier,Steel ,3100,1,fight|gang|junkyard|military|soldier,489,2.8,1.85,0
James Gray,120,Dagmara Dominczyk,10000,1984743,Drama|Romance,Jeremy Renner,The Immigrant ,11019,3,immigrant|immigration|magician|money|prostitution,316,6.6,2.35,0
James Ivory,135,Natasha Richardson,898,1666262,Drama|History|Romance|War,Vanessa Redgrave,The White Countess ,2096,0,countess|diplomat|japanese|russian|shanghai,708,6.7,1.66,356
Danny Boyle,101,Spencer Wilding,3000,2319187,Crime|Drama|Mystery|Thriller,Rosario Dawson,Trance ,5056,0,amnesia|criminal|heist|hypnotherapy|lost painting,1000,7.0,2.35,23000
Jessy Terrero,92,Snoop Dogg,939,13922211,Comedy,Mo'Nique,Soul Plane ,3935,9,airline|airplane|bathroom|sex|toilet,881,4.4,1.85,0
Dany Boon,106,Kad Merad,172,,Comedy|Romance,Dany Boon,Welcome to the Sticks ,329,2,alcohol|alcoholic drink|drunken man|france|provence,55,7.1,2.35,3000
Vicente Amorim,92,Jodie Whittaker,10000,23091,Drama|Romance|War,Viggo Mortensen,Good ,11091,1,censorship|children|corpse|heil hitler|suffering,304,6.2,2.35,921
Gaspar Noé,161,Emily Alyn Lind,488,336467,Drama|Fantasy,Paz de la Huerta,Enter the Void ,943,0,drug deal|drugs|explicit sex|love|stripper,289,7.3,2.35,23000
Amy Heckerling,92,Justin Kirk,1000,2964,Comedy|Horror|Romance,Taylor Negron,Vamps ,3086,2,murder|new york city|one word title|vampire|vampire slayer,945,5.1,1.78,0
Lasse Hallström,93,Sarah Roemer,1000,,Drama|Family,Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale ,4453,0,dog|human animal relationship|japanese|loyalty|waiting,884,8.1,1.85,115000
Jérôme Salle,110,Tanya van Graan,5000,,Crime|Drama|Thriller,Orlando Bloom,Zulu ,5273,0,apartheid|corpse|male nudity|murder|police officer,170,6.7,2.35,0
Tommy Lee Jones,122,Tim Blake Nelson,883,2428883,Drama|Western,Barry Corbin,The Homesman ,2896,1,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,596,6.6,2.35,0
Jesse Vaughan,91,Jenifer Lewis,890,13571817,Comedy|Drama|Romance|Sport,Vivica A. Fox,Juwanna Mann ,3104,3,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,578,4.5,1.85,939
,45,Trond Fausa,422,,Comedy|Crime|Drama,Steven Van Zandt,Lilyhammer             ,537,0,mafia|mob|norway|steve|van,57,8.1,16.0,16000
Atom Egoyan,115,Marie-Josée Croze,232,1554566,Drama|War,David Alpay,Ararat ,699,1,armenian|armenian genocide|customs agent|genocide|prayer,150,6.6,1.66,824
William Bindley,94,Jake Lloyd,844,508867,Drama|Sport,Bruce Dern,Madison ,3583,0,boat racing|hydroplane|loyalty|one word title|scolding,626,6.5,2.35,282
Wayne Beach,93,LL Cool J,1000,1181197,Drama|Mystery|Thriller,Mekhi Phifer,Slow Burn ,4329,0,district attorney|interview|murder|prosecutor|reporter,1000,5.9,1.85,191
Gérard Krawczyk,94,Ryôko Hirosue,235,81525,Action|Comedy|Crime|Drama|Thriller,Carole Bouquet,Wasabi ,303,1,french|inheritance|japan|letter|police detective hero,46,6.6,2.35,0
James Gunn,95,Gregg Henry,499,7774730,Comedy|Horror|Sci-Fi,Dustin Milligan,Slither ,1120,0,alien|b movie|sex|slug|small town,298,6.5,1.85,0
Martin Brest,105,Ronny Cox,901,234760500,Action|Comedy|Crime,Judge Reinhold,Beverly Hills Cop ,3464,1,drug dealer|drugs|murder|police brutality|police shootout,605,7.3,1.85,0
Chris Columbus,103,Devin Ratray,3000,285761243,Comedy|Family,Macaulay Culkin,Home Alone ,7521,5,airport|child protagonist|child swearing|christmas|home alone,1000,7.5,1.85,20000
Leonard Nimoy,102,Ted Danson,19000,167780960,Comedy|Drama|Family,Tom Selleck,3 Men and a Baby ,21499,4,1980s|baby|heroin|package|questioned by police,875,5.9,1.85,3000
Sydney Pollack,116,Sydney Pollack,13000,177200000,Comedy|Drama|Romance,Bill Murray,Tootsie ,14701,1,actor|actress|friend|love|reputation,521,7.4,2.35,0
Tony Scott,110,Tom Skerritt,10000,176781728,Action|Drama|Romance,Tom Cruise,Top Gun ,13069,2,flying|gay subtext|machismo|male objectification|pilot,1000,6.9,1.33,19000
Ang Lee,120,Pei-Pei Cheng,103,128067808,Action|Drama|Romance,Chen Chang,Crouching Tiger, Hidden Dragon ,129,3,bare midriff|china|magical realism|martial arts|sword,21,7.9,2.35,0
Sam Mendes,122,Peter Gallagher,18000,130058047,Drama,Kevin Spacey,American Beauty ,19078,0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,828,8.4,2.35,22000
Tom Hooper,118,Jennifer Ehle,14000,138795342,Biography|Drama|History|Romance,Colin Firth,The King's Speech ,15732,0,king|king george vi|speech|speech therapist|throne,1000,8.0,1.85,64000
Ivan Reitman,107,Tony Jay,742,111936400,Comedy|Crime,Kelly Preston,Twins ,2151,1,bare chested male|brother|catholic orphanage|long lost siblings|twins,384,6.0,1.85,0
,45,Bobby Campo,460,,Crime|Drama|Horror|Mystery|Thriller,Bex Taylor-Klaus,Scream: The TV Series             ,2380,0,generation y|millennial generation|murder|teenage girl|throat slitting,292,7.3,16.0,0
Udayan Prasad,102,Eddie Redmayne,17000,317040,Drama|Romance,Kristen Stewart,The Yellow Handkerchief ,30978,1,louisiana|overalls|road trip|southern u.s.|teenage boy,13000,6.8,2.35,1000
