actor_1_name,num_voted_users,plot_keywords,actor_2_facebook_likes
Ronny Cox,240241,ambiguous ending|false memory|implanted memory|memory|space colony,308
Tony Curran,101411,arab|battle|combat|viking|warrior,372
Jeremy Renner,229823,assassin|cia|drone|pill|wolf,826
Michael Gough,189855,butler|critically bashed|cure|freeze|gotham,890
Clint Howard,141414,box office hit|christmas|materialism|public humiliation|snowflake,722
Jake Gyllenhaal,333248,climate|end of the world|global warming|natural disaster|weather,2000
Tom Cruise,242188,cure|mission|terrorist|thief|virus,794
Karen Allen,133076,death|fish|fishing|sea|storm,638
Chris Evans,213275,fantastic four|space|strong female character|strong female lead|superheroine,2000
Suraj Sharma,440084,animal|faith|india|journey|tiger,358
Nicolas Cage,182661,blackheart|devil|father|ghost|mephistopheles,701
Matt Damon,40123,black ops|chase|cia|cia agent|repeated scene,365
Demi Moore,100821,fbi|murder|ring|witness protection|witness protection program,1000
Michael Fassbender,456260,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,9000
Nathan Lane,36471,anthropomorphic mouse|falcon|marshmallow|second part|soccer,799
Matt Damon,338087,christ figure|class differences|messiah|saviour|social commentary,2000
Vin Diesel,183909,bounty hunter|escape|necromonger|planet|warrior,850
Gary Oldman,182899,law enforcement|police|robocop|robot|technology,2000
Scott Porter,57873,based on anime|based on cartoon|gadget car|racer|speed,107
Shelley Conn,35066,embarrassment|falling in love|love|love triangle|revelation,216
Tom Cruise,148280,chase|fbi|garage|spy|surveillance,973
Morgan Freeman,387436,cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool,10000
Natalie Portman,520104,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,16000
