num_critic_for_reviews,genres,num_voted_users,movie_imdb_link,country
49,Adventure|Animation|Comedy|Family|Fantasy,16611,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,USA
165,Animation|Comedy|Family,24407,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,Japan
202,Action|Adventure|Fantasy|Sci-Fi,141533,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1,USA
306,Animation|Comedy|Family|Sci-Fi,286877,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,USA
185,Action|Adventure|Sci-Fi,430055,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,USA
177,Action|Adventure|Sci-Fi,278362,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,USA
181,Adventure|Animation|Comedy|Family,266636,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,USA
372,Drama|Sci-Fi|Thriller,361767,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,USA
290,Action|Adventure|Sci-Fi,452928,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,USA
316,Action|Crime|Fantasy|Thriller,299852,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,USA
122,Action|Adventure|Thriller,259492,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1,USA
164,Action|Adventure|Animation|Comedy|Family|Fantasy,194249,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,USA
147,Comedy|Romance,266103,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,USA
219,Comedy|Drama|Family|Music|Musical|Romance,98693,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,USA
167,Horror|Mystery|Thriller,28635,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,USA
70,Action|Adventure|Comedy|Family|Sci-Fi,36491,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,USA
384,Crime|Mystery|Thriller,447979,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,USA
179,Comedy,181443,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,USA
151,Comedy|Drama,303864,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,USA
12,Drama|Fantasy|Horror|Thriller,36919,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,USA
107,Comedy|Family,16271,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,USA
