num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,num_voted_users,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,aspect_ratio,movie_facebook_likes
277,92,495,Jacqueline MacInnes Wood,83788,0,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,20000
90,102,584,Burt Young,29968,1,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,UK,PG-13,40000000,1.85,445
157,123,754,Haley Joel Osment,95860,2,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,16000
124,104,223,KaDee Strickland,36223,1,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,USA,PG-13,30000000,2.35,0
3,30,12,Melissa Altro,8495,0,http://www.imdb.com/title/tt0169414/?ref_=fn_tt_tt_1,Canada,TV-Y,,1.33,301
146,102,490,Shaun Weiss,50199,1,http://www.imdb.com/title/tt0817538/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,702
303,136,3000,Charlize Theron,136093,3,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,24000
70,93,510,Peter Boyle,18723,0,http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1,USA,PG-13,25000000,1.85,0
283,129,64,Thomas Horn,81298,1,http://www.imdb.com/title/tt0477302/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,39000
212,107,58,Patti D'Arbanville,58871,0,http://www.imdb.com/title/tt1126618/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,0
98,117,441,Bill Duke,35834,0,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,0
110,116,249,Cary-Hiroyuki Tagawa,25346,0,http://www.imdb.com/title/tt0160009/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,470
146,135,715,David Fine,41685,1,http://www.imdb.com/title/tt0294870/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,3000
100,107,294,Jimmy Smits,12093,0,http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,394
62,90,210,Valerie Perri,10446,2,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,279
70,99,44,Temuera Morrison,26051,2,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,0
107,104,327,Justin Chambers,12856,0,http://www.imdb.com/title/tt0246544/?ref_=fn_tt_tt_1,Germany,PG-13,40000000,2.35,299
169,115,19000,Scarlett Johansson,84357,3,http://www.imdb.com/title/tt0467200/?ref_=fn_tt_tt_1,UK,PG-13,35000000,1.85,0
94,119,903,Charlize Theron,70292,1,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,8000
190,99,135,Andrea Frankle,37412,0,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,0
112,112,354,David Carradine,67797,0,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,USA,R,500000,1.85,0
12,128,353,Cliff Robertson,13830,1,http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,680
201,112,674,Callum Blue,76498,0,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,France,PG-13,40000000,2.35,15000
34,86,795,Jaleel White,11156,0,http://www.imdb.com/title/tt0120800/?ref_=fn_tt_tt_1,USA,G,40000000,1.85,0
104,108,616,James Franco,21319,1,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,USA,R,60000000,2.35,416
55,128,685,Nathan Lane,11232,1,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,USA,PG-13,60000000,1.85,0
86,84,1000,Jay Hernandez,23747,0,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,0
50,111,889,Martin Landau,16741,2,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,USA,R,40000000,1.85,309
181,131,683,Elizabeth Berkley,49874,0,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,France,NC-17,45000000,2.35,0
260,123,826,Shirley Henderson,79892,1,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,0
40,101,497,Michael Rapaport,14226,3,http://www.imdb.com/title/tt0113552/?ref_=fn_tt_tt_1,USA,R,40000000,1.85,555
102,102,351,Miranda Richardson,27305,1,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,604
371,114,284,Geraldine Chaplin,145270,0,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,Spain,PG-13,45000000,2.35,54000
49,107,572,Warren Beatty,8692,2,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,USA,PG-13,51000000,1.85,754
335,87,563,Meryl Streep,139114,0,http://www.imdb.com/title/tt0432283/?ref_=fn_tt_tt_1,USA,PG,40000000,1.85,15000
86,103,311,Stockard Channing,19364,2,http://www.imdb.com/title/tt0282687/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,835
40,99,402,Michael McKean,17365,2,http://www.imdb.com/title/tt0104850/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,630
242,122,54,Jamel Debbouze,534262,0,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,France,R,77000000,2.35,39000
70,91,762,Bob Saget,17722,1,http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,USA,PG,30000000,1.85,849
135,103,624,Nia Long,43442,4,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,UK,R,60000000,1.85,0
125,107,171,Tim Blake Nelson,15231,3,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,USA,PG,40000000,2.35,0
54,106,613,Treat Williams,10413,1,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,579
104,101,595,Jeffrey Combs,17309,1,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,UK,R,42000000,2.35,612
157,109,835,Salma Hayek,35990,3,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,0
159,110,287,Spencer Wilding,28618,2,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,11000
78,89,500,Amber Valletta,46205,0,http://www.imdb.com/title/tt0266489/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,0
88,100,706,Sean Hayes,7794,2,http://www.imdb.com/title/tt1111948/?ref_=fn_tt_tt_1,USA,R,,2.35,866
32,119,249,Jason Robards,2933,0,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,UK,PG,36000000,2.35,328
75,83,485,Daniel von Bargen,24216,0,http://www.imdb.com/title/tt0176269/?ref_=fn_tt_tt_1,USA,R,24000000,1.85,401
219,108,61,Dennis Quaid,121432,0,http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1,Germany,R,33000000,2.35,10000
83,102,259,Mekhi Phifer,19986,4,http://www.imdb.com/title/tt0160399/?ref_=fn_tt_tt_1,USA,R,40000000,1.85,892
53,93,443,Bridgette Wilson-Sampras,4821,0,http://www.imdb.com/title/tt0283160/?ref_=fn_tt_tt_1,UK,PG-13,40000000,2.35,158
61,84,219,Matt Ross,15130,3,http://www.imdb.com/title/tt0189192/?ref_=fn_tt_tt_1,France,PG-13,40000000,2.35,565
308,107,167,Benedict Wong,190132,0,http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,UK,R,26000000,2.35,15000
70,91,39,Lou Saliba,30842,8,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,0
41,94,379,Anne Bancroft,2458,1,http://www.imdb.com/title/tt0361500/?ref_=fn_tt_tt_1,USA,PG,40000000,1.85,211
224,115,87,Mark Rylance,28429,0,http://www.imdb.com/title/tt2515034/?ref_=fn_tt_tt_1,USA,R,40000000,2.35,0
66,93,173,Sophie Okonedo,20201,3,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,Germany,PG,40000000,2.35,823
253,105,502,Aaron Yoo,186982,0,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,USA,PG-13,20000000,1.85,0
79,107,472,Fisher Stevens,54650,1,http://www.imdb.com/title/tt0113243/?ref_=fn_tt_tt_1,USA,PG-13,20000000,2.35,12000
94,101,2,Zan Marolt,22010,2,http://www.imdb.com/title/tt0455782/?ref_=fn_tt_tt_1,USA,R,25000000,2.35,0
77,111,385,Bill Cobbs,65474,2,http://www.imdb.com/title/tt0110074/?ref_=fn_tt_tt_1,UK,PG,30000000,1.85,0
106,113,483,Takeshi Kaneshiro,22897,2,http://www.imdb.com/title/tt0913968/?ref_=fn_tt_tt_1,Hong Kong,R,40000000,2.35,0
30,112,533,Kuno Becker,3322,0,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,France,R,25000000,2.35,265
488,126,398,Ewen Bremner,181472,5,http://www.imdb.com/title/tt1706620/?ref_=fn_tt_tt_1,South Korea,R,39200000,1.85,58000
63,90,541,Bob Balaban,15790,0,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,France,PG,25000000,1.85,0
42,93,596,Glenn Morshower,3789,10,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,USA,R,,1.85,89
118,98,380,Bai Ling,136580,0,http://www.imdb.com/title/tt0109506/?ref_=fn_tt_tt_1,USA,R,23000000,1.85,15000
44,159,72,Anushka Shetty,62756,1,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,India,,18026148,1.85,21000
214,107,100,Brooklynn Proulx,114925,1,http://www.imdb.com/title/tt0452694/?ref_=fn_tt_tt_1,USA,PG-13,39000000,2.35,13000
110,102,433,Stephen Collins,32412,1,http://www.imdb.com/title/tt0490084/?ref_=fn_tt_tt_1,USA,PG-13,,1.85,0
187,106,4000,Vin Diesel,272227,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,14000
370,87,787,Catherine O'Hara,73886,0,http://www.imdb.com/title/tt1142977/?ref_=fn_tt_tt_1,USA,PG,39000000,1.85,25000
276,119,279,Sean Maher,242599,0,http://www.imdb.com/title/tt0379786/?ref_=fn_tt_tt_1,USA,PG-13,40000000,2.35,14000
76,110,511,Charles S. Dutton,5917,2,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,USA,PG-13,39000000,2.35,177
95,125,420,Robert Vaughn,49934,1,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,UK,PG,39000000,2.35,0
211,113,785,Sylvester Stallone,46480,1,http://www.imdb.com/title/tt1661382/?ref_=fn_tt_tt_1,USA,PG-13,40000000,1.85,12000
160,150,478,Tony Chiu Wai Leung,36894,4,http://www.imdb.com/title/tt0425637/?ref_=fn_tt_tt_1,China,R,553632000,2.35,0
97,108,559,Mary Lynn Rajskub,83786,1,http://www.imdb.com/title/tt0256415/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,0
174,96,954,John Michael Higgins,163665,2,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,USA,R,38000000,2.35,9000
23,93,275,Phil Hartman,17810,2,http://www.imdb.com/title/tt0117608/?ref_=fn_tt_tt_1,USA,PG,39000000,2.35,478
103,100,1000,Alexa PenaVega,44885,1,http://www.imdb.com/title/tt0287717/?ref_=fn_tt_tt_1,USA,PG,38000000,1.85,478
98,118,906,Alan Ruck,60504,0,http://www.imdb.com/title/tt0111280/?ref_=fn_tt_tt_1,USA,PG,35000000,2.35,0
273,122,7,Hye-kyo Song,24557,1,http://www.imdb.com/title/tt1462900/?ref_=fn_tt_tt_1,Hong Kong,PG-13,38600000,2.35,13000
279,120,1000,Christoph Waltz,95367,1,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,33000
22,60,501,Wayne Knight,38383,4,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,USA,TV-PG,,1.33,0
4,88,46,Bianca Collins,2169,0,http://www.imdb.com/title/tt2911342/?ref_=fn_tt_tt_1,China,,40000000,,0
65,146,494,Vincent Pastore,76016,0,http://www.imdb.com/title/tt0174856/?ref_=fn_tt_tt_1,USA,R,38000000,1.85,0
98,115,789,Jeff Kober,30667,1,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,0
116,123,692,Anne Bancroft,44168,3,http://www.imdb.com/title/tt0125022/?ref_=fn_tt_tt_1,USA,PG-13,35000000,2.35,989
76,94,377,Daniella Alonso,23473,1,http://www.imdb.com/title/tt3450650/?ref_=fn_tt_tt_1,USA,PG,30000000,1.85,8000
106,102,280,Shirley Knight,19686,0,http://www.imdb.com/title/tt0225071/?ref_=fn_tt_tt_1,USA,R,38000000,1.85,689
55,98,466,Ken Marino,8433,1,http://www.imdb.com/title/tt0279889/?ref_=fn_tt_tt_1,USA,PG,38000000,1.85,168
172,133,541,Frank Langella,137722,1,http://www.imdb.com/title/tt0142688/?ref_=fn_tt_tt_1,Spain,R,38000000,2.35,0
47,118,182,Paul Guilfoyle,14066,0,http://www.imdb.com/title/tt0116259/?ref_=fn_tt_tt_1,USA,R,38000000,2.35,352
107,105,108,Dagmara Dominczyk,34592,0,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,USA,R,57000000,2.35,0
323,109,736,Gabourey Sidibe,86955,0,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,USA,R,10000000,1.85,12000
37,129,982,Jason Marsden,17859,4,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,911
297,109,145,Richard Masur,258078,0,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,USA,R,15000000,2.35,23000
302,127,904,Nolan Gerard Funk,125305,0,http://www.imdb.com/title/tt1411250/?ref_=fn_tt_tt_1,USA,R,38000000,2.35,39000
38,118,12,Claudia Stedelin,9740,1,http://www.imdb.com/title/tt0119210/?ref_=fn_tt_tt_1,USA,R,37000000,2.35,389
31,110,427,Usher Raymond,4757,2,http://www.imdb.com/title/tt0193560/?ref_=fn_tt_tt_1,USA,PG-13,38000000,2.35,474
118,90,260,Toby Jones,52908,0,http://www.imdb.com/title/tt0970411/?ref_=fn_tt_tt_1,USA,PG,55000000,2.35,0
546,144,15,Jeffrey W. Jenkins,105144,31,http://www.imdb.com/title/tt1560747/?ref_=fn_tt_tt_1,USA,R,32000000,1.85,27000
