director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,title_year,imdb_score
Michael Winterbottom,71,115,187,Sarah Polley,14000,Drama|Romance|Western,Milla Jovovich,The Claim ,17104,4,gold|gold mine|miner|railroad|surveyor,92,UK,R,2000,6.5
,54,53,,Adam Goldberg,4000,Crime|Drama|Thriller,Kirsten Dunst,Fargo             ,19949,0,anthology|death|insurance salesman|minnesota|police officer,173,USA,TV-MA,,9.0
Michael Anderson,112,119,23,Jenny Agutter,1000,Action|Adventure|Sci-Fi,Farrah Fawcett,Logan's Run ,2951,1,cat|computer|cult film|runner|sanctuary,242,USA,PG,1976,6.8
Guy Hamilton,118,125,82,Hervé Villechaize,16000,Action|Adventure|Thriller,Christopher Lee,The Man with the Golden Gun ,17611,3,assassin|bikini|girl in a bikini|mission|secret agent,258,UK,PG,1974,6.8
Craig R. Baxley,35,96,22,Vanity,1000,Action|Comedy|Crime|Thriller,Bill Duke,Action Jackson ,5282,2,murder|power|psychotronic|tough cop|union,65,USA,R,1988,5.2
Neil Marshall,342,100,197,Shauna Macdonald,513,Adventure|Horror|Thriller,MyAnna Buring,The Descent ,1379,0,cave|expedition|friendship between women|group of friends|survival horror,1100,UK,R,2005,7.2
Don Kempf,14,46,0,Michael Jordan,13000,Documentary|Sport,Bill Murray,Michael Jordan to the Max ,13448,0,basketball|basketball player|character name in title|chicago bulls|imax,13,USA,,2000,7.5
Matt Bettinelli-Olpin,137,89,14,Allison Miller,971,Horror|Mystery,Zach Gilford,Devil's Due ,2517,0,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,120,USA,R,2014,4.0
David O. Russell,50,92,737,Mary Tyler Moore,718,Comedy,Lily Tomlin,Flirting with Disaster ,2240,3,adoption|armpit fetish|mistaken identity|new mexico|overalls,105,USA,R,1996,6.8
Rob Zombie,261,109,0,Ken Foree,1000,Crime|Horror,Sid Haig,The Devil's Rejects ,3544,0,escape|police|road trip|sheriff|texas,687,USA,R,2005,6.9
,96,44,,Alyson Hannigan,4000,Action|Drama|Fantasy|Romance,Sarah Michelle Gellar,Buffy the Vampire Slayer             ,7970,0,action heroine|coming of age|destiny|double life|vampire,665,USA,TV-14,,8.2
Rick Famuyiwa,180,103,44,Rick Fox,637,Comedy|Crime|Drama,Kimberly Elise,Dope ,1342,3,african american|geek|hip hop|party|tomboy,89,USA,R,2015,7.3
