director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,imdb_score
Adrienne Shelly,173,191,336,Cheryl Hines,19067631,Lew Temple,Waitress ,1981,Eddie Jemison,1,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,204,USA,PG-13,2000000,7.1
Newt Arnold,61,15,49,Donald Gibb,11806119,Bolo Yeung,Bloodsport ,1168,Ken Siu,1,hand to hand combat|hong kong|kumite|martial arts|tournament,210,USA,R,1100000,6.8
Frank Capra,96,964,248,Jean Arthur,,Claude Rains,Mr. Smith Goes to Washington ,1573,Thomas Mitchell,7,camp|corruption|governor|senate|u.s. senate,245,USA,Not Rated,1500000,8.2
Larry Clark,71,184,82,Leo Fitzpatrick,7417210,Rosario Dawson,Kids ,3310,Justin Pierce,1,coming of age|marijuana|rape|virgin|weed,408,USA,,1500000,7.0
Noah Baumbach,110,387,18,Elizabeth Meriwether,7362100,William Baldwin,The Squid and the Whale ,479,Owen Kline,0,boy|divorce|tennis|tennis coach|writer,232,USA,R,1500000,7.4
Charles Herman-Wurmfeld,110,0,117,Jennifer Westfeldt,7022940,Scott Cohen,Kissing Jessica Stein ,1173,Brian Stepanek,1,friend|friendship|journalist|new york city|personal ad,190,USA,R,1000000,6.7
Yimou Zhang,101,611,3,Ni Yan,190666,Honglei Sun,"A Woman, a Gun and a Noodle Shop ",18,Dahong Ni,1,betrayal|husband wife relationship|murder|noodles|salary,20,China,R,,5.7
John Stockwell,2,134,354,T.J. Storm,,Matthew Ziff,Kickboxer: Vengeance ,261818,Sam Medina,5,,1,USA,,17000000,9.1
Alfred Hitchcock,97,13000,82,Rhonda Fleming,,Norman Lloyd,Spellbound ,896,Leo G. Carroll,1,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,161,USA,Unrated,1696377,7.6
Atom Egoyan,53,460,900,Mia Kirshner,5132222,Bruce Greenwood,Exotica ,2990,Sarah Polley,1,bird|cult film|egg|nightclub|toronto,83,Canada,R,2000000,7.2
Vincent Gallo,106,787,642,Vincent Gallo,2365931,Anjelica Huston,Buffalo '66 ,4762,Jan-Michael Vincent,2,shower|stripper|tap dancing|underwear|undressing,318,USA,R,1500000,7.5
James Wan,445,0,588,Barbara Hershey,53991137,Lin Shaye,Insidious ,3030,Philip Friedman,1,baby|boy|coma|demon|house,752,USA,PG-13,1500000,6.8
Alex Cox,131,92,166,Tracey Walter,,Del Zamora,Repo Man ,1652,Miguel Sandoval,3,punk|punk rocker|repossession|televangelist|ufo,148,USA,R,1500000,6.9
Fabián Bielinsky,94,44,7,Gastón Pauls,1221261,Ricardo Darín,Nine Queens ,856,Leticia Brédice,0,con artist|hotel|partner|scam|stamp,125,Argentina,R,1500000,7.9
Dror Moreh,105,4,0,Yuval Diskin,2408553,Ami Ayalon,The Gatekeepers ,0,Yaakov Peri,3,interview|jerusalem|jewish|terrorism|terrorist bombing,33,Israel,PG-13,,7.6
Rebecca Miller,75,58,42,Susanna Thompson,712294,Beau Bridges,The Ballad of Jack and Rose ,859,Ryan McDonald,1,commune|defecation|environmentalism|fellatio|island,68,USA,R,1500000,6.7
Maggie Carey,97,38,690,Alia Shawkat,3447339,Donald Glover,The To Do List ,2667,Scott Porter,7,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,79,USA,R,1500000,5.8
Roger Avary,37,675,164,Salvator Xuereb,418953,Eric Stoltz,Killing Zoe ,1582,Jean-Hugues Anglade,0,bank|bastille day|call girl|childhood friend|drugs,93,France,R,1500000,6.5
Henry Bean,84,21,76,Theresa Russell,406035,Ryan Gosling,The Believer ,33441,Summer Phoenix,0,jew|jewish nazi|nazism|racism|skinhead,159,USA,R,1500000,7.2
David Gordon Green,88,234,442,Connor Paolo,402820,Michael Angarano,Snow Angels ,2747,Tom Noonan,0,flashback|football game|school|small town|snow,57,USA,R,,6.9
Simeon Rice,6,6,56,Lisa Brave,,Ward G. Smith,Unsullied ,792,Malone Thomas,1,,3,USA,R,1500000,5.5
Brad Anderson,127,122,83,Brendan Sexton III,373967,Paul Guilfoyle,Session 9 ,469,Larry Fessenden,0,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,481,USA,R,1500000,6.5
Jeff Garlin,32,522,423,Jeff Garlin,194568,Jessy Schram,I Want Someone to Eat Cheese With ,2179,Joey Slotnick,0,cheese|city|ice cream|school|second city,28,USA,R,1500000,6.2
Qasim Basir,8,13,616,Nia Long,,Dorian Missick,Mooz-Lum ,3288,Evan Ross,1,one word title,14,USA,PG-13,,6.7
Adam Green,229,134,488,Kane Hodder,,Joel David Moore,Hatchet ,3668,Joel Murray,0,bayou|boat|louisiana|swamp|tour,235,USA,R,1500000,5.7
Charles Chaplin,120,0,8,Stanley Blystone,163245,Paulette Goddard,Modern Times ,352,Fred Malatesta,1,actor director writer|invention|machine|music score composed by director|tramp,211,USA,G,1500000,8.6
Pete Jones,31,18,597,Aidan Quinn,119841,Brian Dennehy,Stolen Summer ,3901,Bonnie Hunt,1,catholic|catholicism|rabbi|school|summer,55,USA,PG,1500000,6.5
Bruce Campbell,100,0,158,Dan Hicks,173066,Ted Raimi,My Name Is Bruce ,1238,Timothy Patrick Quill,1,b movie|birthday|chinese|demon|small town,88,USA,R,1500000,6.3
Mark Brown,14,7,424,Monica Calhoun,92362,Vivica A. Fox,The Salon ,3138,Garrett Morris,7,,5,USA,PG-13,1500000,4.3
Adam Carolla,14,102,360,Jim O'Heir,105943,Jay Mohr,Road Hard ,2628,David Alan Grier,0,girl in panties|panties|red panties|stand up comedy,11,USA,,1500000,6.1
Ira Sachs,39,60,121,Jenny O'Hara,,Rip Torn,Forty Shades of Blue ,1240,Darren E. Burrows,0,love|music producer|previous marriage|rock 'n' roll|russian,26,USA,R,1500000,6.0
John Sayles,35,407,7,John Arcilla,183490,Brian Lee Franklin,Amigo ,60,Ronnie Lazaro,0,american|filipino|friendship|guerrilla army|village,8,USA,R,1700000,5.8
Bruce McDonald,178,49,57,Georgina Reilly,3478,Stephen McHattie,Pontypool ,721,Boyd Banks,0,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,142,Canada,Not Rated,1500000,6.7
James Mottern,46,7,711,Joey Lauren Adams,52166,Jimmy Bennett,Trucker ,89263,Matthew Lawrence,3,cancer|cigarette smoking|hospital|one night stand|trucker,22,USA,R,2000000,6.7
Jaime Zevallos,,228,134,Jaime Zevallos,,Angela Sarafyan,Me You and Five Bucks ,771,Michael Elian,1,,,USA,,1500000,7.6
Rob Zombie,234,0,721,Dee Wallace,1163508,Sid Haig,The Lords of Salem ,5158,Michael Berryman,1,blood|flashback|radio dj|radio station|vinyl,166,USA,R,2500000,5.1
Gerard Johnstone,166,3,28,Bruce Hopkins,,Morgana O'Reilly,Housebound ,165,Cameron Rhodes,3,bloody violence|exploding head|haunted house|plot twist|slapstick,83,New Zealand,Not Rated,350000,6.8
Robert Greenwald,56,21,0,Jon Hunter,,Lee Scott,Wal-Mart: The High Cost of Low Price ,0,Matt Hunter,0,greed|pollution|slave labor|truth|wal mart,70,USA,Not Rated,1500000,6.8
David Ray,16,0,108,Sarah Lind,,Nicole Muñoz,Fetching Cody ,596,Kyla Wise,2,death|high school|prostitute|suicide|time travel,10,Canada,,1500000,6.8
Dave Rodriguez,9,11,636,Michael Rapaport,,Chazz Palminteri,Once Upon a Time in Queens ,4036,Paul Sorvino,2,,7,USA,R,1500000,6.3
Nae Caranfil,18,34,71,Joe Armstrong,,Monica Barladeanu,Closer to the Moon ,588,Martin Hancock,2,,13,Romania,Not Rated,5000000,7.1
David Winning,4,65,146,Amber Marshall,,Ashanti,Mutant World ,967,John DeSantis,0,,10,Canada,,1500000,2.8
Frank Lotito,,5,259,Jake Busey,,Brighton Sharbino,Growing Up Smith ,4320,Tim Guinee,,adolescence|girl next door|growing vegetables|high standards|sent away,1,USA,PG-13,2000000,8.2
Timothy Woodward Jr.,6,764,492,Johnny Messner,,Katrina Law,Checkmate ,2882,Michael Paré,3,,18,USA,,1500000,3.1
Christopher McQuarrie,387,188,1000,Robert Duvall,80033643,Tom Cruise,Jack Reacher ,16385,David Oyelowo,2,coma|mysterious villain|police chase|shooting range|sniper,448,USA,PG-13,60000000,7.0
Tara Subkoff,35,37,56,Balthazar Getty,,Timothy Hutton,#Horror ,1044,Lydia Hearst,1,bullying|cyberbullying|girl|internet|throat slitting,42,USA,Not Rated,1500000,3.3
Russell Friedenberg,27,9,485,Glen Powell,,Rudy Youngblood,Wind Walkers ,2870,Kiowa Gordon,,after dark horrorfest,2,USA,R,2000000,3.6
William Cottrell,145,0,31,Billy Gilbert,184925485,Adriana Caselotti,Snow White and the Seven Dwarfs ,229,Lucille La Verne,1,dwarf|love|princess|queen|snow white,204,USA,Approved,2000000,7.7
Lucrecia Martel,78,33,3,Mercedes Morán,304124,Mía Maestro,The Holy Girl ,358,María Alche,0,16 year old|doctor|hotel|tinnitus|title directed by female,37,Argentina,R,1400000,6.7
