duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,title_year,movie_facebook_likes
88,0,939,Alex Rocco,16988996,Comedy|Family|Music|Musical,Stephen Root,1,animal in title|bear|box office flop|disney|satire,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,G,2002,422
128,395,161,Shaun Toub,15797907,Drama,Khalid Abdalla,0,afghanistan|based on novel|boy|friend|kite,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,PG-13,2007,0
124,0,430,Eddie Marsan,16248701,Drama,Danny Huston,0,accident|faith|love|mathematician|nonlinear timeline,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,R,2003,0
84,2,472,Tom Hollander,15712072,Action|Crime|Drama|Thriller,Kelly Carlson,0,actor|coma|movie star|paparazzi|revenge,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,PG-13,2004,269
122,308,10000,Taylor Lautner,191449475,Drama|Fantasy|Romance,Anna Kendrick,1,blood|high school|love|school|vampire,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,PG-13,2008,19000
101,13,499,Lochlyn Munro,15408822,Comedy|Romance,James Brolin,3,bachelor party|climbing a tree|taxi|toilet|wedding,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,PG-13,2003,401
98,143,153,Robert Miano,15464026,Comedy|Romance,Zak Orth,2,college|loser|love|new york city|overdose,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,PG-13,2000,1000
105,909,173,Michael Moore,14359793,Crime|Documentary|News,Bernie Sanders,0,capitalism|critique of capitalism|investment bank|market economy|plutocracy,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,R,2009,10000
225,126,202,Carroll Baker,8000000,Biography|Drama|History,José Ferrer,6,70mm film|biblical epic|faith|jewish|king herod,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,G,1965,1000
111,53,233,Michael Kelly,,Crime|Drama|Mystery|Thriller,Joe Cole,0,digging a grave|grave digging|investigator|police|secret,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,PG-13,2015,0
88,82,329,Tony Cox,14174654,Comedy,Ike Barinholtz,0,disaster|glass|mousetrap|natural disaster|scatological humor,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,PG-13,2008,0
88,190,163,Fred Ward,15988876,Action|Crime|Thriller,Lorna Raver,6,armored truck|blood splatter|die hard scenario|guard|heist,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,PG-13,2009,0
94,36,507,Peter Gallagher,13801755,Action|Comedy|Crime|Thriller,Joanne Whalley,1,assassin|bomb|dominatrix|mistaken identity|spy,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,PG,1997,0
117,20,783,Ari Graynor,13987482,Comedy|Romance,Ed Begley Jr.,1,ex boyfriend|morning after|prince charming|quarrel|womanizer,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,R,2011,0
95,4,80,Vincent Regan,14291570,Action|Adventure|Sci-Fi|Thriller,Jacky Ido,2,bodyguard|maximum security prison|outer space|president|prison,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,PG-13,2012,10000
99,272,62,Ariel Gade,12181484,Comedy,Sam Lerner,1,best friend|dog|envy|jealousy|neighbor,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,PG-13,2004,713
