num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,actor_2_facebook_likes,movie_facebook_likes
212,128,0,Agame Malembo-Emene,15,Drama,François Bégaudeau,17,Angélica Sancio,7,high school|inner city|school|student|teacher,http://www.imdb.com/title/tt1068646/?ref_=fn_tt_tt_1,French,PG-13,2,0
215,136,449,Mia Farrow,917,Drama|Horror,John Cassavetes,2997,Charles Grodin,0,devil worship|incubus|paranoia|raped by a demon|satanism,http://www.imdb.com/title/tt0063522/?ref_=fn_tt_tt_1,English,R,563,13000
107,113,332,Woody Strode,756,Drama|Western,Lee Marvin,2693,Vera Miles,1,friend|funeral|outlaw|pistol|stagecoach,http://www.imdb.com/title/tt0056217/?ref_=fn_tt_tt_1,English,Approved,423,0
122,99,194,Terry Walters,828,Drama|Romance,Peter Gallagher,1936,Amy Irving,0,apartment|asperger's syndrome|children|teacher|writer,http://www.imdb.com/title/tt1185836/?ref_=fn_tt_tt_1,English,PG-13,390,0
155,101,6,Wilson Guerrero,280,Crime|Drama,Catalina Sandino Moreno,308,Yenny Paola Vega,0,colombia|colombian|drug mule|money|stomach,http://www.imdb.com/title/tt0390221/?ref_=fn_tt_tt_1,Spanish,R,11,0
261,105,157,Lou Taylor Pucci,1000,Comedy|Drama|Romance,Goran Visnjic,2016,Mary Page Keller,4,actress|cancer|death|french|gay relationship,http://www.imdb.com/title/tt1532503/?ref_=fn_tt_tt_1,English,R,394,15000
130,95,898,Eric Dane,164000,Action|Comedy|Horror|Thriller,Krista Allen,170118,Henry Rollins,0,bar|bloody body of child|dead boy|monster|vomiting,http://www.imdb.com/title/tt0426459/?ref_=fn_tt_tt_1,English,R,2000,0
94,109,559,Karen Allen,1000,Comedy,John Belushi,3468,Tim Matheson,6,academic probation|camera shot of feet|fraternity|school expulsion|smashing a guitar,http://www.imdb.com/title/tt0077975/?ref_=fn_tt_tt_1,English,R,783,0
164,110,177,Gert Fröbe,387,Action|Adventure|Thriller,Honor Blackman,1198,Lois Maxwell,2,bikini|covered in melted gold|fort knox|gold|pilot,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,English,Approved,202,0
188,108,463,Douglas Smith,691,Horror|Sci-Fi|Thriller,Sarah Gadon,1962,Caleb Landry Jones,0,celebrity|injection|near future|scalpel|stabbed in the mouth,http://www.imdb.com/title/tt2099556/?ref_=fn_tt_tt_1,English,Not Rated,480,0
206,118,248,Lionel Barrymore,488,Drama|Family|Fantasy|Romance,Donna Reed,1844,Thomas Mitchell,0,angel|bank|guardian angel|second chance|small town life,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,English,PG,275,41000
134,94,557,Shirley Henderson,2000,Drama,Kelly Macdonald,3559,Ewen Bremner,4,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,http://www.imdb.com/title/tt0117951/?ref_=fn_tt_tt_1,English,R,887,21000
53,115,360,Cedric the Entertainer,1000,Comedy|Documentary,Bernie Mac,1964,Steve Harvey,0,backstage|comedian|concert film|emcee|stand up comedian,http://www.imdb.com/title/tt0236388/?ref_=fn_tt_tt_1,English,R,436,290
264,98,189,Molly Ephraim,438,Horror,Sprague Grayden,1081,Micah Sloat,0,california|carlsbad california|house|nanny|security camera,http://www.imdb.com/title/tt1536044/?ref_=fn_tt_tt_1,English,R,332,14000
94,91,482,David Kelly,773,Comedy,James Nesbitt,1965,Fionnula Flanagan,0,dead body|death|lottery|small town|village,http://www.imdb.com/title/tt0166396/?ref_=fn_tt_tt_1,English,PG,588,0
215,120,184,Dick Clark,909,Crime|Documentary|Drama,Michael Moore,1779,Bill Clinton,2,bank|columbine|columbine high school killings|firearm|school shooting,http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1,English,R,504,4000
85,109,4,Daoming Chen,878,Drama,Li Gong,900,Ni Yan,1,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,http://www.imdb.com/title/tt3125472/?ref_=fn_tt_tt_1,Mandarin,PG-13,10,0
138,87,217,Robert Rusler,426,Fantasy|Horror,Clu Gulager,1472,Marshall Bell,0,freddy krueger|gay|gay subtext|homoeroticism|jock strap,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1,English,R,359,0
55,117,249,Rupert Graves,687,Drama|Romance,Julian Sands,1665,Denholm Elliott,0,male nudity|male pubic hair|nude bathing|piano|pubic hair,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1,English,Unrated,443,0
361,85,535,Adelaide Kane,942,Horror|Sci-Fi|Thriller,Rhys Wakefield,3708,Chris Mulkey,0,class differences|killing spree|one night|suburb|violence,http://www.imdb.com/title/tt2184339/?ref_=fn_tt_tt_1,English,R,810,31000
411,110,412,Victoria Leigh,1000,Horror|Mystery,Danielle Kotch,2239,James Ransone,0,book|found footage|research|snuff film|writer,http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1,English,R,419,58000
24,113,12,Mikki Padilla,71,Biography|Comedy|Documentary,Nancy O'Dell,159,Dayna Devon,1,actor name in title|colon in title|four word title|live performance|satire,http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1,English,R,65,63
70,108,110,Judith Anderson,253,Drama|Romance,Burl Ives,649,Jack Carson,0,cancer|football|homosexuality|marriage|mississippi,http://www.imdb.com/title/tt0051459/?ref_=fn_tt_tt_1,English,Approved,197,0
78,95,158,Gregory Sierra,220,Action|Adventure|Sci-Fi,Linda Harrison,1186,Victor Buono,0,ape|astronaut|mission|planet|rescue,http://www.imdb.com/title/tt0065462/?ref_=fn_tt_tt_1,English,G,162,0
35,98,693,Bill Cobbs,2000,Comedy|Drama|Family|Sport,Kevin Zegers,4277,Michael Jeter,0,basketball|boy|dog|dog movie|golden retriever,http://www.imdb.com/title/tt0118570/?ref_=fn_tt_tt_1,English,PG,970,902
39,93,49,Eric Stuart,88,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Veronica Taylor,373,Lisa Ortiz,0,ash|father|mother|pokemon|professor,http://www.imdb.com/title/tt0235679/?ref_=fn_tt_tt_1,Japanese,G,82,38
158,86,155,Ron Palillo,956,Horror|Thriller,Tony Goldwyn,1862,Vincent Guastaferro,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,http://www.imdb.com/title/tt0091080/?ref_=fn_tt_tt_1,English,R,316,0
122,161,87,Sessue Hayakawa,682,Adventure|Drama|War,William Holden,1035,Jack Hawkins,2,allies|bridge|construction|jungle|sabotage,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,English,PG,119,0
16,100,175,Royal Dano,610,Adventure|Comedy|Sci-Fi,Ariana Richards,1441,Tonya Lee Williams,1,alien|halloween|killer robot|outer space|wrestler costume,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,English,PG,232,710
67,120,416,Bruce Dern,897,Comedy|Thriller,Ed Lauter,2811,William Devane,1,actor|diamond|heir|kidnapping|ransom,http://www.imdb.com/title/tt0074512/?ref_=fn_tt_tt_1,English,PG,844,609
183,125,180,Ray Walston,516,Comedy|Drama|Romance,Fred MacMurray,1328,David White,2,apartment|elevator|elevator girl|love|mistress,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,English,Approved,417,0
112,91,307,Leslie Jordan,935,Fantasy|Horror|Thriller,Kane Hodder,2899,Erin Gray,0,brutality|evil|jason voorhees|paranormal phenomena|terror,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,English,R,805,949
64,128,14,Lila Kedrova,18,Thriller,Tamara Toumanova,70,David Opatoshu,1,defection|east germany|germany|iron curtain|scientist,http://www.imdb.com/title/tt0061107/?ref_=fn_tt_tt_1,English,Approved,16,933
