director_name,actor_3_facebook_likes,actor_2_name,gross,actor_3_name,movie_imdb_link,language,budget,imdb_score,movie_facebook_likes
Daniel Espinosa,820,Ryan Reynolds,126149655,Sam Shepard,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,English,85000000,6.8,19000
Kevin Lima,439,Eric Idle,66941559,Jim Carter,http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1,English,85000000,4.8,372
Brett Ratner,535,Gabourey Sidibe,78009155,Judd Hirsch,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,English,75000000,6.2,0
Nancy Meyers,213,Rufus Sewell,63224849,Sarah Parish,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,English,85000000,6.9,19000
Tony Scott,619,Jake Busey,111544445,Lisa Bonet,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,English,90000000,7.3,0
Nancy Meyers,963,Hunter Parrish,112703470,Zoe Kazan,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,English,85000000,6.6,0
Steven Soderbergh,11000,Matt Damon,117144465,Brad Pitt,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,English,85000000,6.9,0
Roger Allers,624,Debra Messing,84303558,Jane Krakowski,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,English,85000000,6.2,863
Neil Burger,1000,Theo James,150832203,Mekhi Phifer,http://www.imdb.com/title/tt1840309/?ref_=fn_tt_tt_1,English,85000000,6.7,49000
Jean-Jacques Annaud,29,Gabriel Thomson,51396781,Clemens Schick,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,English,68000000,7.6,0
Peter Berg,557,Rosario Dawson,47592825,Ewen Bremner,http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1,English,85000000,6.7,0
John McTiernan,330,Tom Noonan,50016394,Joan Plowright,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1,English,70000000,6.2,0
