director_name,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Tomas Alfredson,127,140,10000,Drama|Mystery|Thriller,Benedict Cumberbatch,46241,Gary Oldman,1,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,517,France,R,20000000,14000,2.35,24000
John Duigan,102,18,186,Comedy|Drama|Romance,Elaine Hendrix,1562,Sarah Wynter,1,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,40,USA,PG-13,21000000,419,1.85,284
Jodie Foster,91,0,220,Drama,Jennifer Lawrence,34705,Riley Thomas Stewart,0,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,148,USA,PG-13,21000000,242,2.35,17000
Colin Higgins,114,19,842,Comedy|Musical,Dolly Parton,3688,Dom DeLuise,2,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,48,USA,R,35000000,883,2.35,0
David Cronenberg,115,0,716,Horror|Sci-Fi|Thriller,Jennifer Jason Leigh,2990,Callum Rennie,0,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,527,Canada,R,31000000,900,1.85,6000
Steven Spielberg,115,14000,488,Action|Adventure,Harrison Ford,12906,William Hootkins,1,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,771,USA,PG,18000000,783,2.35,16000
Chris Columbus,120,0,1000,Adventure|Comedy|Family,Macaulay Culkin,7860,Devin Ratray,2,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,189,USA,PG,18000000,1000,1.85,0
Steven Spielberg,135,14000,252,Drama|Sci-Fi,Bob Balaban,1591,Melinda Dillon,0,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,339,USA,PG,19400870,481,2.35,0
Jim Sonzero,90,2,807,Drama|Horror|Sci-Fi|Thriller,Ian Somerhalder,19952,Rick Gonzalez,0,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,258,USA,PG-13,20000000,1000,2.35,0
Tony Scott,100,12000,605,Action|Comedy|Crime|Thriller,Dean Stockwell,4121,Ronny Cox,1,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,95,USA,R,28000000,901,2.35,0
