director_name,duration,genres,num_voted_users,movie_imdb_link,actor_2_facebook_likes,aspect_ratio
Guy Ritchie,104,Comedy|Crime,600996,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,11000,1.85
David Winters,89,Family|Musical,105,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,85,
Mary Lambert,103,Fantasy|Horror,63855,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,886,1.85
Akira Kurosawa,134,Drama,3466,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,6,1.85
Jamie Thraves,100,Drama|Thriller,3737,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,544,2.35
Mabel Cheung,130,Drama,117,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,27,2.35
Joe Dante,106,Comedy|Fantasy|Horror,142293,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,281,2.2
George Lucas,125,Action|Adventure|Fantasy|Sci-Fi,911097,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,1000,2.35
Dan Mazer,109,Comedy,49671,http://www.imdb.com/title/tt1860213/?ref_=fn_tt_tt_1,851,2.35
David Lean,200,Drama|Romance|War,55816,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,396,2.35
Stephen Daldry,114,Adventure|Crime|Drama|Mystery|Thriller,14437,http://www.imdb.com/title/tt1921149/?ref_=fn_tt_tt_1,68,2.35
Kenny Ortega,112,Comedy|Drama|Family|Music|Musical|Romance,43795,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,734,1.85
David O. Russell,116,Biography|Drama|Sport,275869,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,238,2.35
Jeff Tremaine,92,Action|Comedy|Documentary,56595,http://www.imdb.com/title/tt0493430/?ref_=fn_tt_tt_1,362,1.85
Jonathan Lynn,120,Comedy|Crime,82743,http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1,655,1.85
R.J. Cutler,107,Drama|Fantasy|Music|Romance,83893,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,1000,2.35
Brian Trenchard-Smith,92,Action|Comedy|Crime,3104,http://www.imdb.com/title/tt2968804/?ref_=fn_tt_tt_1,37,
David S. Ward,107,Comedy|Sport,49007,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,854,1.85
Oliver Parker,100,Comedy,18220,http://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,692,1.85
Joel Schumacher,81,Crime|Thriller,207934,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,465,2.35
Adam Shankman,101,Drama|Romance,162701,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,548,2.35
Tim Robbins,122,Crime|Drama,73193,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,258,1.85
Roger Kumble,97,Drama|Romance,149222,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,656,1.85
Kevin Greutert,92,Horror|Mystery,76207,http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1,651,1.85
Mel Brooks,92,Comedy,36559,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,898,2.35
Gina Prince-Bythewood,110,Drama,19440,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,551,2.35
Rob Pritts,86,Comedy|Crime,10966,http://www.imdb.com/title/tt0250310/?ref_=fn_tt_tt_1,580,1.85
Brian De Palma,91,Crime|Drama|Thriller,9903,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,330,1.85
Norman Jewison,145,Drama,5561,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,595,1.85
Tobe Hooper,100,Horror|Sci-Fi,5187,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,394,2.35
John Crowley,111,Drama|Romance,73249,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,55,1.85
Stanley Kubrick,184,Adventure|Drama|History|War,101627,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,293,1.66
Brendan Malloy,89,Comedy|Sport,14656,http://www.imdb.com/title/tt0253798/?ref_=fn_tt_tt_1,711,1.85
Reginald Hudlin,84,Comedy,10777,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,723,1.85
Dustin Hoffman,98,Comedy|Drama,15684,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,156,2.35
Gregory Poirier,95,Comedy,15427,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,660,1.85
Bill Paxton,100,Crime|Drama|Thriller,59982,http://www.imdb.com/title/tt0264616/?ref_=fn_tt_tt_1,472,1.85
Simon Curtis,109,Biography|Drama|History,33856,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,638,2.35
Bill Condon,118,Biography|Drama,42689,http://www.imdb.com/title/tt0362269/?ref_=fn_tt_tt_1,1000,2.35
Sam Raimi,88,Comedy|Fantasy|Horror,128850,http://www.imdb.com/title/tt0106308/?ref_=fn_tt_tt_1,888,1.85
Dewey Nicks,86,Comedy|Romance,12437,http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1,448,1.85
Lasse Hallström,118,Drama|Romance,171882,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,29000,1.85
Philip Saville,125,Biography|Drama|History,2164,http://www.imdb.com/title/tt0377992/?ref_=fn_tt_tt_1,147,1.85
Mike Leigh,125,Crime|Drama,20307,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,594,1.85
Daisy von Scherler Mayer,94,Comedy|Music|Romance,13622,http://www.imdb.com/title/tt0280720/?ref_=fn_tt_tt_1,463,1.85
Mira Nair,113,Comedy|Drama|Romance,1761,http://www.imdb.com/title/tt0114113/?ref_=fn_tt_tt_1,979,1.85
Ethan Coen,104,Drama|Music,96233,http://www.imdb.com/title/tt2042568/?ref_=fn_tt_tt_1,275,1.85
Tim Blake Nelson,95,Drama|Romance|Thriller,17333,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,835,1.85
William A. Graham,102,Adventure|Drama|Romance,14129,http://www.imdb.com/title/tt0102782/?ref_=fn_tt_tt_1,163,1.85
Martin Ritt,124,Drama|History,2603,http://www.imdb.com/title/tt0066090/?ref_=fn_tt_tt_1,275,2.35
John Turturro,105,Comedy|Musical|Romance,10052,http://www.imdb.com/title/tt0368222/?ref_=fn_tt_tt_1,12000,2.35
Agnieszka Holland,104,Biography|Drama|Music,11132,http://www.imdb.com/title/tt0424908/?ref_=fn_tt_tt_1,35,2.35
Tobe Hooper,120,Fantasy|Horror,105448,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,770,2.35
