actor_2_name,actor_3_name,title_year,imdb_score
Sylvester Stallone,Janeane Garofalo,1997,6.9
JoAnna Garcia Swisher,Mia Kirshner,2001,5.7
Anna Kendrick,America Ferrera,2012,7.7
Bradley Cooper,Bill Murray,2015,5.4
Leslie Bibb,William Petersen,2000,5.6
Emily Watson,Simon McBurney,2014,7.7
Regina Hall,Blair Underwood,2003,5.1
James Frain,Stockard Channing,2000,6.8
José Ferrer,Jack Hawkins,1962,8.4
Tyler Mane,Margot Kidder,2009,4.9
Kevin Rankin,Gaby Hoffmann,2014,7.1
Monica Potter,Martha MacIsaac,2009,6.6
Debra Messing,Holland Taylor,2005,6.1
Thomas Ian Nicholas,Bianca Kajlich,2002,4.1
Jason Flemyng,Alexa Davalos,2010,5.8
Carol Kane,André the Giant,1987,8.1
Jurnee Smollett-Bell,John Heard,2007,7.6
Albert Brooks,Russ Tamblyn,2011,7.8
Carol Kane,Glenne Headly,2004,4.6
Tim Daly,Kali Rocha,1998,6.0
Harold Perrineau,Catherine McCormack,2007,7.0
Matthew Daddario,Ser'Darius Blain,2014,6.7
Luke Benward,Eva Marie Saint,2005,6.4
Sanaa Lathan,Omar Epps,2000,7.2
Michael Cudlitz,Mitchell Ryan,1997,7.4
Katy Mixon,Beth Grant,2009,4.8
Erica Leerhsen,Kurt Loder,2000,4.0
Rachel True,Brenda Strong,1996,6.2
Mark Gatiss,Penelope Wilton,2005,7.7
Hutch Dano,Jason Spevack,2010,6.7
Peter Vaughan,Ben Chaplin,1993,7.9
Nicole Ari Parker,Nina Hartley,1997,7.9
Rosanna Arquette,Joss Ackland,1993,5.5
Danny Pino,Tim McGraw,2006,6.2
Daniella Alonso,Jacob Vargas,2007,5.1
Joey Lawrence,Jacinda Barrett,2000,4.1
Sissy Spacek,Jonathan Jackson,2002,6.7
Firass Dirani,Drew Powell,2006,4.7
Will Forte,Keegan-Michael Key,2016,6.4
Cinda McCain,Tim McGraw,2010,6.3
Ethan Embry,Katharine Isabelle,1998,5.5
Ben Mendelsohn,Angelo Anthony Pizza,2012,7.3
Akie Kotabe,Will Patton,2014,6.3
Patrick Bergin,Geneviève Bujold,1999,4.9
Christian Camargo,Brian Geraghty,2008,7.6
George C. Scott,David Keith,1984,6.0
Sam Shepard,Ben Mendelsohn,2012,6.2
Nina Hoss,Homayoun Ershadi,2014,6.8
Harland Williams,Eddie Kaye Thomas,2001,4.5
Cam Clarke,Phil Vischer,2008,5.7
The Edge,Larry Mullen Jr.,2007,8.4
Adrian Paul,Adam Copeland,2000,4.6
Faizon Love,Bobb'e J. Thompson,2006,6.2
Jim Sturgess,Rafe Spall,2011,7.0
Jimmy Fallon,Alia Shawkat,2009,6.9
Tom Noonan,Kevin Gage,2001,6.1
Brian Van Holt,Leland Orser,2003,6.7
Bradley Whitford,Albert Brooks,1999,5.6
