actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes
766,Connie Nielsen,13000,Bill Murray,640,933,5000
861,Donald Faison,929,David Zayas,944,927,13000
111,Celia Imrie,220,Tina Desai,100,186,21000
558,Jane Krakowski,918,Julia Ormond,24,624,851
804,Chris Noth,1000,Ben Feldman,104,962,767
203,Nicholas Turturro,18000,Denzel Washington,30,269,720
39,Simon Rhee,176,Steve Oedekerk,518,67,0
536,Ariana Richards,651,Reba McEntire,248,610,11000
648,Lindy Booth,2000,Kevin Zegers,540,683,0
695,David Carradine,2000,Dennis Quaid,78,926,680
45,Paul Ben-Victor,258,Byron Mann,131,218,328
820,Tye Sheridan,11000,Matthew McConaughey,261,1000,27000
307,Thomas Lennon,655,Wendi McLendon-Covey,73,651,441
547,Zayn Malik,773,Harry Styles,68,734,0
503,Noureen DeWulf,839,Rob Riggle,59,700,0
636,Vincent Schiavelli,1000,Jennifer Jason Leigh,43,811,227
918,Toby Jones,13000,Eddie Redmayne,216,2000,17000
442,Philip Baker Hall,3000,Adam Scott,234,497,808
582,Nia Long,962,Leonard Roberts,28,826,1000
458,Allison Tolman,1000,Busy Philipps,279,562,15000
30,Chad Allen,772,Chase Ellison,148,232,1000
869,Kirsten Dunst,15000,Mila Kunis,180,4000,0
759,Stephen Root,989,Gary Cole,621,939,16000
551,Kirstie Alley,4000,Kirsten Dunst,321,980,0
309,Danny Huston,11000,Christoph Waltz,147,430,20000
711,Daniel Stern,4000,Jon Favreau,481,796,0
2000,Alexa PenaVega,7000,Steve Carell,75,2000,0
298,Dennis Franz,537,Melanie Griffith,178,376,0
472,Will Forte,1000,Jasper Cole,125,622,0
250,Benedict Wong,460,Sophie Okonedo,203,372,0
3000,Kate Winslet,20000,Hugh Jackman,352,14000,25000
3000,Angelina Jolie Pitt,40000,Johnny Depp,374,11000,25000
655,William Morgan Sheppard,939,Stephen Root,53,702,518
172,Mark Moses,7000,Steve Carell,221,353,25000
727,Stephen Root,1000,Kurtwood Smith,85,939,0
476,T.J. Thyne,1000,Michaela Conlin,173,722,0
602,Beverly D'Angelo,1000,Ethan Suplee,1420,816,35000
444,Johanna Braddy,1000,Daniel Sharman,99,581,14000
719,Kelsey Grammer,886,Nathan Lane,26,808,49
2,Clotilde Mollet,24,Johannes Silberschneider,247,3,0
201,Richard Farnsworth,874,Sissy Spacek,414,262,0
934,James Franco,12000,Norman Reedus,92,11000,398
322,Philip Baker Hall,628,Beth Grant,119,497,0
231,Iddo Goldberg,427,Dylan Moran,143,269,0
378,Randy Quaid,753,Bernadette Peters,31,695,425
664,Gillian Jacobs,1000,Jennifer Ehle,57,837,0
401,Tamala Jones,719,Jerry Stiller,79,405,0
294,Toby Huss,23000,Christian Bale,205,342,0
970,Jennifer Garner,14000,Al Pacino,100,3000,0
581,Evan Ross,2000,Judy Greer,112,616,0
72,Waris Ahluwalia,144,Flavio Parenti,114,110,0
699,Diedrich Bader,823,Robert Picardo,122,759,0
541,Michael Wincott,10000,Gary Oldman,88,721,561
132,Lesley Ann Warren,402,Peter Fonda,240,296,944
911,Loretta Devine,3000,Don Cheadle,1624,912,18000
553,Anthony LaPaglia,902,Eric Stoltz,181,576,345
311,Tracey Walter,754,Cliff Robertson,37,324,208
