director_facebook_likes,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes
0,23456,http://www.imdb.com/title/tt1598822/?ref_=fn_tt_tt_1,134,5.7,1.85,20000
49,11662,http://www.imdb.com/title/tt0218922/?ref_=fn_tt_tt_1,181,6.0,2.35,3000
160,2356,http://www.imdb.com/title/tt1486192/?ref_=fn_tt_tt_1,190,6.4,2.35,35000
80,2466,http://www.imdb.com/title/tt0361925/?ref_=fn_tt_tt_1,95,5.2,1.85,260
5,2960,http://www.imdb.com/title/tt0110027/?ref_=fn_tt_tt_1,79,4.3,2.35,319
30,2228,http://www.imdb.com/title/tt0115710/?ref_=fn_tt_tt_1,55,6.1,1.85,145
2,2170,http://www.imdb.com/title/tt0119227/?ref_=fn_tt_tt_1,69,6.3,1.85,0
11000,12534,http://www.imdb.com/title/tt0256524/?ref_=fn_tt_tt_1,178,6.8,1.37,826
737,19068,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1,28,4.0,1.85,0
0,616,http://www.imdb.com/title/tt0116322/?ref_=fn_tt_tt_1,26,5.2,2.35,504
763,17847,http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1,126,6.5,2.35,11000
353,1565,http://www.imdb.com/title/tt0387131/?ref_=fn_tt_tt_1,568,7.5,1.85,0
0,705,http://www.imdb.com/title/tt0335345/?ref_=fn_tt_tt_1,2814,7.1,2.35,13000
0,52201,http://www.imdb.com/title/tt0107614/?ref_=fn_tt_tt_1,223,6.9,2.35,0
272,12285,http://www.imdb.com/title/tt0095953/?ref_=fn_tt_tt_1,331,8.0,1.85,12000
16000,17347,http://www.imdb.com/title/tt1205489/?ref_=fn_tt_tt_1,871,8.2,2.35,28000
0,4264,http://www.imdb.com/title/tt1175491/?ref_=fn_tt_tt_1,320,6.4,2.35,0
180,16461,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,974,7.9,2.35,29000
97,3197,http://www.imdb.com/title/tt1972779/?ref_=fn_tt_tt_1,99,6.7,2.35,19000
81,2551,http://www.imdb.com/title/tt0103855/?ref_=fn_tt_tt_1,126,6.1,1.85,0
14000,15233,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,1273,8.9,1.85,41000
150,23227,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,460,8.1,1.85,75000
386,36337,http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1,105,6.2,2.35,11000
67,7800,http://www.imdb.com/title/tt0331632/?ref_=fn_tt_tt_1,149,4.9,1.85,567
0,1166,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,18,5.4,1.85,0
31,4692,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,885,5.8,2.35,3000
187,1041,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,25,4.7,2.35,488
8,2251,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,118,6.0,1.85,425
198,3958,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,2192,7.0,1.85,0
34,2501,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,93,6.0,1.85,0
0,22767,http://www.imdb.com/title/tt0094226/?ref_=fn_tt_tt_1,418,7.9,2.35,0
1000,4738,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,1518,8.1,2.35,21000
167,2394,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,109,6.2,2.35,0
11,16999,http://www.imdb.com/title/tt0243155/?ref_=fn_tt_tt_1,571,6.7,2.35,0
529,1323,http://www.imdb.com/title/tt0241303/?ref_=fn_tt_tt_1,498,7.3,1.85,18000
0,3500,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,297,4.6,1.85,660
99,5740,http://www.imdb.com/title/tt1047540/?ref_=fn_tt_tt_1,107,6.1,1.85,0
425,22739,http://www.imdb.com/title/tt1411238/?ref_=fn_tt_tt_1,178,6.2,2.35,24000
170,4453,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,439,7.8,2.35,11000
43,9082,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,365,6.1,2.35,0
503,673,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,7.6,2.35,7000
70,2420,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,571,5.8,2.35,0
96,1852,http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1,106,6.5,2.35,29000
47,28071,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,522,7.2,1.85,6000
395,58823,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,632,7.8,2.35,0
0,3202,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,27,4.7,1.85,0
248,16606,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,755,6.8,2.35,32000
21,23328,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,450,5.9,2.35,0
285,656730,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,577,7.2,1.85,0
17000,24783,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,989,8.7,1.85,25000
91,3037,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,104,5.0,2.35,542
52,17278,http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1,181,6.6,2.35,0
0,16464,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,851,8.3,2.35,19000
176,2457,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,92,6.7,1.85,0
973,2451,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,133,7.8,2.35,0
175,26625,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,161,6.5,2.35,0
420,2530,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,41,6.1,2.35,666
0,533,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,1107,8.1,2.35,16000
0,2908,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,33,5.2,2.35,187
