duration,actor_2_name,genres,actor_1_name,num_voted_users,num_user_for_reviews,country,content_rating,title_year,imdb_score
98,Carol Kane,Adventure|Family|Fantasy|Romance,Robin Wright,294163,718,USA,PG,1987,8.1
126,Jurnee Smollett-Bell,Biography|Drama,Denzel Washington,47626,118,USA,PG-13,2007,7.6
100,Albert Brooks,Crime|Drama,Ryan Gosling,431578,1264,USA,R,2011,7.8
89,Carol Kane,Comedy|Family|Music|Romance,Adam Garcia,23408,105,Germany,PG,2004,4.6
111,Tim Daly,Comedy|Drama|Romance,Liam Aiken,15582,132,USA,R,1998,6.0
100,Harold Perrineau,Drama|Horror|Sci-Fi,Jeremy Renner,212167,713,UK,R,2007,7.0
115,Matthew Daddario,Drama|Family|Sport,Jessie T. Usher,12596,64,USA,PG,2014,6.7
106,Luke Benward,Comedy|Drama|Family,Cicely Tyson,8427,88,USA,PG,2005,6.4
124,Sanaa Lathan,Drama|Romance|Sport,Alfre Woodard,14322,116,USA,PG-13,2000,7.2
107,Michael Cudlitz,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,73347,296,USA,R,1997,7.4
99,Katy Mixon,Comedy|Romance,Bradley Cooper,33088,143,USA,PG-13,2009,4.8
90,Erica Leerhsen,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,28964,457,USA,R,2000,4.0
101,Rachel True,Drama|Fantasy|Horror|Thriller,Christine Taylor,57140,195,USA,R,1996,6.2
119,Mark Gatiss,Drama|Romance|Thriller,Scarlett Johansson,166269,735,UK,R,2005,7.7
103,Hutch Dano,Adventure|Comedy|Family|Fantasy,Sierra McCormick,13874,52,USA,G,2010,6.7
134,Peter Vaughan,Drama|Romance,Anthony Hopkins,45703,156,UK,PG,1993,7.9
155,Nicole Ari Parker,Drama,Don Cheadle,189032,560,USA,R,1997,7.9
94,Rosanna Arquette,Action|Crime|Drama|Romance|Thriller,Kieran Culkin,17074,55,USA,R,1993,5.5
95,Danny Pino,Adventure|Drama|Family,Alison Lohman,6095,76,USA,PG,2006,6.2
89,Daniella Alonso,Horror,Jeff Kober,49721,211,USA,R,2007,5.1
97,Joey Lawrence,Horror|Mystery|Thriller,Loretta Devine,13048,227,USA,R,2000,4.1
90,Sissy Spacek,Drama|Family|Fantasy|Romance,William Hurt,17983,127,USA,PG,2002,6.7
92,Firass Dirani,Action|Drama|Thriller,Kelly Carlson,27486,284,USA,PG-13,2006,4.7
100,Will Forte,Action|Comedy,Nia Long,15385,84,USA,R,2016,6.4
117,Cinda McCain,Drama|Music,Leighton Meester,14814,114,Official site,PG-13,2010,6.3
84,Ethan Embry,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,17328,237,Australia,R,1998,5.5
140,Ben Mendelsohn,Crime|Drama|Thriller,Ryan Gosling,187170,376,USA,R,2012,7.3
108,Akie Kotabe,Action|Crime|Thriller,Luke Bracey,50056,152,USA,R,2014,6.3
109,Patrick Bergin,Drama|Mystery|Thriller,Jason Priestley,13320,415,Canada,R,1999,4.9
131,Christian Camargo,Drama|History|Thriller|War,Jeremy Renner,332065,876,USA,R,2008,7.6
114,George C. Scott,Action|Horror|Sci-Fi|Thriller,Heather Locklear,22797,96,USA,R,1984,6.0
97,Sam Shepard,Crime|Thriller,Brad Pitt,111625,369,USA,R,2012,6.2
122,Nina Hoss,Crime|Drama|Thriller,Philip Seymour Hoffman,57210,158,UK,R,2014,6.8
87,Harland Williams,Comedy,Rip Torn,39788,619,USA,R,2001,4.5
85,Cam Clarke,Adventure|Animation|Comedy|Family,Yuri Lowenthal,2037,22,USA,G,2008,5.7
85,The Edge,Documentary|Music,Bono,2673,31,USA,G,2007,8.4
101,Adrian Paul,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,16340,355,USA,R,2000,4.6
121,Faizon Love,Crime|Drama|Musical|Romance,Cicely Tyson,4603,91,USA,R,2006,6.2
107,Jim Sturgess,Drama|Romance,Anne Hathaway,106111,181,USA,PG-13,2011,7.0
111,Jimmy Fallon,Drama|Sport,Daniel Stern,55665,118,USA,PG-13,2009,6.9
92,Tom Noonan,Crime|Drama|Thriller,Vin Diesel,19768,135,USA,R,2001,6.1
97,Brian Van Holt,Crime|Thriller,Louis Lombardi,30643,144,USA,R,2003,6.7
97,Bradley Whitford,Comedy,Jeff Bridges,9294,140,USA,PG-13,1999,5.6
125,Keith Allen,Biography|Drama|Music|Musical,Kevin McNally,9649,226,USA,PG-13,2004,6.6
124,Larry David,Comedy|Drama|Romance,Woody Allen,13692,55,USA,PG,1989,6.4
76,Kyla Pratt,Adventure|Family,Trevor Morgan,2724,53,Canada,G,1998,2.8
107,RZA,Action,Rick Yune,53471,224,USA,R,2012,5.4
91,Jake Busey,Comedy|Drama|Romance,Catherine O'Hara,7159,88,USA,PG-13,1998,5.0
96,Chris Klein,Drama|Romance,Bruce Greenwood,7403,162,USA,PG-13,2000,5.1
142,Bob Hoskins,Drama|Sci-Fi,Robert De Niro,152306,513,UK,R,1985,8.0
103,Rebecca De Mornay,Family|Music|Romance,Oliver James,22649,212,USA,PG,2004,5.9
60,Nicole de Boer,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,7122,77,Canada,TV-14,,7.5
117,Jeff Bridges,Comedy|Crime,Philip Seymour Hoffman,537419,1028,USA,R,1998,8.2
116,Michael Raymond-James,Drama|Music,Justin Timberlake,52421,200,USA,R,2006,7.0
118,Dash Mihok,Crime|Drama|Romance|Thriller,Khandi Alexander,17261,125,USA,R,2002,6.6
108,Archie Panjabi,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,24150,118,USA,R,2007,6.7
94,Jodi Lyn O'Keefe,Comedy|Drama|Romance,James Franco,8055,89,USA,PG-13,2000,5.5
97,Lin Shaye,Comedy,Vivica A. Fox,26598,132,USA,R,2002,4.9
