director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes
Frank Coraci,188,120,153,447,1000,Action|Adventure|Comedy,3175,Cécile De France,0,19th century|around the world|inventor|martial arts|train,191,PG,2004,1000
Michael Mann,174,165,0,780,10000,Biography|Drama|Sport,14196,Joe Morton,1,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,386,R,2001,851
Bo Welch,109,82,34,434,760,Adventure|Comedy|Family|Fantasy,2762,Spencer Breslin,1,based on cult comic book|cat|home alone|imagination|talking cat,456,PG,2003,743
Alex Proyas,225,115,295,466,10000,Action|Mystery|Sci-Fi|Thriller,12068,Chi McBride,1,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,789,PG-13,2004,981
Ridley Scott,239,194,0,195,14000,Action|Adventure|Drama|History|War,19600,Philip Glenister,1,12th century|crusader|jerusalem|knight|medieval times,942,R,2005,5000
Rob Minkoff,101,84,50,692,979,Adventure|Comedy|Family|Fantasy,3382,Jeffrey Jones,0,box office hit|cat|first part|mouse|orphanage,179,PG,1999,886
Ron Clements,228,97,63,525,852,Animation|Family|Fantasy|Musical|Romance,2480,Anika Noni Rose,0,amphibian|dream|frog|frog prince|waitress,214,G,2009,578
Ridley Scott,568,151,0,372,13000,Adventure|Drama|Sci-Fi,14831,Benedict Wong,1,astronaut|international cooperation|left for dead|nasa|space habitat,1023,PG-13,2015,801
Christopher Barnard,,22,0,,5,Comedy,5,,0,,,,,
Michael Bay,257,136,0,3000,19000,Action|Adventure|Romance|Sci-Fi|Thriller,34839,Djimon Hounsou,1,clone|environment|escape|island|lottery,899,PG-13,2005,12000
Peter Chelsom,62,104,23,591,752,Comedy|Romance,3133,Garry Shandling,0,anniversary|architect|cellist|friend|hardware store,89,R,2001,631
Dominic Sena,175,127,57,3000,12000,Action|Crime|Thriller,29069,Robert Duvall,1,auto theft|brother|car|theft|thief,498,PG-13,2000,11000
Ridley Scott,265,171,0,695,3000,Action|Drama|Romance,6521,Oliver Reed,0,battlefield|blood|combat|gladiator|roman empire,2368,R,2000,933
Steven Spielberg,252,145,14000,533,10000,Action|Mystery|Sci-Fi|Thriller,12546,Jessica Capshaw,0,future|murder|neo noir|washington d.c.|year 2054,1331,PG-13,2002,798
Chris Columbus,232,174,0,9000,11000,Adventure|Family|Fantasy|Mystery,35672,Emma Watson,1,bildungsroman|flying broom|invisibility cloak|monster|wizardry,858,PG,2002,10000
Martin Campbell,400,144,258,834,6000,Action|Adventure|Thriller,9125,Ivana Milicevic,1,casino|espionage|free running|james bond|terrorist,2301,PG-13,2006,1000
Tim Burton,230,119,13000,567,1000,Action|Adventure|Sci-Fi|Thriller,2776,Erick Avari,0,astronaut|cage|planet|wilhelm scream|year 2029,1368,PG-13,2001,658
James Cameron,210,153,0,539,780,Action|Sci-Fi,2829,S. Epatha Merkerson,0,future|liquid metal|multiple cameos|sexy woman|time travel,983,R,1991,604
Michael Mann,357,140,0,1000,40000,Biography|Crime|Drama|History|Romance,64599,Stephen Graham,1,1930s|bank|celebrity criminal|fbi|public enemy number one,585,R,2009,23000
Ridley Scott,300,176,0,561,18000,Biography|Crime|Drama,20354,RZA,0,death|heroin|popcorn|smuggling|vietnam,458,R,2007,782
James Cameron,94,141,0,618,2000,Action|Comedy|Thriller,4528,Tom Arnold,0,espionage|secret agent|secret mission|spy|spy film,351,R,1994,1000
Tony Scott,267,106,12000,385,18000,Action|Crime|Thriller,19906,Michael Rispoli,1,hijack|hostage|ransom|subway|train,285,R,2009,464
Paul Weitz,180,98,80,708,22000,Comedy|Romance,24082,Teri Polo,10,birthday|critically bashed|male nurse|nurse|suspicion,152,PG-13,2010,713
