num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
211,38,113,21223,Tony Kgoroge,1,108,UK,35000000,2013,98,2.35,13000
57,521,635,16255,M. Emmet Walsh,0,127,USA,35000000,1981,631,1.85,0
81,574,10000,181879,Kevin Pollak,0,319,USA,40000000,1992,2000,2.35,0
107,655,2000,27580,Bruce McGill,0,232,USA,33000000,2001,1000,2.35,742
100,330,826,66941,Tichina Arnold,1,148,USA,30000000,2000,436,1.85,1000
60,11,324,4265,Joe Ochman,0,16,Belgium,34000000,2013,15,2.35,0
195,48,614,49312,Dato Bakhtadze,0,211,USA,30000000,2011,150,2.35,0
121,433,3000,45394,Misha Gabriel Hamilton,0,72,USA,33000000,2012,594,2.35,19000
285,491,852,115649,Rachel Blanchard,0,1033,Germany,33000000,2006,521,2.35,4000
103,178,18000,22220,Chris Ellis,0,181,USA,33000000,2000,223,1.85,463
192,336,669,124242,Eddie Jemison,1,622,USA,33000000,2004,403,2.35,4000
90,577,722,50919,Stephen Dillane,0,114,USA,10000000,2005,580,2.35,0
258,317,26000,83097,Robert John Burke,2,134,USA,30000000,2012,828,2.35,12000
56,551,11000,24826,Jake Weber,3,175,USA,38000000,1999,617,2.35,783
197,504,11000,681857,Kenny Baker,0,647,USA,32500000,1983,1000,2.35,14000
254,43,165,62770,Jeremy Crutchley,1,396,UK,30000000,2008,107,2.35,0
299,50,14000,189812,Susanne Lothar,0,370,USA,32000000,2008,388,1.85,15000
163,833,1000,62198,Joe Lo Truglio,2,139,USA,,2012,945,1.85,0
152,8000,22000,147597,Will Ferrell,1,395,USA,33000000,2003,11000,1.85,21000
53,796,3000,63839,David Gallagher,1,118,USA,32000000,1996,941,2.35,0
67,521,773,20219,M. Emmet Walsh,1,100,Canada,35000000,2002,664,1.85,0
88,1000,13000,61396,Robert Mitchum,1,159,USA,32000000,1988,1000,1.85,11000
163,327,678,65551,Héctor Jiménez,1,441,Germany,32000000,2006,635,1.85,0
