num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,actor_3_name,num_user_for_reviews,title_year,aspect_ratio
18,12,2,Félix Moati,,Comedy|Drama,François Cluzet,Marianne Denicourt,1,2016,
8,5,233,Annabella Sciorra,,Thriller,Paula Garcés,John Brodsky,9,2013,
105,44,704,Ringo Starr,515005,Comedy|Musical,Paul McCartney,George Harrison,219,1964,1.75
3,6,,,2245,Documentary,,,2,2011,
4,11,221,Sally Kirkland,,Drama|Romance,Jamie Lee Curtis,Amy Madigan,9,1983,
2,0,0,Spela Colja,,Comedy,Dario Nozic Serini,Andrej Nahtigal,2,2015,2.35
50,589,150,Ken Bevel,33451479,Drama|Romance,Kirk Cameron,Erin Bethea,215,2008,1.85
19,95,0,Pant Shirt Baba,,Biography|Documentary|Drama,Bhole Baba,Shriman Umeshanad Brahmachari,3,2013,1.85
5,24,142,Peter Breck,39552600,Adventure|Family|Romance,Frances Bavier,Edgar Buchanan,36,1974,1.85
235,9,7,Saul Stein,30500882,Adventure|Biography|Drama|Horror|Thriller,Blanchard Ryan,Daniel Travis,916,2003,1.85
8,490,201,Matt Jones,,Comedy,Joe Lo Truglio,Abby Elliott,3,2011,
95,8,22,Hoke Howell,17000000,Horror|Sci-Fi,Woody Strode,Tiffany Bolling,84,1977,1.85
84,2,0,Eva Carrozza,8044906,Documentary|Family|Music,Heather Berman,Paul Daggett,65,2005,1.85
154,310,587,Joe Lo Truglio,5739376,Comedy|Drama,Peter Dinklage,Paula Garcés,286,2003,1.85
20,3,234,Sean Michael Afable,3773863,Drama,Randy Wayne,D. David Morin,55,2009,2.35
88,3,2,Bill Clinton,3117666,Documentary,Ken Burns,Bob Dole,43,2006,1.66
70,6,43,Vince McMahon,2047570,Biography|Documentary|Sport,Terry Funk,Mick Foley,80,1999,1.85
5,0,15,Lincoln Hoppe,1250798,Comedy|Drama|Romance,Kirby Heyborne,Daryn Tufts,53,2002,
