num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
65,98,85,186,Tawny Kitaen,Horror|Mystery|Thriller,1,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,74,English,UK,2000000,1986,194,5.7,1.85,0
8,22,,344,Amy Sedaris,Comedy,3,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,62,English,USA,,,396,8.1,4.0,558
85,150,0,401,Brian Blessed,Drama,0,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,English,UK,18000000,1996,591,7.8,2.2,0
160,101,263,37,Peter Stickles,Comedy|Drama|Romance,3,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,206,English,USA,2000000,2006,51,6.5,1.78,0
231,90,56,0,Ronny Dayag,Animation|Biography|Documentary|Drama|History|War,0,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,156,Hebrew,Israel,1500000,2008,0,8.0,1.85,0
7,120,0,40,Kirby Heyborne,Adventure,1,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,30,English,USA,2000000,2003,69,3.3,1.85,32
79,102,117,17,Dick Cheney,Documentary|War,0,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,55,English,USA,2000000,2007,21,8.3,1.85,0
168,102,22,80,David Fine,Drama|Romance,3,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,72,English,USA,2000000,2015,1000,6.9,2.35,0
1,60,,143,Jon Tenney,Comedy|Drama|Romance,5,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,26,English,USA,,,289,7.3,1.33,43
107,100,90,65,Buzz Aldrin,Documentary|History,0,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,44,English,UK,2000000,2007,142,8.1,1.85,0
200,104,129,887,Zoe Kazan,Drama|Western,1,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,98,English,USA,,2010,962,6.5,1.33,0
123,89,13,218,Bill Maher,Biography|Documentary|History,0,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,64,English,USA,2000000,2005,334,6.8,1.85,592
39,99,34,120,Manny Perez,Crime|Drama|Romance,1,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,73,English,USA,,2000,159,7.3,1.85,495
41,96,11,490,Bob Balaban,Comedy|Drama,4,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,111,English,UK,,1997,559,6.4,,166
46,86,10,126,Krysta Rodriguez,Comedy,0,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,13,English,USA,3400000,2010,131,4.6,1.85,974
30,98,0,164,Isabelle Adjani,Comedy|Drama|Thriller,1,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,45,French,France,17000000,1985,572,6.5,2.35,739
46,96,0,902,Mark Margolis,Comedy|Drama,2,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,86,English,USA,6000000,2004,1000,7.0,1.85,857
221,94,53,268,Nathan Parsons,Comedy|Fantasy|Horror|Thriller,1,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,161,English,USA,,2007,357,5.4,1.85,17000
51,91,4,0,Stephane Gauger,Action|Adventure|Comedy|Drama|Music|Sci-Fi,1,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,102,English,USA,2000000,1998,3,6.7,1.85,0
1,,4,72,Bobby Deol,Action|Comedy|Romance|Thriller,2,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,1,Hindi,India,,2000,89,2.8,,10
58,90,31,137,Neil Maskell,Biography|Comedy|Drama|Music,1,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,67,English,UK,,2004,246,7.4,2.35,0
45,85,0,966,Steve Buscemi,Comedy|Drama,1,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,11,English,USA,3800000,2009,12000,5.8,2.35,407
44,96,222,20,Annette Badland,Comedy|Drama|Romance|Sport,2,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1,21,English,UK,,1997,497,7.1,1.85,224
74,129,776,256,Caleb Landry Jones,Drama,0,http://www.imdb.com/title/tt3018070/?ref_=fn_tt_tt_1,30,English,USA,13500000,2015,463,4.5,2.35,0
20,60,,543,Colin Ferguson,Comedy|Drama|Sci-Fi,2,http://www.imdb.com/title/tt0796264/?ref_=fn_tt_tt_1,136,English,USA,,,747,7.9,1.78,3000
6,93,32,24,Sanjay Mishra,Animation|Comedy|Family|Romance,0,http://www.imdb.com/title/tt1050739/?ref_=fn_tt_tt_1,17,Hindi,India,,2008,85,5.3,2.35,39
5,100,84,267,Frank Vincent,Crime|Drama,4,http://www.imdb.com/title/tt0338497/?ref_=fn_tt_tt_1,18,English,USA,,2003,356,5.4,1.85,61
10,97,19,395,Jansen Panettiere,Adventure|Family|Fantasy,,http://www.imdb.com/title/tt1390539/?ref_=fn_tt_tt_1,16,English,Thailand,,2013,488,4.8,2.35,715
81,94,98,89,Jeremy Jordan,Comedy|Drama|Musical|Romance,7,http://www.imdb.com/title/tt2474024/?ref_=fn_tt_tt_1,40,English,USA,,2014,773,5.9,2.35,0
66,95,8,399,Amy Ryan,Drama,3,http://www.imdb.com/title/tt1105512/?ref_=fn_tt_tt_1,23,English,USA,1500000,2009,423,6.2,1.85,195
46,97,97,163,Kent McCord,Horror|Romance|Sci-Fi,1,http://www.imdb.com/title/tt0107953/?ref_=fn_tt_tt_1,130,English,USA,2000000,1993,196,5.9,1.85,810
34,92,11,1000,Chris Evans,Drama|Romance,2,http://www.imdb.com/title/tt0449061/?ref_=fn_tt_tt_1,90,English,UK,14000,2005,11000,6.6,2.35,0
78,96,38,85,Kate Burton,Drama,1,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,78,English,USA,2000000,2006,223,6.6,1.85,474
52,85,54,455,Megan Mullally,Comedy|Crime,1,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92,English,USA,25000000,2002,637,5.1,1.85,215
29,87,0,94,Michael McLafferty,Drama|Horror|Mystery|Sci-Fi|Thriller,0,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,59,English,USA,,2015,152,6.0,,0
161,91,43,418,Jack O'Connell,Horror|Thriller,1,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,357,English,UK,,2008,698,6.8,2.35,0
18,99,308,395,James Kyson,Thriller,2,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,24,English,USA,,2013,449,5.4,1.78,604
107,88,6,161,James Corden,Action|Comedy|Fantasy|Horror,3,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,91,English,UK,,2009,480,5.2,2.35,0
30,119,5,12,Kenneth Nkosi,Action|Crime|Drama,2,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,23,English,South Africa,2000000,2008,18,7.8,2.35,1000
24,99,0,268,Lee Evans,Crime|Drama|Thriller,1,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,41,English,UK,2000000,2004,312,6.4,2.35,205
116,92,6,103,Sean Rogerson,Horror,0,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,English,Canada,100000,2011,113,6.1,1.78,0
