num_critic_for_reviews,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,plot_keywords,content_rating,budget,title_year,actor_2_facebook_likes
125,1000,54200000,2566,Ray Charles,band|catholic|money|parolee|prison,R,27000000,1980,809
73,953,44087387,3525,Michael Rady,actor|drawing|friendship|pregnancy|turkey,PG-13,,2008,713
98,1000,30920167,3389,Jesse L. Martin,bare chested male|chips|two word title,PG-13,25000000,2012,773
158,66,40566655,74,Peter McNicholl,boy|friend|imaginary son|single father|single mother,PG-13,30000000,2002,5
152,1000,31768374,3313,Ty Olsson,crocodile|eaten alive|lake|maine|sheriff,R,27000000,1999,888
202,13000,22494487,26451,Dorian Missick,coroner|death|gay son|love|mistaken identity,R,27000000,2006,11000
80,2000,21500000,6341,Sam Shepard,astronaut|sound barrier|space program|u.s. air force|u.s. space program,PG,27000000,1983,826
288,898,4463292,2452,Rafe Spall,earl of oxford|play|queen|rebellion|shakespeare play,PG-13,30000000,2011,584
99,523,,1560,Alan Oppenheimer,book|dragon|story within the story|talking animal|werewolf,PG,27000000,1984,312
222,3000,14337579,4696,Bruce Spence,memory|murder|neo noir|retrofuturism|tech noir,R,27000000,1998,882
194,3000,13823741,6420,Charlotte Rampling,duchess|duke|heir|infidelity|marriage,PG-13,13500000,2008,2000
15,491,,812,Joyce Randolph,1950s|bus driver|money scheme|poverty|sewer,,,,154
56,303,,960,Tim Rose,chicken|delusional depression|doctor|king|mysterious girl,PG,25000000,1985,146
63,11000,10297897,11969,Dwight Yoakam,bank robber|brother brother relationship|crime spree|explosive|train,PG-13,27000000,1998,597
167,14000,13248477,15790,Vanesa Tomasino,death|fear|hairy chest|social worker|spinning in chair,R,27000000,2009,716
101,748,8712564,1721,William Mapother,fbi|fbi agent|murder|salesman|serial killer,R,27000000,2004,489
118,1000,7486906,2495,Sophie Okonedo,adopted son|adoption|boy|mars the planet|widower,PG,27000000,2007,506
76,2000,38536376,4311,Daryl Sabara,2010s|3 dimensional|breath holding contest|child spy|spy,PG,27000000,2011,734
268,8000,41008532,10894,Chris Bauer,death|hostage|money|shot in the chest|shot in the heart,R,27000000,2016,698
95,783,5204007,1044,Paul Barber,american in the uk|drug lord|drugs|gangster|organized crime,R,28000000,2001,132
78,22000,4485485,46022,Chris Bauer,gay interest|gay lead character|gay republican|homosexual|neighbor,R,15000000,1999,22000
127,1000,4476235,4186,Eion Bailey,fbi|group|island|serial killer|training,R,27000000,2004,968
137,22000,1089365,71973,Kristen Stewart,actor|agent|beard|cannes|hollywood,R,25000000,2008,18000
54,844,763044,3286,John Neville,eiffel tower|nazi|police|ritual|stew,R,23000000,2003,766
38,5,,24,Joseph Kaiser,based on opera|evil|mozart|queen|walking wounded,,27000000,2006,4
167,567,20819129,2954,Allen Covert,cell phone|hostage|mall|security guard|text messaging,PG,26000000,2009,402
129,2000,110222438,3984,Willie Garson,body swap|camera shot of feet|foot closeup|reference to keith richards|reference to the rolling stones,PG,26000000,2003,528
217,7000,109243478,8341,Gerry Bednob,40 year old|car accident|cheating on girlfriend|collection|porno movie,R,26000000,2005,966
134,1000,100241322,1690,Simon Callow,actor|audition|muse|playwright|theater,R,25000000,1998,264
253,14000,25977365,15428,David Harbour,drug dealer|ex cop|murder of wife|revenge|violence,R,28000000,2014,439
46,743,91457688,2403,Penelope Ann Miller,astoria|kindergarten|kindergarten teacher|school|teacher,PG-13,26000000,1990,394
232,11000,87341380,15590,Rosie Perez,murder|paranoia|process server|roach|stoner,R,27000000,2008,989
92,1000,65703412,2747,Jeanne Moreau,based on fairy tale|bechdel test passed|cinderella|fairy tale|leonardo da vinci,PG-13,26000000,1998,794
153,3000,58328680,5458,Julian Richings,boss|cattle|cowboy|rancher|violence,R,22000000,2003,693
49,8000,61490000,10493,Hope Davis,childhood trauma|death|medical student|memory|near death experience,R,26000000,1990,1000
79,813,,1784,Glenn Howerton,alcohol|bad taste humour|crude humor|loser|self obsession,TV-MA,,,547
56,385,50800000,669,Wolfgang Preiss,airborne troops|allies|operation market garden|panzer|paratrooper,PG,26000000,1977,232
224,332,57859105,1090,Suzie Plakson,airport|flight|hotel|hotel manager|plane,PG-13,26000000,2005,285
175,748,46455802,3172,Keegan Connor Tracy,car accident|death|freak accident|hospital|premonition,R,26000000,2003,439
197,1000,45506619,3066,Daniel von Bargen,baby|bank|blind prophet|convict|sirens,PG-13,26000000,2000,596
226,2000,40168080,3889,Charles S. Dutton,angel|diner|faith|human race|religious faith,R,26000000,2010,850
335,12000,49874933,13573,Michael Rispoli,american dream|bodybuilder|money|punch into the camera|reference to julia roberts,R,26000000,2013,412
157,19000,45489752,28493,Dennis Quaid,company|corporate takeover|executive|magazine|new boss,PG-13,26000000,2004,3000
69,2000,36985501,3917,Jason George,frozen time|stopped time|time freeze|watch|wristwatch,PG,26000000,2002,587
46,826,33200000,1154,Brad Leland,1880s|kiss|small town|table broken in fight|wild west,PG-13,26000000,1985,130
217,20000,28501651,42473,Bailee Madison,afghanistan|death of soldier|presumed dead|prisoner|war trauma,R,26000000,2009,15000
55,1000,23222861,3742,David Kelly,chase|evil scientist|gadget|mind control|tough girl,PG,26000000,2004,934
200,22000,54540525,23456,Seth Meyers,expecting|kiss|new year|new year's eve|singer,PG-13,56000000,2011,988
93,11000,16252765,11662,Jack Thompson,delaware|erotica|money|pursuit|sex scene,R,42000000,2001,216
265,771,16005978,2356,Kevin McNally,mask|murder|newspaper|poem|serial killer,R,26000000,2012,570
82,826,14469428,2466,Maura Tierney,mayor|pink panties|upskirt|white panties|yellow panties,PG-13,26000000,2004,590
32,1000,13829734,2960,Mario Van Peebles,cave|highlander|illusion|immortal|japan,PG-13,26000000,1994,691
42,1000,1075288,2228,Judy Davis,diamond|necklace|safecracker|wine|wine dealer,R,22000000,1996,854
22,642,,2170,Monica Keena,apple|miner|mirror|necromancy|woods,R,26000000,1997,638
116,11000,7496522,12534,Peter Gerety,efficiency expert|insurance investigator|magician|scorpion|thief,PG-13,26000000,2001,893
56,15000,,19068,Beverly D'Angelo,health insurance|long delayed release|nail in the head|waitress|washington d.c.,PG-13,26000000,2015,980
23,442,20047715,616,Jessica Wesson,dolphin|florida|florida keys|summer|vomiting,PG,25530000,1996,95
178,16000,12276810,17847,Sandra Ellis Lafferty,cancer|elderly man|funeral|medical|transhumanism,PG-13,26000000,2015,543
226,883,33565375,1565,Donald Sumpter,death|diplomat|doctor|kenya|murder,R,15000000,2005,430
406,260,499263,705,Hristo Shopov,anti semitism|cult film|grindhouse|suffering|torture,R,30000000,2004,252
57,49000,219200000,52201,Matthew Lawrence,actor|based on novel|fancy restaurant|male actor playing a female character|party,PG-13,25000000,1993,1000
100,10000,172825435,12285,Beth Grant,buick|convertible|last will and testament|savant|travel,R,25000000,1988,898
366,16000,148085755,17347,Ahney Her,gang|gang rape|hmong|teenager|widower,R,33000000,2008,601
242,2000,25517500,4264,Bruce McGill,bible|cabinet meeting|dog|drinking|family relationships,PG-13,25100000,2008,826
309,14000,145000989,16461,Xander Berkeley,agent|cia|france|rescue|teenage abduction,PG-13,25000000,2008,816
85,775,26761283,3197,Clarke Peters,adultery|based on novel|heart transplant|infidelity|protective male,PG-13,26000000,2014,523
48,970,121945720,2551,DeVaughn Nixon,bodyguard|manager|pop singer|secret service agent|singer,R,25000000,1992,854
174,14000,96067179,15233,Caroline Goodall,german|german soldier|jew|jewish|nazi,R,22000000,1993,795
373,15000,169705587,23227,Mike Vogel,black servant|chocolate pie|jackson mississippi|maid|writing a novel,PG-13,25000000,2011,3000
224,19000,3254172,36337,Jamie Blackley,computer hacker|internet|news leak|whistleblowing|wikileaks,R,28000000,2013,17000
94,4000,84185387,7800,Tim Blake Nelson,ghost|masked villain|monster|museum|tv,PG,80000000,2004,2000
25,1000,,1166,Agnia Ditkovskite,cartographer|creature|foreign language adaptation|sword and sorcery|village,,26000000,2014,65
