director_name,num_critic_for_reviews,actor_2_name,gross,genres,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score
Harald Zwart,212,Kevin Zegers,31165421,Fantasy|Horror|Mystery|Romance,Aidan Turner,The Mortal Instruments: City of Bones ,3,http://www.imdb.com/title/tt1538403/?ref_=fn_tt_tt_1,457,PG-13,2013,2000,6.0
Brian Robbins,127,Mike O'Malley,11802056,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,Meet Dave ,1,http://www.imdb.com/title/tt0765476/?ref_=fn_tt_tt_1,109,PG,2008,400,4.9
Walter Salles,196,Camryn Manheim,25472967,Drama|Horror|Thriller,Dougray Scott,Dark Water ,2,http://www.imdb.com/title/tt0382628/?ref_=fn_tt_tt_1,411,PG-13,2005,329,5.6
Ron Howard,115,Adam Goldberg,22362500,Comedy|Drama,Matthew McConaughey,Edtv ,0,http://www.imdb.com/title/tt0131369/?ref_=fn_tt_tt_1,195,PG-13,1999,1000,6.1
Iain Softley,161,Stephen Graham,17281832,Adventure|Family|Fantasy,Brendan Fraser,Inkheart ,3,http://www.imdb.com/title/tt0494238/?ref_=fn_tt_tt_1,110,PG,2008,1000,6.1
Frank Miller,223,Jaime King,19781879,Action|Crime|Fantasy|Thriller,Scarlett Johansson,The Spirit ,1,http://www.imdb.com/title/tt0831887/?ref_=fn_tt_tt_1,290,PG-13,2008,961,4.8
David Koepp,181,Olivia Munn,7605668,Action|Comedy|Mystery|Romance,Johnny Depp,Mortdecai ,2,http://www.imdb.com/title/tt3045616/?ref_=fn_tt_tt_1,188,R,2015,2000,5.5
Uwe Boll,140,Mike Dopud,4535117,Action|Adventure|Fantasy|Thriller,Jason Statham,In the Name of the King: A Dungeon Siege Tale ,3,http://www.imdb.com/title/tt0460780/?ref_=fn_tt_tt_1,368,PG-13,2007,368,3.8
Martin Campbell,54,Teri Polo,4426297,Adventure|Drama|Romance|War,Angelina Jolie Pitt,Beyond Borders ,2,http://www.imdb.com/title/tt0294357/?ref_=fn_tt_tt_1,156,R,2003,708,6.5
Pou-Soi Cheang,14,Aaron Kwok,,Action|Adventure|Fantasy,Li Gong,Xi you ji zhi: Sun Wukong san da Baigu Jing ,1,http://www.imdb.com/title/tt4591310/?ref_=fn_tt_tt_1,9,,2016,107,6.0
John Dahl,81,Clayne Crawford,10166502,Action|Drama|War,James Franco,The Great Raid ,0,http://www.imdb.com/title/tt0326905/?ref_=fn_tt_tt_1,183,R,2005,298,6.7
Tim Miller,579,Ed Skrein,363024263,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,Deadpool ,0,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,1058,R,2016,805,8.1
Stephen Herek,56,Morgan Fairchild,12065985,Comedy|Drama,Kelly Preston,Holy Man ,1,http://www.imdb.com/title/tt0120701/?ref_=fn_tt_tt_1,88,PG,1998,730,4.9
Clint Eastwood,490,Leonard Roberts,350123553,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,American Sniper ,0,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1,916,R,2014,962,7.3
Rob Letterman,218,Dylan Minnette,80021740,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumps ,4,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,154,PG,2015,1000,6.4
,20,Soleil Moon Frye,,Comedy|Family|Fantasy,Nate Richert,Sabrina, the Teenage Witch             ,1,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,94,TV-G,,558,6.6
Mark Waters,142,Ivana Milicevic,48291624,Comedy|Fantasy|Romance,Jon Heder,Just Like Heaven ,1,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1,263,PG-13,2005,834,6.7
Brian Levant,57,Mark Addy,35231365,Comedy|Family|Romance|Sci-Fi,Taylor Negron,The Flintstones in Viva Rock Vegas ,0,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,85,PG,2000,891,3.6
Peter MacDonald,84,Kurtwood Smith,53715611,Action|Adventure|Thriller|War,Sylvester Stallone,Rambo III ,1,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,171,R,1988,1000,5.7
George Clooney,186,Malcolm Goodwin,31199215,Comedy|Drama|Romance|Sport,Robert Baker,Leatherheads ,8,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1,120,PG-13,2008,117,6.0
Frank Coraci,53,Adam Sandler,,Comedy|Western,Taylor Lautner,The Ridiculous 6 ,4,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,143,TV-14,2015,11000,4.9
Marc Lawrence,133,Kim Shaw,29580087,Comedy|Drama|Romance,Michael Kelly,Did You Hear About the Morgans? ,2,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1,121,PG-13,2009,935,4.7
Shawn Levy,246,Jessica Szohr,44665963,Comedy,Josh Gad,The Internship ,2,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,281,PG-13,2013,847,6.3
Paul W.S. Anderson,253,Boris Kodjoe,60128566,Action|Adventure|Horror|Sci-Fi,Milla Jovovich,Resident Evil: Afterlife ,1,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1,410,R,2010,1000,5.9
Anthony Hemingway,144,Nate Parker,49875589,Action|Adventure|Drama|History|War,David Oyelowo,Red Tails ,0,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,273,PG-13,2012,664,5.9
,46,Kristin Davis,,Comedy|Romance,Chris Noth,Sex and the City             ,0,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,238,TV-MA,,722,7.0
Taylor Hackford,117,Al Pacino,60984028,Drama|Mystery|Thriller,Keanu Reeves,The Devil's Advocate ,2,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,431,R,1997,14000,7.5
Sean Anders,157,Leighton Meester,36931089,Comedy,Adam Sandler,That's My Boy ,2,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,198,R,2012,3000,5.6
Rob Cohen,60,Brian Thompson,51317350,Action|Adventure|Fantasy,Dennis Quaid,DragonHeart ,0,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,139,PG-13,1996,663,6.4
Brett Ratner,117,Don Cheadle,28328132,Action|Comedy|Crime|Drama,Salma Hayek,After the Sunset ,2,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,147,PG-13,2004,3000,6.3
Mark Neveldine,287,Spencer Wilding,51774002,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider: Spirit of Vengeance ,1,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,331,PG-13,2011,1000,4.3
John Madden,96,Irene Papas,25528495,Drama|Music|Romance|War,Christian Bale,Captain Corelli's Mandolin ,2,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,220,R,2001,243,5.9
