duration,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,country,budget
122,The Divide ,30511,4,doggystyle sex|rough sex|sodomy|torture|violent sex,Germany,3000000
86,The Eclipse ,2437,0,ghost|irish|kissing|novelist|widower,Ireland,
83,Demonic ,7358,1,death|detective|house|missing|supernatural,USA,3000000
80,My Big Fat Independent Movie ,1257,1,independent film|spoof,USA,3000000
108,Alice in Wonderland ,306336,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,USA,200000000
90,The Deported ,62,1,actor|italian american|mexico|orphan|usa,USA,3000000
96,Tanner Hall ,2280,2,boarding school|coming of age|female friendship|lesbian|new england,USA,3000000
85,Open Road ,1370,3,dealer|drugs|killer|police,Brazil,3000000
83,They Came Together ,16987,2,halloween party|new york city|racism|romcom|spoof,USA,
80,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,2978,0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,USA,3000000
90,Never Back Down 2: The Beatdown ,13599,3,bad cop|college|second part|sequel|wrestler,USA,3000000
92,Point Blank ,13640,0,criminal|gangster|money|revenge|violence,USA,3000000
100,Four Single Fathers ,118,0,number in title|single father,Italy,3000000
88,Enter the Dangerous Mind ,704,0,dubstep|tied feet,USA,800000
95,Something Wicked ,976,2,eugene oregon|independent film|obsession,USA,3000000
82,AWOL-72 ,520,4,police officer|police officer taken hostage,USA,3000000
97,Iguana ,240,1,19th century|based on novel|disfigurement|harpooner|independent film,Italy,3000000
105,Cinderella ,103749,1,dress|duke|fairy godmother|fairy tale|pumpkin,USA,95000000
94,Chicago Overcoat ,706,3,detective|killer|police|shootout|thong,USA,3000000
95,Barry Munday ,3443,2,doctor|letter|paternity|sex|testicles,USA,
113,Central Station ,28951,0,brazil|letter|rio de janeiro brazil|sertao|teacher,Brazil,2900000
136,Pocketful of Miracles ,4313,2,1930s|apple|dude|luck|new york city,USA,2900000
80,Close Range ,2425,1,corrupt sheriff|drug cartel|flash drive|niece|sheriff,USA,3000000
105,Boynton Beach Club ,746,8,title spoken by character,USA,1500000
90,Amnesiac ,2157,0,child in peril|electroshock therapy|memory|memory loss|teenage girl,USA,3000000
93,Freakonomics ,5695,0,cheating|economics|experiment|human nature|sumo wrestling,USA,3000000
107,The Omen ,80961,2,ambassador|death|hospital|priest|stillborn child,UK,2800000
89,High Tension ,55040,1,car chase|plot twist|police van|rear ending a car|slasher,France,2200000
90,Griff the Invisible ,4173,1,alter ego|awkwardness|office|scientist|superhero,Australia,
89,Unnatural ,859,0,alaska|climate change|global|polar bear|scientific,USA,3000000
116,Hustle & Flow ,33567,1,baby|friend|hip hop|pimp|stripper,USA,8000000
120,Some Like It Hot ,175196,2,all girl band|band|cross dressing|musician|yacht,USA,2883848
88,Friday the 13th Part VII: The New Blood ,21359,0,death|jason voorhees|massacre|slaughter|telekinesis,USA,2800000
102,The Wizard of Oz ,291875,3,evil witch|tornado|witch|wizard|wizard of oz,USA,2800000
106,Young Frankenstein ,112671,0,assistant|castle|experiment|frankenstein's monster|scientist,USA,2800000
95,Diary of the Dead ,40800,0,barn|film student|hospital|mummy|video camera,USA,2000000
144,Lage Raho Munna Bhai ,27569,0,love|professor of history|radio|satyagraha|unscrupulous builder,India,120000000
113,Ulee's Gold ,5744,1,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,USA,2700000
118,The Black Stallion ,8856,0,black horse|boy horse relationship|horse|rescued by a horse|training,USA,2700000
141,Sardaar Ji ,745,2,,Canada,3000000
