actor_3_facebook_likes,movie_title,actor_3_name,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
374,Away We Go ,Carmen Ejogo,USA,17000000,472,7.1,2.35,7000
886,Swing Vote ,Nathan Lane,USA,21000000,901,6.1,2.35,1000
347,Moonlight Mile ,Bob Clendenin,USA,21000000,1000,6.7,2.35,365
10000,Tinker Tailor Soldier Spy ,Gary Oldman,France,20000000,14000,7.1,2.35,24000
186,Molly ,Sarah Wynter,USA,21000000,419,5.8,1.85,284
220,The Beaver ,Riley Thomas Stewart,USA,21000000,242,6.7,2.35,17000
842,The Best Little Whorehouse in Texas ,Dom DeLuise,USA,35000000,883,5.8,2.35,0
716,eXistenZ ,Callum Rennie,Canada,31000000,900,6.8,1.85,6000
488,Raiders of the Lost Ark ,William Hootkins,USA,18000000,783,8.5,2.35,16000
1000,Home Alone 2: Lost in New York ,Devin Ratray,USA,18000000,1000,6.6,1.85,0
252,Close Encounters of the Third Kind ,Melinda Dillon,USA,19400870,481,7.7,2.35,0
807,Pulse ,Rick Gonzalez,USA,20000000,1000,4.7,2.35,0
605,Beverly Hills Cop II ,Ronny Cox,USA,28000000,901,6.4,2.35,0
338,Bringing Down the House ,Steve Harris,USA,33000000,409,5.5,2.35,800
173,The Silence of the Lambs ,Anthony Heald,USA,19000000,826,8.6,1.85,40000
617,Wayne's World ,Kurt Fuller,USA,20000000,619,7.0,1.85,0
218,Jackass 3D ,Chris Pontius,USA,20000000,362,7.1,1.78,0
85,Jaws 2 ,Joseph Mascolo,USA,20000000,366,5.7,2.35,0
597,Beverly Hills Chihuahua ,Ali Hillis,USA,20000000,641,3.7,2.35,0
697,The Conjuring ,Hayley McFarland,USA,20000000,960,7.5,2.35,131000
563,Are We There Yet? ,Jay Mohr,USA,32000000,642,4.6,1.85,773
265,Tammy ,Ben Falcone,USA,20000000,830,4.9,1.85,11000
501,Disturbia ,Jose Pablo Cantillo,USA,20000000,617,6.9,1.85,0
487,School of Rock ,Mike White,USA,35000000,931,7.1,1.85,0
545,Mortal Kombat ,Bridgette Wilson-Sampras,USA,18000000,1000,5.8,1.85,0
40,Wicker Park ,Mark Camacho,USA,30000000,93,7.0,2.35,0
861,White Chicks ,Brittany Daniel,USA,37000000,960,5.4,1.85,0
552,The Descendants ,Beau Bridges,USA,20000000,727,7.3,2.35,22000
165,Holes ,Ski Carr,USA,20000000,265,7.1,1.85,0
318,The Last Song ,Melissa Ordway,USA,20000000,360,5.8,2.35,10000
500,12 Years a Slave ,Taran Killam,USA,20000000,660,8.1,2.35,83000
284,Drumline ,Jason Weaver,USA,20000000,593,5.7,2.35,2000
721,Why Did I Get Married Too? ,Tasha Smith,USA,20000000,907,4.4,1.85,0
658,Edward Scissorhands ,Conchata Ferrell,USA,20000000,967,7.9,1.85,16000
418,Me Before You ,Brendan Coyle,UK,20000000,10000,7.6,2.35,51000
582,Madea's Witness Protection ,Romeo Miller,USA,20000000,618,4.8,1.85,0
109,The French Connection ,Tony Lo Bianco,USA,1800000,165,7.8,1.85,0
851,Bad Moms ,Jada Pinkett Smith,USA,20000000,1000,6.7,,18000
729,Date Movie ,Fred Willard,USA,20000000,869,2.7,1.85,806
434,Return to Never Land ,Spencer Breslin,USA,20000000,677,5.8,1.66,302
852,Selma ,Oprah Winfrey,UK,20000000,1000,7.5,2.35,22000
384,The Jungle Book 2 ,Tony Jay,USA,20000000,455,5.4,1.85,227
349,Boogeyman ,Charles Mesure,USA,20000000,392,4.1,1.85,1000
107,Premonition ,Marc Macaulay,USA,20000000,626,5.9,2.35,0
16,The Tigger Movie ,Ken Sansom,USA,30000000,253,6.3,1.78,347
602,Orphan ,Aryana Engineer,USA,,1000,7.0,1.85,20000
455,Max ,Edgar Arreola,USA,20000000,465,6.8,2.35,33000
295,Meet the Browns             ,Denise Boutte,USA,,378,3.5,1.85,211
729,Epic Movie ,Fred Willard,USA,20000000,869,2.3,1.85,0
183,Conan the Barbarian ,Sandahl Bergman,USA,20000000,691,6.9,2.35,0
77,Spotlight ,Brian d'Arcy James,USA,20000000,168,8.1,1.85,80000
332,Lakeview Terrace ,Robert Pine,USA,22000000,931,6.1,2.35,0
464,The Grudge 2 ,Matthew Knight,USA,20000000,884,5.0,1.85,930
232,How Stella Got Her Groove Back ,Barry Shabaka Henley,USA,20000000,270,5.5,1.85,0
636,Bill & Ted's Bogus Journey ,Alex Winter,USA,20000000,769,6.2,1.85,0
1000,Man of the Year ,Amy Poehler,USA,20000000,2000,6.2,2.35,0
160,The Black Hole ,Yvette Mimieux,USA,20000000,877,5.9,2.35,4000
101,The American ,Filippo Timi,USA,20000000,191,6.3,2.35,10000
399,Selena ,Jacob Vargas,USA,20000000,441,6.7,2.35,0
354,Vampires Suck ,Anneliese van der Pol,USA,20000000,401,3.5,1.85,16000
51,Babel ,Dermot Crowley,France,25000000,119,7.5,1.85,0
949,This Is Where I Leave You ,Jane Fonda,USA,19800000,1000,6.6,2.35,14000
652,Doubt ,Carrie Preston,USA,20000000,11000,7.5,1.85,0
406,Team America: World Police ,Trey Parker,USA,30000000,523,7.2,2.35,0
322,Texas Chainsaw 3D ,Shaun Sipos,USA,11000000,333,4.8,2.35,16000
631,Copycat ,Harry Connick Jr.,USA,20000000,1000,6.6,2.35,0
636,Scary Movie 5 ,Molly Shannon,USA,20000000,881,3.5,1.85,13000
417,Paint Your Wagon ,Ray Walston,USA,20000000,756,6.7,2.35,0
755,Milk ,Lucas Grabeel,USA,20000000,896,7.6,1.85,10000
47,Risen ,María Botto,USA,20000000,76,6.3,2.35,21000
78,Ghost Ship ,Francesca Rettondini,USA,35000000,385,5.5,1.85,0
587,A Very Harold & Kumar 3D Christmas ,Paula Garcés,USA,19000000,651,6.3,2.35,21000
254,Wild Things ,Jeff Perry,USA,20000000,481,6.5,2.35,0
429,The Stepfather ,Skyler Samuels,USA,,533,5.6,2.35,0
22,The Debt ,Romi Aboulafia,USA,20000000,100,6.9,2.35,0
619,High Fidelity ,Lisa Bonet,UK,20000000,960,7.6,1.85,10000
270,One Missed Call ,Margaret Cho,Japan,27000000,297,3.9,1.85,0
497,Eye for an Eye ,Philip Baker Hall,USA,20000000,816,6.1,1.85,613
287,The Bank Job ,Daniel Mays,UK,20000000,811,7.3,2.35,0
1000,Eternal Sunshine of the Spotless Mind ,Tom Wilkinson,USA,20000000,4000,8.3,1.85,52000
518,You Again ,Christine Lakin,USA,20000000,938,5.8,2.35,0
2000,Street Kings ,Noel Gugliemi,USA,20000000,11000,6.8,2.35,0
24,The World's End ,Jasper Levine,UK,20000000,55,7.0,2.35,49000
650,Nancy Drew ,Tate Donovan,USA,20000000,669,5.9,2.35,590
16,Daybreakers ,Tiffany Lamb,Australia,20000000,37,6.5,2.35,0
756,She's Out of My League ,Geoff Stults,USA,20000000,934,6.4,2.35,0
350,Monte Carlo ,Brett Cullen,Hungary,20000000,775,5.8,1.85,6000
806,Stay Alive ,Samaire Armstrong,USA,9000000,934,5.1,2.35,0
748,Quigley Down Under ,Ben Mendelsohn,Australia,20000000,19000,6.8,2.35,0
518,Alpha and Omega ,Christine Lakin,USA,20000000,611,5.3,1.85,0
637,The Covenant ,Toby Hemingway,USA,20000000,917,5.3,2.35,3000
733,Stick It ,John Patrick Amedori,Germany,,804,6.4,1.85,0
470,Shorts ,Jake Short,USA,40000000,570,4.9,1.85,431
458,To Die For ,Holland Taylor,USA,20000000,967,6.8,1.85,1000
374,Nerve ,Emily Meade,USA,20000000,441,7.1,,0
107,Appaloosa ,Tom Bower,USA,,311,6.8,2.35,0
877,Vampires ,Maximilian Schell,USA,20000000,1000,6.1,2.35,0
,Yu-Gi-Oh! Duel Monsters             ,,Japan,,,7.0,,124
285,Psycho ,John Gavin,USA,806947,332,8.5,1.85,18000
490,My Best Friend's Girl ,Riki Lindhome,USA,40000000,500,5.9,1.85,0
942,Endless Love ,Rhys Wakefield,USA,20000000,989,6.3,2.35,0
949,Georgia Rule ,Jane Fonda,USA,20000000,975,5.9,2.35,681
281,Under the Rainbow ,Billy Barty,USA,20000000,374,5.4,1.78,501
83,Ladyhawke ,Leo McKern,USA,20000000,92,7.0,2.35,0
271,Simon Birch ,Dana Ivey,USA,30000000,367,6.9,1.85,0
905,Reign Over Me ,John de Lancie,USA,20000000,3000,7.5,2.35,0
826,Into the Wild ,Hal Holbrook,USA,15000000,882,8.2,2.35,76000
579,School for Scoundrels ,Jacinda Barrett,USA,20000000,931,5.9,2.35,484
206,Silent Hill: Revelation 3D ,Martin Donovan,France,20000000,494,5.0,2.35,25000
844,From Dusk Till Dawn ,Cheech Marin,USA,19000000,4000,7.3,1.85,12000
253,Pooh's Heffalump Movie ,John Fiedler,USA,20000000,286,6.4,1.85,264
801,Home for the Holidays ,Steve Guttenberg,USA,20000000,1000,6.6,1.85,0
59,Kung Fu Hustle ,Qiu Yuen,Hong Kong,20000000,62,7.8,2.35,0
215,Fired Up             ,Sharon Lawrence,USA,,417,6.7,1.33,4
939,The Country Bears ,Stephen Root,USA,35000000,968,4.0,1.85,422
161,The Kite Runner ,Khalid Abdalla,USA,20000000,206,7.6,2.35,0
430,21 Grams ,Danny Huston,USA,20000000,979,7.7,1.85,0
472,Paparazzi ,Kelly Carlson,USA,20000000,555,5.8,2.35,269
10000,Twilight ,Anna Kendrick,USA,37000000,12000,5.2,2.35,19000
499,A Guy Thing ,James Brolin,USA,20000000,555,5.6,1.85,401
153,Loser ,Zak Orth,USA,20000000,216,5.3,1.85,1000
173,Capitalism: A Love Story ,Bernie Sanders,USA,,909,7.4,1.85,10000
202,The Greatest Story Ever Told ,José Ferrer,USA,20000000,208,6.6,2.76,1000
233,Secret in Their Eyes ,Joe Cole,USA,19500000,963,6.2,2.35,0
329,Disaster Movie ,Ike Barinholtz,USA,25000000,624,1.9,1.85,0
163,Armored ,Lorna Raver,USA,27000000,459,5.7,2.35,0
507,The Man Who Knew Too Little ,Joanne Whalley,USA,20000000,828,6.6,1.85,0
783,What's Your Number? ,Ed Begley Jr.,USA,20000000,904,6.0,1.85,0
80,Lockout ,Jacky Ido,France,20000000,447,6.1,2.35,10000
62,Envy ,Sam Lerner,USA,40000000,87,4.8,1.85,713
926,Crank: High Voltage ,David Carradine,USA,20000000,968,6.2,1.85,0
967,Bullets Over Broadway ,Dianne Wiest,USA,20000000,979,7.5,1.85,979
85,One Night with the King ,Nimrat Kaur,USA,20000000,249,6.3,2.35,0
83,The Quiet American ,Holmes Osborne,UK,30000000,268,7.1,2.35,983
385,The Weather Man ,Michael Rispoli,USA,22000000,442,6.6,1.85,0
565,Undisputed ,Jon Seda,USA,20000000,855,6.1,2.35,977
31,Ghost Town ,Jordan Carlos,USA,20000000,41,6.7,1.85,0
347,12 Rounds ,Nick Gomez,USA,22000000,794,5.6,2.35,0
884,Let Me In ,Kodi Smit-McPhee,UK,20000000,1000,7.2,2.35,25000
181,3 Ninjas Kick Back ,Don Stark,USA,20000000,220,4.3,1.85,444
270,Be Kind Rewind ,Melonie Diaz,UK,20000000,563,6.4,2.35,0
99,Mrs Henderson Presents ,Sarah Solemani,UK,20000000,378,7.1,1.85,0
968,Triple 9 ,Clifton Collins Jr.,USA,20000000,12000,6.3,2.35,0
223,Deconstructing Harry ,Judy Davis,USA,20000000,474,7.4,1.85,0
677,Three to Tango ,David Ramsey,Australia,20000000,1000,6.1,1.37,311
580,Burnt ,Riccardo Scamarcio,USA,20000000,1000,6.6,2.35,25000
383,We're No Angels ,James Russo,USA,20000000,2000,6.0,2.35,855
2,Everyone Says I Love You ,Jeff DeRocker,USA,20000000,612,6.8,1.85,0
548,Death at a Funeral ,Kris Marshall,USA,9000000,557,7.4,1.85,0
725,Death Sentence ,Edi Gathegi,USA,20000000,742,6.8,2.35,0
148,Everybody's Fine ,Brendan Sexton III,USA,21000000,1000,7.2,2.35,10000
177,Superbabies: Baby Geniuses 2 ,Peter Wingfield,Germany,20000000,384,1.9,2.35,0
69,The Man ,Gigi Rice,Germany,33000000,99,5.5,1.85,676
436,Code Name: The Cleaner ,Cedric the Entertainer,USA,20000000,537,4.5,1.85,233
463,Connie and Carla ,Dash Mihok,USA,20000000,567,6.3,1.85,924
388,Sweet Charity ,Ben Vereen,USA,20000000,641,7.0,2.35,548
175,Inherent Vice ,Serena Scott Thomas,USA,20000000,178,6.7,1.85,18000
593,Doogal ,Jon Stewart,USA,20000000,690,2.8,1.85,346
826,Battle of the Year ,Laz Alonso,USA,20000000,941,5.0,1.85,0
376,Perception             ,Scott Wolf,USA,,440,7.5,16.0,0
633,An American Carol ,Gary Coleman,USA,12000000,816,4.3,2.35,797
99,Machete Kills ,Marko Zaror,Russia,20000000,749,5.6,1.85,48000
86,Willard ,Jackie Burroughs,Canada,22000000,429,6.2,2.35,0
522,Strange Wilderness ,Jeff Garlin,USA,20000000,794,5.3,2.35,847
149,Topsy-Turvy ,Lesley Manville,UK,10000000,452,7.4,1.66,608
975,Little Boy ,Michael Rapaport,Mexico,20000000,1000,7.4,2.35,15000
691,A Dangerous Method ,Sarah Gadon,UK,15000000,10000,6.5,1.85,36000
407,A Scanner Darkly ,Rory Cochrane,USA,8700000,18000,7.1,1.85,0
956,Chasing Mavericks ,Leven Rambin,USA,20000000,1000,7.2,1.85,13000
81,Alone in the Dark ,Karin Konoval,Canada,20000000,294,2.3,2.35,1000
181,Bandslam ,Ryan Donowho,USA,20000000,224,6.4,2.35,1000
430,Birth ,Danny Huston,USA,20000000,681,6.1,1.85,0
745,A Most Violent Year ,Albert Brooks,USA,20000000,969,7.0,2.35,0
544,Passchendaele ,Caroline Dhavernas,Canada,20000000,912,6.5,2.35,971
9,Flash of Genius ,Victoria Learn,USA,20000000,18,7.0,2.35,0
228,I'm Not There. ,Tyrone Benskin,USA,20000000,13000,7.0,2.35,0
619,The Cold Light of Day ,Óscar Jaenada,USA,20000000,13000,4.9,2.35,0
446,The Brothers Bloom ,Nora Zehetner,USA,20000000,877,6.9,2.35,0
631,Synecdoche, New York ,Samantha Morton,USA,21000000,1000,7.5,2.35,13000
745,Princess Mononoke ,Billy Crudup,Japan,2400000000,851,8.4,1.85,11000
413,Bon voyage ,Virginie Ledoyen,France,20000000,548,6.9,2.35,235
161,Can't Stop the Music ,Caitlyn Jenner,USA,20000000,174,4.5,2.35,1000
430,The Proposition ,Danny Huston,Australia,2000000,509,7.4,2.35,0
400,Courage ,Brent Anderson,USA,20000000,769,7.0,2.35,0
587,Marci X ,Paula Garcés,USA,20000000,624,2.8,1.85,241
722,Equilibrium ,Sean Pertwee,USA,20000000,876,7.5,2.35,20000
2,The Children of Huang Shi ,Matthew Walker,Australia,40000000,10,7.1,2.35,1000
977,The Yards ,Faye Dunaway,USA,24000000,1000,6.4,2.35,401
231,The Oogieloves in the Big Balloon Adventure ,Toni Braxton,USA,20000000,532,6.7,,831
188,By the Sea ,Melvil Poupaud,USA,10000000,11000,5.3,2.35,0
101,Steamboy ,Rosalind Ayres,Japan,2127519898,336,6.9,1.85,973
407,The Game of Their Lives ,Jimmy Jean-Louis,USA,20000000,723,6.2,2.35,445
902,All Good Things ,Frank Langella,USA,,4000,6.3,1.85,0
324,Rapa Nui ,Sandrine Holt,USA,20000000,533,6.4,2.35,399
