actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
130,933,Drama|Family,Connie Nielsen,A Shine of Rainbows ,1940,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,19,English,6000000,2009,767,7.2,2.35,1000
787,848,Action|Thriller,Drew Waters,The Hit List ,3469,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,39,English,6000000,2011,816,5.4,1.85,0
334,805,Comedy|Drama|Romance,Romola Garai,Emma             ,2563,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,50,English,,,432,8.2,1.78,0
15,391,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,Videodrome ,477,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,English,5952000,1983,20,7.3,1.85,0
269,809,Comedy|Drama,Romain Duris,L'auberge espagnole ,1858,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,149,French,5300000,2002,447,7.3,1.85,0
444,11000,Drama|Music,Anne Hathaway,Song One ,12772,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,21,English,6000000,2014,485,5.8,,0
400,33000,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers ,34605,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,302,English,50000000,2002,455,6.1,1.85,0
19,163,Drama|History|War,Yorick van Wageningen,Winter in Wartime ,219,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,37,Dutch,4000000,2008,20,7.1,2.35,0
1000,2000,Comedy|Crime|Thriller,Billy Burke,Freaky Deaky ,6569,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,English,6000000,2012,2000,6.5,,0
28,343,Thriller|War,Jeanne Moreau,The Train ,502,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,124,English,6700000,1964,94,7.9,1.66,0
57,978,Drama|Thriller,Mira Sorvino,Trade of Innocents ,1443,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,8,English,,2012,323,5.4,2.35,543
380,778,Action|Crime|Drama|Thriller,Jon Foo,The Protector ,2205,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,214,Thai,200000000,2005,635,7.1,1.85,0
