duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,content_rating,title_year,imdb_score,aspect_ratio,movie_facebook_likes
144,327,464,,Comedy|Drama|Romance,Vidya Balan,27569,1761,Jimmy Shergill,0,http://www.imdb.com/title/tt0456144/?ref_=fn_tt_tt_1,Hindi,PG-13,2006,8.2,2.35,349
113,42,402,9054736,Drama,Peter Fonda,5744,787,Vanessa Zima,1,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1,English,R,1997,7.1,1.66,381
118,48,481,,Adventure|Family|Sport,Teri Garr,8856,681,Hoyt Axton,0,http://www.imdb.com/title/tt0078872/?ref_=fn_tt_tt_1,English,G,1979,7.4,1.85,0
141,32,258,,Romance,Bhavkhandan Singh Rakhra,745,434,Diljit Dosanjh,2,http://www.imdb.com/title/tt4080386/?ref_=fn_tt_tt_1,Panjabi,,2015,6.6,,50
90,13,122,,Action|Adventure|Animation|Comedy|Sci-Fi,Iben Hjejle,1828,197,Casper Christensen,0,http://www.imdb.com/title/tt1095423/?ref_=fn_tt_tt_1,Danish,Not Rated,2008,5.7,1.85,77
109,359,756,,Adventure|Comedy|Romance,Lee Marvin,5786,1949,Jack Warden,1,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,English,Not Rated,1963,6.9,1.85,573
95,2,20,,Comedy|Drama,Rijk de Gooyer,1470,25,Henri Garcin,0,http://www.imdb.com/title/tt0116729/?ref_=fn_tt_tt_1,Dutch,,1996,7.0,1.85,121
122,315,760,,Drama|Fantasy|Romance|War,Spencer Tracy,1553,2555,Irene Dunne,0,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,English,Passed,1943,7.0,1.37,116
93,628,1000,119500000,Comedy|Western,Madeline Kahn,95294,4701,Harvey Korman,0,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,English,R,1974,7.8,2.35,12000
97,74,158,32600000,Horror|Thriller,Judie Aronson,29488,467,Kimberly Beck,0,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,English,R,1984,5.9,1.85,0
82,46,88,3826455,Drama,Joanna Kulig,34643,205,Agata Kulesza,1,http://www.imdb.com/title/tt2718492/?ref_=fn_tt_tt_1,Polish,PG-13,2013,7.4,1.33,17000
140,239,443,3130592,Drama|Romance,Rupert Graves,10755,1269,Simon Callow,1,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,English,R,1987,7.8,1.66,963
86,327,833,475000,Comedy|Sport,Joe Lo Truglio,6930,2753,Seymour Cassel,2,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,English,R,2006,6.0,,323
109,1000,40000,10654581,Drama|Sci-Fi|Thriller,Johnny Depp,45500,52621,Clea DuVall,0,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,English,R,1999,5.3,1.85,1000
105,28,52,2276368,Documentary|History|Sport,Gerry Lopez,3849,179,Laird John Hamilton,1,http://www.imdb.com/title/tt0389326/?ref_=fn_tt_tt_1,English,PG-13,2004,7.9,,0
66,36,123,38108,Horror|Mystery|Sci-Fi|Thriller,Karra Elejalde,40878,239,Bárbara Goenaga,0,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,Spanish,R,2007,7.2,1.85,0
99,4,11,,Action|Adventure|Comedy,Jack Kao,1418,19,Zheng Xu,1,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,Mandarin,,2009,7.4,2.35,30
100,209,331,,Horror|Thriller,Brianna Brown,5012,1082,Beth Broderick,1,http://www.imdb.com/title/tt0857295/?ref_=fn_tt_tt_1,English,R,2007,5.3,1.85,254
103,390,804,,Comedy|Musical|Romance,Rita Moreno,150020,2510,Cyd Charisse,0,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,English,Approved,1952,8.3,1.37,0
97,0,65,,Documentary,Joe Cross,6429,67,Amy Badberg,2,http://www.imdb.com/title/tt1227378/?ref_=fn_tt_tt_1,English,,2010,7.6,,10000
86,555,713,40041683,Comedy|Fantasy,Essence Atkins,34620,3421,J.B. Smoove,6,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,English,R,2013,5.1,1.85,0
87,67,871,33349949,Documentary,Barack Obama,9010,1111,Dinesh D'Souza,0,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,English,PG,2012,5.1,1.85,0
119,593,908,33386128,Horror,Scout Taylor-Compton,36372,3226,Margot Kidder,0,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,English,R,2009,4.9,1.85,3000
149,982,15000,25809813,Comedy|Drama|Music,Tom Hanks,50311,28713,Ethan Embry,6,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,English,PG,1996,6.9,1.37,0
98,67,381,14400000,Horror|Mystery|Sci-Fi,Tom Atkins,28589,684,Nancy Kyes,0,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,English,R,1982,4.6,2.35,0
98,450,595,,Action|Sci-Fi,Roddy McDowall,23546,2373,Sal Mineo,0,http://www.imdb.com/title/tt0067065/?ref_=fn_tt_tt_1,English,G,1971,6.3,2.35,819
112,124,617,,Drama,Patricia Neal,15277,1141,Whit Bissell,0,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,English,Approved,1963,7.9,2.35,1000
75,36,1000,32230907,Comedy|Documentary,David Jason Perez,6062,1385,Dana Hanna,0,http://www.imdb.com/title/tt2609912/?ref_=fn_tt_tt_1,English,R,2013,6.7,1.85,0
104,535,18000,6401336,Drama,Keanu Reeves,36996,19923,Flea,2,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,English,R,1991,7.1,1.78,0
102,294,625,26781723,Comedy|Drama|Romance,Armando Riesco,187595,1655,Jill Flint,3,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,English,R,2004,7.6,2.35,0
