director_name,title_year
Eric Bross,2001
Werner Herzog,2006
Dan Fogelman,2015
Jay Duplass,2011
Luca Guadagnino,2009
John Putch,2012
Peter Medak,1993
Steven Soderbergh,1999
Paul Haggis,2004
Terence Davies,2000
Harley Cokeliss,1987
Victor Salva,2006
Tom Brady,2011
Spike Lee,2000
Jason Zada,2016
Franklin J. Schaffner,1981
Noah Baumbach,2014
Chris Weitz,2011
David Cronenberg,2002
Eric Blakeney,2000
Douglas McGrath,2002
Ariel Vromen,2012
,
Rakesh Roshan,2006
John Waters,2000
William Friedkin,2011
Derrick Borte,2009
Richard Kwietniowski,2003
Bob Odenkirk,2007
Kar-Wai Wong,2007
John Turturro,1998
Guy Ritchie,2002
Joshua Seftel,2008
Stephen Chow,2001
Vincent Gallo,2003
Claude Chabrol,1997
Jon Stewart,2014
Bigas Luna,1997
Ralph Fiennes,2011
Dan Harris,2004
Mel Smith,2001
Bobcat Goldthwait,2009
Christopher Smith,2006
Stuart Gordon,2005
Jake Scott,2010
Alan Metter,1994
Jeb Stuart,2010
Rafa Lara,2013
Michael Radford,2014
Arthur Hiller,1997
Michael Meredith,2009
Julio DePietro,2009
Katherine Dieckmann,2009
William Dear,2008
Kim Farrant,2015
Marcus Raboy,2009
Scott Marshall,2007
Álex de la Iglesia,2008
Andrew Traucki,2010
Michael Clancy,2004
Patrick Lussier,2007
Robert Adetuyi,2011
Kari Skogland,2008
Taedong Park,2014
Paul Schrader,2008
Benedikt Erlingsson,2013
Gurinder Chadha,2010
Jason Connery,2009
Vic Sarin,2007
Jim Issa,2010
Jee-woon Kim,2008
Douglas Aarniokoski,2013
William Phillips,2010
Greg Mottola,2009
Andy Garcia,2005
Steve Carr,2000
Sarik Andreasyan,2014
Lewis Gilbert,1967
Julian Gilbey,2014
Michael Haneke,2012
Gary Sherman,1988
Valeri Milev,2015
Stanley Kramer,1963
Pedro Almodóvar,2006
Gerald Potterton,1981
Jared Hess,2009
Richard Loncraine,1995
David Hackl,2015
Anurag Basu,2010
Lars von Trier,2011
Kriv Stenders,2011
Yash Chopra,2012
Ridley Scott,1979
Tobe Hooper,1974
Floria Sigismondi,2010
Norman Jewison,1971
Terence Young,1965
Joseph Kahn,2011
Ferzan Ozpetek,2010
F. Gary Gray,1996
Malcolm D. Lee,1999
Tom Holland,1988
Michael Moore,2007
James DeMonaco,2014
Kris Isacsson,2000
Danny Leiner,2004
Rod Lurie,2000
Ben Younger,2000
John Landis,1983
Glen Morgan,2006
Daniel Taplitz,2004
Kenneth Branagh,1989
Tamara Jenkins,2007
Linda Mendoza,2003
Christopher McQuarrie,2000
Burr Steers,2002
Hart Bochner,1994
Michael O. Sajbel,2006
,
Stewart Raffill,1984
Davis Guggenheim,2007
Bart Freundlich,2005
Andrew Fleming,2008
Todd Haynes,1998
Hong-jin Na,2016
Kevin Tancharoen,2011
Chatrichalerm Yukol,2001
Dario Argento,1990
Eric Lavaine,2014
Mike Leigh,2002
Marc Forby,2009
Peter Cattaneo,2006
Scott Mann,2015
Ole Christian Madsen,2008
Meiert Avis,2005
Julian Jarrold,2009
André Téchiné,2009
Emily Young,2009
Peter Faiman,1986
Martyn Pick,2010
Roland Suso Richter,2004
Jeremy Sims,2010
Maïwenn,2011
Joby Harold,2007
,
Ekachai Uekrongtham,2014
Joel Schumacher,1987
Scott Cooper,2009
Mark Rydell,1979
David E. Talbert,2013
Roger Vadim,1968
Nils Gaup,1990
Alexander Payne,1999
Mira Nair,2006
Ari Sandel,2015
Vondie Curtis-Hall,2001
Tom Elkins,2013
Woo-Suk Kang,2003
Jane Campion,2009
Karan Johar,2010
Herbert Ross,1984
J.C. Chandor,2013
John Sayles,1999
Vipul Amrutlal Shah,2007
Ken Loach,2006
Ayan Mukerji,2013
John G. Avildsen,1984
Mervyn LeRoy,1951
Darren Lynn Bousman,2008
Serdar Akar,2006
Quentin Tarantino,1994
James Frawley,1979
Dan Gilroy,2014
Jay Chandrasekhar,2004
Robert Wise,1965
Ron Howard,1984
Jonathan Dayton,2006
Rob Reiner,1986
Danny Boyle,2002
Chris Stokes,2004
Don Siegel,1979
Rick Famuyiwa,2002
Martin Lawrence,1996
Jonathan Levine,2011
Masayuki Ochiai,2008
George A. Romero,1982
Tom Gormican,2014
Ken Shapiro,1981
Justin Tipping,2016
Kenneth Branagh,1993
Peter R. Hunt,1969
,
Wes Craven,1994
John Schultz,1999
Doug Atchison,2006
Tamra Davis,1998
Jonas Elmer,2009
Stephen Gaghan,2005
Mary Harron,2000
Miguel Arteta,2002
Erik Canuel,2006
Troy Duffy,2009
James Ivory,2009
Nicole Holofcener,2013
Will Gluck,2010
Matty Rich,1994
E. Elias Merhige,2000
Joe Nussbaum,2011
Matt Reeves,1996
Steve Rash,1999
Fina Torres,2000
James Ivory,1992
,
Duke Johnson,2015
Mike Leigh,2010
François Ozon,2002
Mark L. Lester,1991
David Dobkin,1998
Anna Boden,2010
Nigel Cole,2010
Anand Tucker,2007
Steve James,1997
Michael Winner,1983
Tomm Moore,2009
John Carney,2013
David Jacobson,2005
Michael Corrente,2007
Edward Hall,2012
Keith Gordon,2003
David Leland,1998
Andrew Currie,2006
Andrew Wilson,2005
Jonathan Lynn,2010
Marc Schölermann,2008
,
Robert Moresco,2006
Thomas Vinterberg,2004
Claudia Llosa,2014
Katsuhiro Ôtomo,1988
John Herzfeld,2007
Charles Binamé,2005
Keith Parmer,2014
Dennie Gordon,2013
Ol Parker,2005
Bruce Beresford,2016
François Ozon,2003
James Nunn,2013
David Webb Peoples,1989
Michael Winnick,2016
Bruce Beresford,1989
George Tillman Jr.,1997
Stanley Tong,1995
David Oelhoffen,2014
Jason Reitman,2005
Eli Roth,2007
Lone Scherfig,2009
Anand Tucker,2005
Tony Richardson,1984
Joe Carnahan,2002
Paul Gross,2002
Charles Robert Carner,2008
Russell Holt,2004
