movie_title,cast_total_facebook_likes
Charlie and the Chocolate Factory ,57844
Ratatouille ,4764
Batman Begins ,59558
Madagascar: Escape 2 Africa ,3285
Night at the Museum: Battle of the Smithsonian ,54039
X-Men Origins: Wolverine ,40054
The Matrix Revolutions ,1062
Frozen ,2582
The Matrix Reloaded ,534
Thor: The Dark World ,59803
Mad Max: Fury Road ,40025
Angels & Demons ,16948
Thor ,60059
Bolt ,20007
G-Force ,2217
Wrath of the Titans ,16184
Dark Shadows ,80849
Mission: Impossible - Rogue Nation ,21840
The Wolfman ,13071
The Legend of Tarzan ,21175
Bee Movie ,6576
Kung Fu Panda 2 ,21015
The Last Airbender ,2857
Mission: Impossible III ,34817
White House Down ,18204
Mars Needs Moms ,2652
Flushed Away ,35161
Pan ,21393
Mr. Peabody & Sherman ,5810
Troy ,17944
Madagascar 3: Europe's Most Wanted ,2444
Die Another Day ,2538
Ghostbusters ,2097
Armageddon ,26029
Men in Black II ,14823
Beowulf ,31523
Kung Fu Panda 3 ,36095
Mission: Impossible - Ghost Protocol ,21768
Rise of the Guardians ,20645
Fun with Dick and Jane ,1997
The Last Samurai ,11945
Exodus: Gods and Kings ,26490
Star Trek ,39284
Spider-Man ,40484
How to Train Your Dragon 2 ,23378
Gods of Egypt ,19769
Stealth ,2705
Watchmen ,2530
Lethal Weapon 4 ,6171
Hulk ,1814
G.I. Joe: Retaliation ,31958
Sahara ,13073
Final Fantasy: The Spirits Within ,15015
Captain America: The First Avenger ,19761
The World Is Not Enough ,2037
Master and Commander: The Far Side of the World ,1205
The Twilight Saga: Breaking Dawn - Part 2 ,59177
Happy Feet 2 ,62644
The Incredible Hulk ,5811
Miami Vice             ,1687
The BFG ,1950
The Revenant ,57108
Turbo ,17416
Rango ,43291
Penguins of Madagascar ,19963
The Bourne Ultimatum ,17369
Kung Fu Panda ,12754
Ant-Man ,5730
The Hunger Games: Catching Fire ,49355
The Twilight Saga: Breaking Dawn - Part 2 ,59177
Home ,17883
War of the Worlds ,12758
Bad Boys II ,12954
Puss in Boots ,5046
Salt ,12406
Noah ,32355
The Adventures of Tintin ,4631
Harry Potter and the Prisoner of Azkaban ,33284
Australia ,921
After Earth ,14168
Dinosaur ,2945
Harry Potter and the Deathly Hallows: Part II ,11036
Night at the Museum: Secret of the Tomb ,53587
Megamind ,46120
Harry Potter and the Sorcerer's Stone ,13191
R.I.P.D. ,31549
Godzilla Resurgence ,699
Pirates of the Caribbean: The Curse of the Black Pearl ,48184
Harry Potter and the Deathly Hallows: Part I ,14719
The Hunger Games: Mockingjay - Part 1 ,81385
The Da Vinci Code ,16008
Rio 2 ,1031
X-Men 2 ,20952
Fast Five ,55345
Sherlock Holmes: A Game of Shadows ,22403
Clash of the Titans ,18003
Total Recall ,1441
The 13th Warrior ,1815
The Bourne Legacy ,12175
Batman & Robin ,2699
How the Grinch Stole Christmas ,4146
The Day After Tomorrow ,20553
Mission: Impossible II ,11930
The Perfect Storm ,2684
Fantastic 4: Rise of the Silver Surfer ,15302
Life of Pi ,2121
Ghost Rider ,14017
Jason Bourne ,13752
Charlie's Angels: Full Throttle ,4046
Prometheus ,24098
Stuart Little 2 ,2682
Elysium ,17689
The Chronicles of Riddick ,17159
RoboCop ,14161
Speed Racer ,902
How Do You Know ,993
Knight and Day ,12731
Oblivion ,22004
Star Wars: Episode III - Revenge of the Sith ,44042
Star Wars: Episode II - Attack of the Clones ,42990
"Monsters, Inc. ",15013
The Wolverine ,23755
Star Wars: Episode I - The Phantom Menace ,37723
The Croods ,43286
Asterix at the Olympic Games ,1609
Windtalkers ,15046
The Huntsman: Winter's War ,46719
Teenage Mutant Ninja Turtles ,2690
Gravity ,87
Dante's Peak ,1569
Teenage Mutant Ninja Turtles: Out of the Shadows ,8306
Fantastic Four ,1261
Night at the Museum ,55486
San Andreas ,16718
Tomorrow Never Dies ,2958
