duration,genres,movie_title,actor_3_name,budget,title_year,movie_facebook_likes
109,Action|Crime|Drama|Thriller,Sabotage ,Maurice Compte,35000000,2014,10000
102,Action|Mystery|Thriller,The Order ,Benno Fürmann,38000000,2003,704
103,Action|Crime|Drama|Thriller,Punisher: War Zone ,Colin Salmon,35000000,2008,0
83,Action|Adventure|Family|Sci-Fi,Zoom ,Thomas F. Wilson,35000000,2006,494
123,Adventure|Biography|Drama|Thriller,The Walk ,Jade Kindar-Martin,35000000,2015,24000
101,Action|Adventure|Fantasy,Warriors of Virtue ,Angus Macfadyen,35000000,1997,0
117,Comedy|Drama|Romance,A Good Year ,Richard Coyle,35000000,2006,9000
60,Crime|Drama|Mystery|Thriller,Luther             ,Warren Brown,,,20000
114,Drama,Radio Flyer ,John Heard,35000000,1992,892
330,Crime|Drama,Blood In, Blood Out ,Raymond Cruz,35000000,1993,6000
121,Action|Drama|Sci-Fi|Thriller,Smilla's Sense of Snow ,Julia Ormond,35000000,1997,561
114,Crime|Drama|Mystery|Thriller,Femme Fatale ,Rie Rasmussen,35000000,2002,675
156,Biography|Drama|History|War,Lion of the Desert ,John Gielgud,35000000,1980,0
135,Adventure|Drama|Romance|War,The Horseman on the Roof ,Isabelle Carré,,1995,262
148,Drama|Romance|War|Western,Ride with the Devil ,Tobey Maguire,35000000,1999,633
148,Drama,Biutiful ,Eduard Fernández,,2010,29000
109,Action|Adventure|Romance|Sci-Fi,The Lovers ,Bipasha Basu,,2015,677
93,Action|Comedy|Crime|Western,Bandidas ,Dwight Yoakam,32000000,2006,0
,Crime|Drama,Black Water Transit ,Beverly D'Angelo,23000000,2009,26
113,Action|Mystery|Sci-Fi|Thriller,The Maze Runner ,Jacob Latimore,34000000,2014,38000
91,Comedy,Unfinished Business ,Melissa McMeekin,35000000,2015,0
139,Drama|Romance,The Age of Innocence ,Stuart Wilson,30000000,1993,0
96,Drama|Sci-Fi,The Fountain ,Mark Margolis,35000000,2006,23000
102,Action|Adventure|Comedy|Drama|Thriller,Chill Factor ,Hudson Leick,34000000,1999,120
96,Action|Crime|Drama|Thriller,Stolen ,Sami Gayle,35000000,2012,0
101,Adventure|Animation|Family|Fantasy,Ponyo ,Yuria Nara,34000000,2008,0
128,Drama|Romance,The Longest Ride ,Hayley Lovitt,34000000,2015,23000
109,Drama|Sci-Fi|Thriller,The Astronaut's Wife ,Clea DuVall,34000000,1999,1000
114,Adventure|Drama|Romance,I Dreamed of Africa ,Vincent Perez,34000000,2000,314
105,Comedy|Romance|Sport,Playing for Keeps ,Judy Greer,35000000,2012,0
141,Biography|Drama|History,Mandela: Long Walk to Freedom ,Tony Kgoroge,35000000,2013,13000
195,Biography|Drama|History|Romance,Reds ,M. Emmet Walsh,35000000,1981,0
138,Drama|Thriller,A Few Good Men ,Kevin Pollak,40000000,1992,0
101,Action|Comedy|Crime|Drama|Thriller,Exit Wounds ,Bruce McGill,33000000,2001,742
99,Action|Comedy|Crime,Big Momma's House ,Tichina Arnold,30000000,2000,1000
85,Adventure|Animation|Comedy|Family|Fantasy,Thunder and the House of Magic ,Joe Ochman,34000000,2013,0
89,Action|Adventure|Horror|Sci-Fi|Thriller,The Darkest Hour ,Dato Bakhtadze,30000000,2011,0
99,Drama|Music|Romance,Step Up Revolution ,Misha Gabriel Hamilton,33000000,2012,19000
105,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,Rachel Blanchard,33000000,2006,4000
97,Crime|Horror|Mystery|Thriller,The Watcher ,Chris Ellis,33000000,2000,463
140,Action|Crime|Drama|Thriller,The Punisher ,Eddie Jemison,33000000,2004,4000
118,Drama|Romance|Sport,Goal! The Dream Begins ,Stephen Dillane,10000000,2005,0
94,Action|Crime|Thriller,Safe ,Robert John Burke,30000000,2012,12000
124,Comedy|Drama|Romance,Pushing Tin ,Jake Weber,38000000,1999,783
134,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode VI - Return of the Jedi ,Kenny Baker,32500000,1983,14000
113,Action|Sci-Fi|Thriller,Doomsday ,Jeremy Crutchley,30000000,2008,0
124,Drama|Romance,The Reader ,Susanne Lothar,32000000,2008,15000
98,Comedy,Wanderlust ,Joe Lo Truglio,,2012,0
97,Comedy|Family|Fantasy|Romance,Elf ,Will Ferrell,33000000,2003,21000
123,Drama|Fantasy|Romance|Sci-Fi,Phenomenon ,David Gallagher,32000000,1996,0
99,Adventure|Comedy|Family|Sport,Snow Dogs ,M. Emmet Walsh,35000000,2002,0
101,Comedy|Drama|Fantasy,Scrooged ,Robert Mitchum,32000000,1988,11000
92,Comedy|Family|Sport,Nacho Libre ,Héctor Jiménez,32000000,2006,0
131,Comedy|Romance,Bridesmaids ,Steve Bannos,32500000,2011,27000
107,Comedy|Fantasy,This Is the End ,Emma Watson,32000000,2013,97000
103,Horror,Stigmata ,Portia de Rossi,29000000,1999,0
129,Biography|Drama,Men of Honor ,Michael Rapaport,32000000,2000,0
107,Action|Crime|Thriller,Takers ,Jay Hernandez,20000000,2010,0
89,Comedy,The Big Wedding ,Topher Grace,35000000,2013,0
113,Action|Comedy|Crime,Big Mommas: Like Father, Like Son ,Portia Doubleday,32000000,2011,0
93,Mystery|Sci-Fi|Thriller,Source Code ,Russell Peters,32000000,2011,56000
120,Adventure|Biography|Drama|Thriller,Alive ,Michael DeLorenzo,32000000,1993,0
98,Mystery|Thriller,The Number 23 ,Ed Lauter,32000000,2007,10000
105,Action|Adventure|Drama|Family,The Young and Prodigious T.S. Spivet ,Judy Davis,33000000,2013,5000
142,Action|Comedy|War,1941 ,Treat Williams,35000000,1979,2000
98,Drama|Family|Sport,Dreamer: Inspired by a True Story ,Holmes Osborne,32000000,2005,0
96,Crime|Drama|Thriller,A History of Violence ,William Hurt,32000000,2005,0
87,Action|Crime|Thriller,Transporter 2 ,Matthew Modine,32000000,2005,0
107,Action|Thriller|Western,The Quick and the Dead ,Roberts Blossom,32000000,1995,0
90,Comedy|Romance,Laws of Attraction ,Nora Dunn,28000000,2004,702
121,Drama|Thriller,Bringing Out the Dead ,Sonja Sohn,55000000,1999,0
119,Action|Crime|Sci-Fi|Thriller,Repo Men ,Yvette Nicole Brown,32000000,2010,12000
107,Action|Drama|Fantasy|Horror|Thriller,Dragon Wars: D-War ,Chris Mulkey,35000000,2007,0
110,Comedy|Family|Fantasy,Bogus ,Andrea Martin,30000000,1996,350
100,Comedy,The Incredible Burt Wonderstone ,Steve Carell,30000000,2013,13000
