actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,content_rating,budget,movie_facebook_likes
911,Loretta Devine,3000,Crash ,R,6500000,18000
553,Anthony LaPaglia,902,The House of Mirth ,PG,10000000,345
311,Tracey Walter,754,Malone ,R,10000000,208
400,Tim DeKay,634,Peaceful Warrior ,PG-13,10000000,0
269,Kevin Nealon,982,Bucky Larson: Born to Be a Star ,R,10000000,0
851,Michael Rapaport,1000,Bamboozled ,R,10000000,1000
4,Stephanie Vogt,533,The Forest ,PG-13,10000000,10000
249,William Hootkins,902,Sphinx ,PG,14000000,106
64,Maria Dizzia,6000,While We're Young ,R,10000000,0
221,Eddie 'Piolin' Sotelo,749,A Better Life ,PG-13,10000000,0
258,John Neville,530,Spider ,R,8000000,0
826,Oliver Platt,14000,Gun Shy ,R,10000000,242
1000,Anne Hathaway,16000,Nicholas Nickleby ,PG,10000000,0
683,James Franco,11000,The Iceman ,R,10000000,20000
2,Olaf Lubaszenko,20,Dekalog             ,TV-MA,,0
45,Rekha,307,Krrish ,Not Rated,10000000,533
503,Melanie Griffith,975,Cecil B. DeMented ,R,10000000,795
251,Scott A. Martin,11000,Killer Joe ,R,11000000,12000
688,Gary Cole,2000,The Joneses ,R,5000000,0
232,Minnie Driver,22000,Owning Mahowny ,R,10000000,0
622,Lee Majors,966,The Brothers Solomon ,R,10000000,319
20,Norah Jones,20000,My Blueberry Nights ,PG-13,10000000,0
54,Ben Gazzara,816,Illuminata ,R,,74
119,Jeanne Tripplehorn,990,Swept Away ,R,10000000,725
91,Sergej Trifunovic,603,War, Inc. ,R,10000000,883
51,Karen Mok,478,Shaolin Soccer ,PG,10000000,0
0,Cheryl Tiegs,787,The Brown Bunny ,Not Rated,10000000,952
28,François Cluzet,678,The Swindle ,,60000000,33
241,Claire Foy,374,Rosewater ,R,5000000,5000
34,Aitana Sánchez-Gijón,837,The Chambermaid on the Titanic ,,,85
131,Ashraf Barhom,18000,Coriolanus ,R,,12000
83,Ryan Donowho,374,Imaginary Heroes ,R,4000000,345
428,Danny Dyer,893,High Heels and Low Lifes ,R,10000000,117
334,Daryl Sabara,49000,World's Greatest Dad ,R,,0
345,Toby Stephens,798,Severance ,R,5000000,0
885,Dulé Hill,1000,Edmond ,R,10000000,661
146,Ally Sheedy,17000,Welcome to the Rileys ,R,,0
421,Michael Winslow,16000,Police Academy: Mission to Moscow ,PG,6200000,321
553,Nate Parker,665,Blood Done Sign My Name ,PG-13,,503
36,Andrés Montiel,78,Cinco de Mayo, La Batalla ,R,10000000,874
499,Jared Gilman,962,Elsa & Fred ,PG-13,10000000,0
385,Harvey Weinstein,795,An Alan Smithee Film: Burn Hollywood Burn ,R,10000000,89
875,Justin Timberlake,12000,The Open Road ,PG-13,10000000,370
617,Scott Porter,806,The Good Guy ,R,8000000,1000
495,Minnie Driver,1000,Motherhood ,PG-13,5000000,546
422,Corbin Bleu,835,Free Style ,PG,,58
51,Reef Ireland,147,Strangerland ,R,10000000,0
240,Tamala Jones,706,The Janky Promoters ,R,,402
611,Drew Waters,906,Blonde Ambition ,PG-13,10000000,160
102,Leonor Watling,439,The Oxford Murders ,R,10000000,0
72,Gyton Grantley,122,The Reef ,R,,0
742,Rip Torn,11000,Eulogy ,R,6500000,376
126,Craig Fairbrass,298,White Noise 2: The Light ,PG-13,10000000,509
111,Mishael Morgan,485,You Got Served: Beat the World ,PG-13,10000000,0
415,Kevin Zegers,5000,Fifty Dead Men Walking ,R,6000000,0
196,Tom Arnold,1000,Jungle Shuffle ,,10000000,186
520,Ayelet Zurer,30000,Adam Resurrected ,R,10000000,589
5,Charlotte Bøving,63,Of Horses and Men ,,10000000,1000
95,Mark Addy,1000,It's a Wonderful Afterlife ,PG-13,10000000,695
711,Henry Rollins,1000,The Devil's Tomb ,R,10000000,486
46,Jesse Moss,183,Partition ,R,10000000,746
482,Luke Perry,670,Good Intentions ,PG-13,10000000,119
7,Woo-sung Jung,398,The Good, the Bad, the Weird ,R,10000000,0
899,Katrina Bowden,1000,Nurse 3D ,R,10000000,0
499,Callum Rennie,764,Gunless ,,10000000,850
452,Martin Starr,17000,Adventureland ,R,,0
195,Victor Rivers,786,The Lost City ,R,9600000,957
525,Mike Epps,723,Next Friday ,R,9500000,0
262,Jordana Brewster,4000,American Heist ,R,10000000,0
244,Burt Kwouk,742,You Only Live Twice ,Approved,9500000,0
1000,Alfie Allen,31000,Plastic ,R,10000000,1000
319,Emmanuelle Riva,678,Amour ,PG-13,8900000,33000
770,Heather O'Rourke,1000,Poltergeist III ,PG-13,10500000,616
200,Roger Cross,557,Re-Kill ,R,9500000,898
760,Sid Caesar,924,It's a Mad, Mad, Mad, Mad World ,Approved,9400000,0
82,Lola Dueñas,148,Volver ,R,,0
123,Joe Flaherty,187,Heavy Metal ,R,9300000,0
327,Michael Angarano,33000,Gentlemen Broncos ,PG-13,,0
1000,Jim Broadbent,21000,Richard III ,R,6000000,0
129,Michaela McManus,826,Into the Grizzly Maze ,R,10000000,0
303,Steven Michael Quezada,594,Kites ,,600000000,0
844,Kirsten Dunst,10000,Melancholia ,R,7400000,50000
110,Keisha Castle-Hughes,509,Red Dog ,PG,8500000,10000
1000,Katrina Kaif,8000,Jab Tak Hai Jaan ,Not Rated,7217600,12000
513,Yaphet Kotto,1000,Alien ,R,11000000,23000
177,Edwin Neal,383,The Texas Chain Saw Massacre ,R,83532,0
741,Scout Taylor-Compton,17000,The Runaways ,R,10000000,0
51,Paul Michael Glaser,402,Fiddler on the Roof ,G,9000000,0
177,Earl Cameron,244,Thunderball ,Approved,9000000,0
123,Shanley Caswell,14000,Detention ,R,10000000,0
16,Alessandro Preziosi,580,Loose Cannons ,,,0
685,Jada Pinkett Smith,890,Set It Off ,R,9000000,0
862,Sanaa Lathan,1000,The Best Man ,R,9000000,0
118,Alex Vincent,311,Child's Play ,R,9000000,0
184,Tucker Albrizzi,909,Sicko ,PG-13,9000000,0
908,Zach Gilford,2000,The Purge: Anarchy ,R,9000000,15000
407,Lauren German,3000,Down to You ,PG-13,9000000,580
587,Fred Willard,982,Harold & Kumar Go to White Castle ,R,9000000,0
883,Gary Oldman,12000,The Contender ,R,20000000,1000
701,Nia Long,14000,Boiler Room ,R,8000000,0
199,Denholm Elliott,392,Trading Places ,R,,0
179,Crystal Lowe,607,Black Christmas ,R,9000000,0
127,Tate Taylor,911,Breakin' All the Rules ,PG-13,,266
130,Derek Jacobi,591,Henry V ,PG-13,9000000,0
338,David Zayas,22000,The Savages ,R,,0
571,Freddy Rodríguez,591,Chasing Papi ,PG,,419
