director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score
,11,,11,Breckin Meyer,celebrity|robot|satire|sketch comedy|stop motion animation,http://www.imdb.com/title/tt0437745/?ref_=fn_tt_tt_1,75,TV-MA,,0,7.8
Howard Hawks,126,393,862,Harry Carey Jr.,cattle|cattle drive|cowboy|kansas|texas,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,162,Approved,3000000,376,7.8
Nnegest Likké,99,18,939,Joyful Drake,female protagonist|size positive|thin|title directed by female|wet dream,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,101,PG-13,3000000,407,3.0
Richard Linklater,109,0,140,Athina Rachel Tsangari,friend|greece|greek|hotel room|twin,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,270,R,3000000,63,7.9
Christopher Leitch,95,4,641,Kim Darby,falling in love|glowing eyes|insult|teenager|three word title,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,65,PG,3000000,168,3.2
Don Coscarelli,97,152,674,James Le Gros,cemetery|female nudity|mortuary|sphere|tall man,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,100,R,3000000,174,6.5
Michael Schultz,94,78,912,Clifton Powell,abuse|bishop|death|flashback|poverty,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,23,R,,637,6.9
Patricia Cardoso,90,15,953,George Lopez,education|factory|high school|mexican american|religious icon,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,109,PG-13,3000000,625,7.0
,197,,578,Luke Ford,gallipoli|tv mini series|world war one,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,1,,15000000,476,7.4
Deepa Mehta,117,375,1000,Seema Biswas,ashram|india|love|tradition|widow,http://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,147,PG-13,,329,7.8
Damien O'Donnell,96,70,883,Om Puri,england|marriage|muslim|pakistani|salford,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,161,R,1900000,183,6.9
Peter M. Cohen,82,0,472,David Heyman,dating|diner|masturbation|urination|washington square manhattan new york city,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,81,R,3000000,324,4.4
Mira Nair,109,300,729,Rekha,courtesan|friend|kama sutra|seduction|wedding,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,92,R,3000000,257,6.0
Nicole Holofcener,90,132,1000,Ann Morgan Guilbert,apartment|first date|neighbor|new york|new york city,http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1,53,R,,864,6.6
Mel Stuart,89,21,240,Julie Dawn Cole,candy|chocolate|factory|miniaturization|sudden change in size,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,349,G,3000000,177,7.8
Anthony Hickox,98,16,687,Paula Marshall,druid|eclipse|rune|scalping|warlock,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,49,R,3000000,233,5.3
