num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,aspect_ratio
36,97,150,446,Nora Zehetner,Creative Control ,928,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,7,English,USA,1000000,2015,171,2.39
56,81,394,975,Michael Rapaport,Special ,2694,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,37,English,USA,1000000,2006,645,1.85
8,90,422,491,Frances Bay,Sparkler ,2633,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,13,English,USA,,1997,490,
3,97,94,639,Scott Levy,The Helix... Loaded ,1188,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,9,English,USA,1000000,2005,361,1.78
8,88,176,563,David Keith,In Her Line of Fire ,1284,2,camp|die hard scenario|female protagonist|island|vice president,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,12,English,Germany,1000000,2006,288,1.85
9,96,4,474,Lynn Cohen,The Jimmy Show ,920,3,based on play|character name in title,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,21,English,USA,1500000,2001,436,1.85
87,105,8,327,Kenny Johnston,Heli ,351,0,corrupt police|drug cartel|drugs|mexico|police,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,15,Spanish,Mexico,1000000,2013,9,1.85
6,,4,7,Rasheed Naz,Karachi se Lahore ,19,9,pakistan|road trip,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,15,Urdu,Pakistan,1000000,2015,5,
14,76,228,442,Ilene Graff,Loving Annabelle ,1635,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,75,English,USA,1000000,2006,403,1.85
20,96,396,782,Jason Ritter,Hits ,2607,1,courtroom|independent film|internet|small town|youtube,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,8,English,USA,1000000,2014,490,1.78
23,99,131,363,Nicole Randall Johnson,Jimmy and Judy ,997,2,police|revenge|sex|suburb|video camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,26,English,USA,1000000,2006,275,
6,90,106,984,Randy Wayne,Frat Party ,1752,4,erotica|masseuse|sister sister relationship|temptation|threesome,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,28,English,USA,1000000,2009,157,16.0
12,94,47,694,Oliver Reed,The Party's Over ,964,1,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,7,English,UK,,1965,196,1.37
2,87,149,767,Aidan Quinn,Proud ,1593,2,,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,22,English,USA,1000000,2004,282,
12,93,904,34000,Jennifer Lawrence,The Poker House ,52113,3,basketball|drug abuse|interracial rape|iowa|tween girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,24,English,USA,,2008,17000,1.85
,90,171,1000,Joe Mantegna,Childless ,1996,5,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,,English,USA,1000000,2008,618,
64,89,23,199,Russell Hodgkinson,ZMD: Zombies of Mass Destruction ,292,0,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,39,English,USA,500000,2009,37,1.85
7,83,317,458,Maureen McCormick,Snow White: A Deadly Summer ,1549,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,14,English,USA,1000000,2012,383,1.78
