director_name,num_critic_for_reviews,duration,actor_2_name,gross,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,budget,title_year,imdb_score
Hideaki Anno,1,120,Shin'ya Tsukamoto,,Action|Adventure|Drama|Horror|Sci-Fi,374,699,Atsuko Maeda,0,blood|godzilla|monster|sequel,13,,2016,8.2
Gore Verbinski,271,143,Orlando Bloom,305388685,Action|Adventure|Fantasy,809474,48184,Jack Davenport,3,caribbean|curse|governor|pirate|undead,2113,140000000,2003,8.1
Matt Birch,4,,Toby Jones,,Fantasy,252,14719,Alfred Enoch,1,,2,,2010,6.4
Francis Lawrence,403,123,Philip Seymour Hoffman,337103873,Adventure|Sci-Fi|Thriller,305008,81385,Josh Hutcherson,1,based on young adult novel|manipulation|rebellion|symbol|uprising,591,125000000,2014,6.7
Ron Howard,294,174,Seth Gabel,217536138,Mystery|Thriller,314253,16008,Jürgen Prochnow,2,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,1966,125000000,2006,6.6
Carlos Saldanha,159,101,Rachel Crow,131536019,Adventure|Animation|Comedy|Family|Musical,58498,1031,Jeffrey Garcia,0,amazon|bird|father in law|jungle|no opening credits,99,103000000,2014,6.4
Bryan Singer,289,134,Bruce Davison,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,405973,20952,Aaron Stanford,4,mutant|prison|professor|school|x men,1055,110000000,2003,7.5
Justin Lin,342,132,Vin Diesel,209805005,Action|Crime|Thriller,284792,55345,Dwayne Johnson,3,drug lord|drugs|federal agent|heist|police,366,125000000,2011,7.3
Guy Ritchie,382,129,Eddie Marsan,186830669,Action|Adventure|Crime|Mystery|Thriller,338635,22403,Paul Anderson,2,factory|gypsy|investigation|sherlock holmes|train,412,125000000,2011,7.5
Louis Leterrier,344,106,Jason Flemyng,163192114,Action|Adventure|Fantasy,229679,18003,Alexa Davalos,0,famous line|hand to hand combat|kraken|rape|zeus,637,125000000,2010,5.8
Paul Verhoeven,196,113,Rachel Ticotin,119412921,Action|Sci-Fi,240241,1441,Marshall Bell,0,ambiguous ending|false memory|implanted memory|memory|space colony,391,65000000,1990,7.5
John McTiernan,85,102,Vladimir Kulich,32694788,Action|Adventure|History,101411,1815,Clive Russell,1,arab|battle|combat|viking|warrior,546,85000000,1999,6.6
