director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Leonard Farlinger,8,0,413,,Western,All Hat ,2668,Stephen McHattie,2,contemporary west|cowboy|horse|jockey|neo western,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,8,R,2007,580,5.3,31
Michel Leclerc,87,3,9,513836,Comedy|Drama|Romance,The Names of Love ,143,Zinedine Soualem,1,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,21,R,2010,52,7.2,0
Analeine Cal y Mayor,10,4,140,,Comedy|Drama,Treading Water ,1795,Kim Ly,1,,http://www.imdb.com/title/tt2091427/?ref_=fn_tt_tt_1,3,,2013,480,6.2,199
Tom Kalin,121,4,577,434417,Drama,Savage Grace ,15093,Stephen Dillane,1,incest|male nudity|older man younger woman relationship|orgasm|son murders mother,http://www.imdb.com/title/tt0379976/?ref_=fn_tt_tt_1,65,Not Rated,2007,1000,5.9,0
Robert Sarkies,43,0,3,728,Crime|Drama,Out of the Blue ,122,Paul Glover,0,true crime,http://www.imdb.com/title/tt0839938/?ref_=fn_tt_tt_1,22,,2006,10,7.3,285
Hugh Wilson,45,37,542,81200000,Comedy,Police Academy ,3113,Michael Winslow,0,misfit|police|police academy|police cadet|police officer,http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1,133,R,1984,760,6.7,0
Randal Kleiser,36,116,83,,Adventure|Drama|Romance,The Blue Lagoon ,1662,Leo McKern,0,coming of age|island|poison|teenage boy|teenage girl,http://www.imdb.com/title/tt0080453/?ref_=fn_tt_tt_1,140,R,1980,511,5.7,0
Mike Newell,84,179,239,52700832,Comedy|Drama|Romance,Four Weddings and a Funeral ,1862,Simon Callow,4,1990s|chick flick|funeral|gay relationship|wedding,http://www.imdb.com/title/tt0109831/?ref_=fn_tt_tt_1,197,R,1994,398,7.1,0
Amy Heckerling,118,143,811,,Comedy|Drama,Fast Times at Ridgemont High ,5002,Vincent Schiavelli,1,break up|california|high school|surfer|teacher,http://www.imdb.com/title/tt0083929/?ref_=fn_tt_tt_1,228,X,1982,901,7.2,0
John Huston,42,1000,68,,Adventure|Drama,Moby Dick ,588,James Robertson Justice,0,obsession|revenge|ship|whale|whaling,http://www.imdb.com/title/tt0049513/?ref_=fn_tt_tt_1,115,Unrated,1956,169,7.4,0
Spike Lee,202,0,346,13060843,Drama,25th Hour ,26050,Aaron Stanford,0,bar|dream|drug dealing|nightclub|widower,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1,454,R,2002,3000,7.7,0
,5,,298,,Crime|Drama,Secrets and Lies             ,1587,KaDee Strickland,0,,http://www.imdb.com/title/tt3516878/?ref_=fn_tt_tt_1,27,,,560,7.7,2000
