num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,movie_facebook_likes
36,123,0,Bob Hoskins,12000,25900000,Crime|Drama|Music,The Cotton Club ,12771,18793,Fred Gwynne,http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1,84,58000000,1984,6.5,828
295,122,446,Logan Lerman,23000,53574088,Adventure|Crime|Drama|Western,3:10 to Yuma ,237872,33548,Gretchen Mol,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,560,55000000,2007,7.8,0
222,115,118,Dougray Scott,14000,89253340,Action|Thriller,Taken 3 ,133436,16967,Jon Gries,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,323,48000000,2014,6.0,38000
158,123,0,Albert Brooks,3000,37339525,Crime|Drama|Romance|Thriller,Out of Sight ,71708,3768,Keith Hudson,http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1,307,48000000,1998,7.0,0
72,96,0,Janeane Garofalo,2000,60154431,Comedy|Drama|Thriller,The Cable Guy ,122347,3718,Andy Dick,http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1,345,47000000,1996,6.0,0
34,110,375,Gulshan Grover,113,528972,Drama|Romance|War,Earth ,5639,371,Eric Peterson,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,55,,1998,7.8,522
72,105,631,Warren Beatty,678,103738726,Action|Comedy|Crime|Music|Romance|Thriller,Dick Tracy ,47819,2096,Seymour Cassel,http://www.imdb.com/title/tt0099422/?ref_=fn_tt_tt_1,164,100000000,1990,6.1,2000
152,113,323,Faye Dunaway,1000,69304264,Crime|Romance|Thriller,The Thomas Crown Affair ,73068,4660,Denis Leary,http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1,419,48000000,1999,6.8,0
89,132,545,Adam Garcia,919,29781453,Biography|Comedy|Drama,Riding in Cars with Boys ,22447,4796,Alissa Dean,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,210,48000000,2001,6.4,0
145,93,270,Brian Dennehy,13000,,Action|Adventure|Drama,First Blood ,172489,15192,Chris Mulkey,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,14000000,1982,7.7,0
144,115,0,Anatoliy Solonitsyn,29,,Drama|Mystery|Sci-Fi,Solaris ,54057,95,Natalya Bondarchuk,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,236,1000000,1972,8.1,0
93,75,0,George Carlin,4000,15519841,Adventure|Animation|Comedy|Family|Fantasy,Happily N'Ever After ,8693,6863,Rob Paulsen,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,71,47000000,2006,4.5,261
46,108,350,Bronagh Gallagher,8000,5600000,Drama|Horror|Romance|Thriller,Mary Reilly ,11913,8349,George Cole,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,97,47000000,1996,5.8,616
84,105,29,Christopher Masterson,8000,126805112,Comedy|Romance,My Best Friend's Wedding ,98199,12344,Rupert Everett,http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1,169,46000000,1997,6.3,0
142,102,148,Rainn Wilson,8000,93607673,Comedy|Romance,America's Sweethearts ,47573,9176,Larry King,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,343,48000000,2001,5.7,881
185,118,22000,Maura Tierney,14000,67263182,Drama|Mystery|Thriller,Insomnia ,218771,15658,Crystal Lowe,http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1,651,46000000,2002,7.2,0
143,111,906,Alfre Woodard,1000,92001027,Action|Adventure|Drama|Sci-Fi|Thriller,Star Trek: First Contact ,97838,6315,Jonathan Frakes,http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1,286,45000000,1996,7.6,3000
178,81,39,Billy Blair,13000,10539414,Action|Drama|Fantasy|Thriller|Western,Jonah Hex ,45729,14619,Julia Jones,http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1,176,47000000,2010,4.7,0
65,116,380,Matt Damon,18000,58918501,Action|Drama|Mystery|Thriller|War,Courage Under Fire ,40126,33233,Scott Glenn,http://www.imdb.com/title/tt0115956/?ref_=fn_tt_tt_1,107,46000000,1996,6.6,975
73,86,293,Swoosie Kurtz,509,181395380,Comedy|Fantasy|Romance,Liar Liar ,220392,2070,Randall 'Tex' Cobb,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,243,45000000,1997,6.8,0
72,127,65,Amy Ryan,788,14946229,Biography|Crime|Drama|Thriller,The Infiltrator ,2581,2104,Olympia Dukakis,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,29,25000000,2016,7.3,0
10,140,92,Ben Gazzara,1000,,Drama|History|War,Inchon ,491,2704,Jacqueline Bisset,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,16,48000000,1981,2.7,115
35,91,32,Elizabeth Perkins,924,130512915,Comedy|Family|Fantasy,The Flintstones ,60884,3244,Harvey Korman,http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1,85,45000000,1994,4.8,0
358,98,118,Luke Grimes,14000,139852971,Action|Crime|Thriller,Taken 2 ,238671,16410,D.B. Sweeney,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,461,45000000,2012,6.3,63000
