director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,language,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
Joe Carnahan,127,105,147,673,10460089,Narc ,English,7500000,466,7.2,1.85
Paul Gross,9,102,280,611,4239767,Men with Brooms ,English,7500000,329,6.0,1.85
Charles Robert Carner,35,97,742,834,4131640,Witless Protection ,English,7500000,749,3.1,1.85
Russell Holt,6,118,249,373,3347439,The Work and the Glory ,English,7500000,266,6.9,
Mike Judge,192,92,968,24000,10814185,Extract ,English,8000000,15000,6.2,1.85
Larry Charles,51,112,844,12000,533344,Masked and Anonymous ,English,,844,5.5,1.85
Claude Miller,38,103,59,71,206400,Alias Betty ,French,50000000,59,6.9,
Michael Winterbottom,133,93,158,631,197148,Code 46 ,English,7500000,163,6.3,2.35
Sacha Bennett,4,101,447,5000,,Outside Bet ,English,7500000,659,4.8,
Paul Haggis,287,115,911,3000,54557348,Crash ,English,6500000,912,7.9,2.35
Rodrigo García,222,113,373,3000,3014541,Albert Nobbs ,English,8000000,415,6.7,2.35
Jeta Amata,6,95,36,262,,Black November ,English,7500000,65,5.6,
Siddharth Anand,16,153,60,532,872643,Ta Ra Rum Pum ,Hindi,6000000,249,5.4,
Vincent Paronnaud,242,89,106,963,4443403,Persepolis ,French,7300000,545,8.0,1.85
Joe Dante,147,92,664,844,,The Hole ,English,12000000,708,5.7,1.85
Dennis Gansel,93,107,93,287,,The Wave ,German,5000000,150,7.6,2.35
Nicolas Winding Refn,253,118,500,18000,1330827,The Neon Demon ,English,7000000,860,7.0,2.35
Daniel Barber,224,97,641,788,1818681,Harry Brown ,English,7300000,698,7.2,2.35
Sam Raimi,392,156,4000,24000,336530303,Spider-Man 3 ,English,258000000,11000,6.2,2.35
Robert Marcarelli,39,100,440,488,12610552,The Omega Code ,English,7500000,488,3.5,1.37
Jason Reitman,387,96,973,24000,143492840,Juno ,English,7500000,3000,7.5,1.85
Ernie Barbarash,36,104,96,294,,Pound of Flesh ,English,7500000,284,5.1,1.85
Guy Hamilton,120,120,175,244,43800000,Diamonds Are Forever ,English,7200000,177,6.7,2.35
Francis Ford Coppola,208,175,3000,14000,134821952,The Godfather ,English,6000000,10000,9.2,1.85
Adrian Lyne,51,95,92,225,94900000,Flashdance ,English,4000000,174,6.1,1.85
Marc Webb,331,95,11000,23000,32391374,500 Days of Summer ,English,7500000,17000,7.7,2.35
Jane Campion,83,121,11,1000,40158000,The Piano ,English,7000000,18,7.6,1.85
Steven Soderbergh,324,110,11000,17000,113709992,Magic Mike ,English,7000000,15000,6.1,2.35
Jonathan Liebesman,140,96,82,1000,32131483,Darkness Falls ,English,11000000,970,4.9,2.35
Guy Hamilton,136,121,189,581,35400000,Live and Let Die ,English,7000000,547,6.8,1.66
Jay Russell,79,95,430,1000,34099640,My Dog Skip ,English,5000000,934,7.0,1.37
Adam Brooks,160,112,61,16000,31973840,"Definitely, Maybe ",English,,109,7.2,2.35
Salim Akil,52,112,826,1000,37295394,Jumping the Broom ,English,6600000,912,5.7,1.85
Baz Luhrmann,490,143,76,29000,144812796,The Great Gatsby ,English,105000000,509,7.3,2.35
George Clooney,351,93,566,21000,31501218,"Good Night, and Good Luck. ",English,7500000,650,7.5,1.85
Bennett Miller,271,110,27,22000,28747570,Capote ,English,7000000,68,7.4,2.35
Robert Rodriguez,93,104,4000,16000,25625110,Desperado ,English,7000000,12000,7.2,1.85
Michael Winterbottom,71,115,887,14000,403932,The Claim ,English,20000000,900,6.5,2.35
,54,53,1000,4000,,Fargo             ,English,,1000,9.0,1.78
Michael Anderson,112,119,440,1000,25000000,Logan's Run ,English,9000000,659,6.8,2.35
Guy Hamilton,118,125,244,16000,21000000,The Man with the Golden Gun ,English,13000000,387,6.8,1.66
Craig R. Baxley,35,96,794,1000,20257000,Action Jackson ,English,7000000,841,5.2,1.85
Neil Marshall,342,100,159,513,26005908,The Descent ,English,3500000,239,7.2,2.35
Don Kempf,14,46,69,13000,18642318,Michael Jordan to the Max ,English,,366,7.5,1.44
Matt Bettinelli-Olpin,137,89,270,971,15818967,Devil's Due ,English,7000000,479,4.0,1.85
David O. Russell,50,92,380,718,14891000,Flirting with Disaster ,English,7000000,524,6.8,1.85
Rob Zombie,261,109,597,1000,16901126,The Devil's Rejects ,English,7000000,649,6.9,1.85
,96,44,970,4000,,Buffy the Vampire Slayer             ,English,2300000,3000,8.2,1.33
Rick Famuyiwa,180,103,190,637,17474107,Dope ,English,7000000,256,7.3,2.35
Michael Rymer,28,95,826,1000,14003141,In Too Deep ,English,7000000,865,6.1,2.35
Sam Mendes,750,143,393,883,304360277,Skyfall ,English,200000000,563,7.8,2.35
Rob Zombie,202,105,303,1000,12583510,House of 1000 Corpses ,English,7000000,340,6.0,1.85
Sharron Miller,8,79,23,246,,Alien Zone ,English,350000,29,4.1,
Ethan Coen,341,106,98,816,9190525,A Serious Man ,English,7000000,105,7.0,1.85
Aaron Schneider,160,100,970,13000,9176553,Get Low ,English,7500000,3000,7.1,2.35
Steve Miner,31,103,304,687,9094451,Warlock ,English,7000000,554,6.2,1.85
Gina Prince-Bythewood,71,116,658,893,14612840,Beyond the Lights ,English,7000000,664,6.9,
Tom Ford,281,99,292,14000,9166863,A Single Man ,English,7000000,343,7.6,2.35
Martin Scorsese,114,164,159,883,8373585,The Last Temptation of Christ ,English,7000000,618,7.6,1.85
Michael Corrente,72,96,407,761,7292175,Outside Providence ,English,7000000,412,6.4,1.85
Gurinder Chadha,119,122,397,729,6601079,Bride & Prejudice ,English,7000000,579,6.2,2.35
Phillip Noyce,74,94,46,116,6165429,Rabbit-Proof Fence ,Aboriginal,6000000,93,7.5,2.35
Don Michael Paul,25,93,442,692,5694308,Who's Your Caddy? ,English,7000000,585,2.0,1.85
Tony Maylam,39,96,38,206,5430822,Split Second ,English,7000000,192,6.2,1.85
,27,60,346,787,,Nikita             ,English,,485,7.7,16.0
Mitch Davis,27,113,35,11000,4720371,The Other Side of Heaven ,English,7000000,43,6.5,1.85
,11,60,652,10000,,Dark Angel             ,English,,794,7.4,1.33
Yash Chopra,29,192,397,8000,2921738,Veer-Zaara ,Hindi,7000000,860,7.9,2.35
David Mamet,158,99,501,1000,2344847,Redbelt ,English,7000000,518,6.8,2.35
Jay Duplass,223,91,224,490,7455447,Cyrus ,English,7000000,259,6.3,1.85
Kevin Brodie,25,100,359,655,2148212,A Dog of Flanders ,English,7000000,476,6.3,1.85
Paul Schrader,97,105,617,783,2062066,Auto Focus ,English,7000000,658,6.6,1.85
George Hickenlooper,117,99,628,4000,1654367,Factory Girl ,English,7000000,787,6.4,1.85
Lynne Ramsay,389,112,77,3000,1738692,We Need to Talk About Kevin ,English,7000000,294,7.5,2.35
John Stephenson,9,100,149,2000,2209479,The Christmas Candle ,English,,627,5.8,
Tim Chambers,34,99,455,1000,1889522,The Mighty Macs ,English,7000000,690,6.5,2.35
Curtis Hanson,7,100,172,10000,,Losin' It ,English,7000000,422,4.8,
Rodrigo García,161,125,798,6000,1110286,Mother and Child ,English,4825000,941,7.2,2.35
Dick Richards,6,107,375,963,1000000,March or Die ,English,9000000,750,6.3,1.85
Jean-Marie Poiré,16,107,39,106,700000,Les visiteurs ,French,50000000,54,7.0,2.35
Sofia Coppola,301,97,106,227,1768416,Somewhere ,English,7000000,218,6.3,1.85
Bob Gosse,52,105,184,756,1425993,I Hope They Serve Beer in Hell ,English,,216,5.3,2.35
Alex Zamm,12,95,611,1000,306715,Chairman of the Board ,English,10000000,788,2.3,1.85
Spencer Susser,134,106,973,23000,382946,Hesher ,English,7000000,20000,7.1,2.35
Richard Shepard,151,93,13,554,518134,Dom Hemingway ,English,,524,6.2,2.35
Gus Van Sant,103,103,,13000,236266,Gerry ,English,3500000,0,6.2,2.35
Thaddeus O'Sullivan,39,96,52,766,196067,The Heart of Me ,English,7000000,358,6.7,1.85
Peter Sollett,133,103,935,7000,532988,Freeheld ,English,7000000,1000,6.5,1.85
Shari Springer Berman,104,108,281,474,453079,The Extra Man ,English,7000000,403,5.9,2.35
Aleksey German,121,177,0,4,,Hard to Be a God ,Russian,7000000,4,6.7,1.66
Stephen Milburn Anderson,27,118,410,26000,46451,Ca$h ,English,7000000,854,6.0,1.85
Richard E. Grant,49,97,530,876,233103,Wah-Wah ,English,7000000,838,6.9,2.35
Troy Duffy,100,102,184,12000,,The Boondock Saints ,English,7000000,333,7.9,2.35
David Lam,12,92,4,91,,Z Storm ,Cantonese,7000000,82,5.3,2.35
Francis Ford Coppola,112,88,507,1000,,Twixt ,English,7000000,844,4.8,1.85
Vladlen Barbe,10,80,26,99,,Snow Queen ,Russian,7000000,62,5.3,
Richard Rich,2,45,29,122,,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,,7000000,35,6.0,
Clint Eastwood,38,115,240,16000,41400000,Pale Rider ,English,6900000,455,7.3,2.35
Robert C. Cooper,18,97,687,878,,Stargate: The Ark of Truth ,English,,847,7.4,1.78
Richard Linklater,152,102,787,14000,7993039,Dazed and Confused ,English,6900000,1000,7.7,1.85
Kenny Ortega,44,111,578,755,,High School Musical 2 ,English,7000000,632,4.8,1.78
Kim Nguyen,6,96,63,149,,Two Lovers and a Bear ,English,8700000,147,7.2,2.35
Jackie Earle Haley,46,94,493,15000,,Criminal Activities ,English,7000000,725,5.8,2.35
Max Färberböck,63,125,36,177,927107,Aimee & Jaguar ,German,15000000,66,7.3,1.85
Arie Posin,74,108,436,710,49526,The Chumscrubber ,English,6800000,697,7.0,2.35
Damian Nieman,25,101,83,240,10696,Shade ,English,6800000,83,6.4,2.35
Mark Tonderai,224,101,261,34000,31607598,House at the End of the Street ,English,6900000,924,5.6,2.35
Denis Villeneuve,226,139,58,131,6857096,Incendies ,French,6800000,66,8.2,1.85
Gabriele Muccino,36,125,11,60,223878,"Remember Me, My Love ",Italian,5000000,29,6.5,2.35
Ian Fitzgibbon,54,88,415,1000,828,Perrier's Bounty ,English,,418,6.4,2.35
José Padilha,142,115,15,585,8060,Elite Squad ,Portuguese,4000000,39,8.1,1.85
John R. Leonetti,271,99,300,1000,84263837,Annabelle ,English,6500000,421,5.4,2.35
Rachel Perkins,33,88,38,46,110029,Bran Nue Dae ,English,6500000,46,6.3,2.35
John Singleton,64,112,15,27,57504069,Boyz n the Hood ,English,6000000,26,7.8,1.85
Luis Valdez,18,108,51,699,54215416,La Bamba ,English,6500000,63,6.8,1.85
Alan Alda,6,107,146,804,,The Four Seasons ,English,,167,7.2,1.85
Brian De Palma,121,104,517,754,31899000,Dressed to Kill ,English,6500000,567,7.1,2.35
Stephen Sommers,14,108,689,876,24103594,The Adventures of Huck Finn ,English,6500000,827,6.2,1.85
Doug Liman,137,102,376,900,16842303,Go ,English,6500000,563,7.3,2.35
Nicole Holofcener,111,88,180,435,13367101,Friends with Money ,English,6500000,230,5.9,2.35
Robert Wise,57,115,45,116,,The Andromeda Strain ,English,6500000,112,7.2,2.35
Louis Morneau,97,91,91,730,10149779,Bats ,English,6500000,461,3.6,2.35
Caroline Link,73,141,8,56,6173485,Nowhere in Africa ,English,7000000,36,7.7,2.35
Steve McQueen,486,101,726,13000,4000304,Shame ,English,6500000,898,7.3,2.35
Matthew Vaughn,149,105,466,27000,2338695,Layer Cake ,English,4000000,594,7.4,2.35
Sterling Van Wagenen,4,100,266,1000,2024854,The Work and the Glory II: American Zion ,English,6500000,373,6.6,2.35
Zal Batmanglij,200,116,782,10000,2268296,The East ,English,6500000,918,6.9,2.35
Michael Mayer,84,97,874,18000,1029017,A Home at the End of the World ,English,6500000,986,6.8,2.35
Hans Petter Moland,28,106,0,844,64148,Aberdeen ,English,6500000,2,7.3,1.85
Oren Moverman,217,105,706,12000,66637,The Messenger ,English,6500000,712,7.2,2.35
Ian Sharp,12,102,368,1000,,Tracker ,English,6500000,433,6.5,2.35
Anton Corbijn,183,122,471,845,871577,Control ,English,4500000,631,7.7,2.35
James Cameron,204,107,255,2000,38400000,The Terminator ,English,6500000,663,8.1,1.85
