num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
72,127,65,Amy Ryan,Biography|Crime|Drama|Thriller,Joseph Gilgun,The Infiltrator ,2581,2104,Olympia Dukakis,,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,English,R,25000000,2016,7.3,2.35,0
10,140,92,Ben Gazzara,Drama|History|War,Laurence Olivier,Inchon ,491,2704,Jacqueline Bisset,1950s|douglas macarthur|general|inchon|invasion,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,English,PG,48000000,1981,2.7,2.35,115
35,91,32,Elizabeth Perkins,Comedy|Family|Fantasy,Jonathan Winters,The Flintstones ,60884,3244,Harvey Korman,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1,English,PG,45000000,1994,4.8,1.33,0
358,98,118,Luke Grimes,Action|Crime|Thriller,Liam Neeson,Taken 2 ,238671,16410,D.B. Sweeney,albanian|revenge|revenge motive|teenage daughter|vacation,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,English,PG-13,45000000,2012,6.3,2.35,63000
151,84,119,Pamela Anderson,Comedy,Regina Hall,Scary Movie 3 ,111526,3629,Jenny McCarthy,crop circle|farm|orchestral music score|reference to michael jackson|videotape,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,English,PG-13,48000000,2003,5.5,1.85,0
140,109,80,Wendy Raquel Robinson,Action|Comedy|Crime|Romance,Candice Bergen,Miss Congeniality ,137377,1574,Heather Burns,beauty pageant|fbi|female agent|pageant|undercover,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,English,PG-13,45000000,2000,6.2,1.85,0
201,93,40,Brendan Fraser,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey to the Center of the Earth ,85323,17925,Anita Briem,cave|lost world|missing brother|mountain|venus flytrap,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,English,PG,45000000,2008,5.8,1.85,0
77,113,0,Raven-Symoné,Comedy|Family|Romance,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,53687,15362,Hector Elizondo,coronation|horse|princess|queen|side saddle,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,English,G,40000000,2004,5.7,1.85,1000
43,141,79,Julia Roberts,Crime|Drama|Mystery|Thriller,Denzel Washington,The Pelican Brief ,59569,30063,Tony Goldwyn,college professor|fbi|president|professor|supreme court,http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1,English,PG-13,45000000,1993,6.5,2.35,0
39,119,541,Anthony LaPaglia,Crime|Drama|Mystery|Thriller,Bradley Whitford,The Client ,45798,4043,Brad Renfro,boy|brother|lawyer|mafia|senator,http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1,English,PG-13,45000000,1994,6.7,2.35,1000
207,97,0,Noel Gugliemi,Adventure|Comedy|Drama,Morgan Freeman,The Bucket List ,184795,14868,Sean Hayes,billionaire|friend|hospital|list|mechanic,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,English,PG-13,45000000,2007,7.4,1.85,22000
47,117,176,Polly Walker,Action|Thriller,Harrison Ford,Patriot Games ,81442,12757,Patrick Bergin,analyst|cia|ira|terrorist|terrorist attack,http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1,English,R,45000000,1992,6.9,2.35,0
132,101,126,Jane Fonda,Comedy|Romance,Adam Scott,Monster-in-Law ,43358,6292,Elaine Stritch,breakdown|fight|mother in law|scheme|wedding,http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1,English,PG-13,60000000,2005,5.5,2.35,0
454,153,777,Jake Gyllenhaal,Crime|Drama|Mystery|Thriller,Hugh Jackman,Prisoners ,383591,37321,Dylan Minnette,child abduction|detective|investigation|police|sex offender,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,English,R,46000000,2013,8.1,1.85,86000
109,122,845,Snoop Dogg,Crime|Drama|Thriller,Denzel Washington,Training Day ,305929,22370,Tom Berenger,lapd|narc|narcotics|title spoken by character|training,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,English,R,45000000,2001,7.7,2.35,0
213,102,23,Enrico Colantoni,Adventure|Comedy|Sci-Fi,Alan Rickman,Galaxy Quest ,123558,26998,Robin Sachs,alien|alien race|convention|fan|general,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,English,PG,45000000,1999,7.3,2.35,19000
127,83,322,Veronica Cartwright,Comedy,Natasha Lyonne,Scary Movie 2 ,119590,1645,Andy Richter,blow job|demon|exorcism|priest|professor,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,English,R,45000000,2001,5.2,1.85,0
398,103,33,Eric Jacobson,Adventure|Comedy|Family|Musical,Bill Cobbs,The Muppets ,75176,1336,Steve Whitmire,bel air california|book|friends who live together|the muppets|tribute band,http://www.imdb.com/title/tt1204342/?ref_=fn_tt_tt_1,English,PG,45000000,2011,7.1,1.85,26000
184,110,45,Traci Lords,Action|Horror,Sanaa Lathan,Blade ,191437,3174,Udo Kier,1990s|blade|blood|vampire|vampire hunter,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,English,R,45000000,1998,7.1,2.35,0
127,136,49,Rick Gonzalez,Drama|Sport,Channing Tatum,Coach Carter ,92702,20299,Robert Ri'chard,basketball|basketball coach|coach|contract|high school,http://www.imdb.com/title/tt0393162/?ref_=fn_tt_tt_1,English,PG-13,30000000,2005,7.2,2.35,0
167,91,50,Matt Malloy,Drama|Thriller,Sydney Pollack,Changing Lanes ,57281,758,Bruce Altman,car accident|feud|lawyer|revenge|road rage,http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1,English,R,45000000,2002,6.5,2.35,0
119,89,49,Eric Stoltz,Action|Adventure|Horror|Thriller,Frank Welker,Anaconda ,73539,3717,Kari Wuhrer,amazon|anaconda|boat|jungle|snake,http://www.imdb.com/title/tt0118615/?ref_=fn_tt_tt_1,English,PG-13,45000000,1997,4.6,2.35,0
155,107,18,Tyra Banks,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly ,90539,3106,Izabella Miko,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,http://www.imdb.com/title/tt0200550/?ref_=fn_tt_tt_1,English,PG-13,45000000,2000,5.6,2.35,0
218,129,628,Liam Neeson,Comedy|Drama|Romance,Colin Firth,Love Actually ,318634,28886,Kris Marshall,aging rocker|christmas|love at first sight|minister|prime minister,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,English,R,45000000,2003,7.7,2.35,52000
117,95,487,Madeline Kahn,Adventure|Animation|Comedy|Family|Fantasy,Kevin Spacey,A Bug's Life ,211226,24205,John Ratzenberger,ant|circus|grasshopper|misunderstanding|overhearing,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,English,G,120000000,1998,7.2,2.35,0
208,122,117,Jason Flemyng,Horror|Mystery|Thriller,Johnny Depp,From Hell ,124765,41636,Ian Richardson,freemason|jack the ripper|opium|prostitute|victorian era,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,English,R,35000000,2001,6.8,2.35,0
38,110,49,Rod Steiger,Action|Crime|Drama|Romance|Thriller,Sylvester Stallone,The Specialist ,50148,13331,Emilio Estefan Jr.,bomb|cia|explosive|explosives expert|miami florida,http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1,English,R,45000000,1994,5.4,1.85,0
48,135,41,Cheech Marin,Comedy|Drama|Romance|Sport,Don Johnson,Tin Cup ,37911,3648,Rene Russo,driving range|golf|golfer|tournament|winnebago,http://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1,English,R,45000000,1996,6.3,2.35,1000
8,111,5,Tom Bosley,Comedy|Family,Lucille Ball,Yours, Mine and Ours ,5888,7493,Tim Matheson,nurse|parent|sibling|widow|widower,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,English,Unrated,2500000,1968,7.2,1.85,0
94,95,58,Will Ferrell,Comedy|Family|Romance|Sport,Josh Hutcherson,Kicking & Screaming ,30255,27351,Robert Duvall,book|child|slapstick comedy|soccer|suburb,http://www.imdb.com/title/tt0384642/?ref_=fn_tt_tt_1,English,PG,45000000,2005,5.6,2.35,743
276,109,37,Kelly Macdonald,Adventure|Comedy|Sci-Fi,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,155745,14073,Thomas Lennon,alien|friend|galaxy|hyperspace|spaceship,http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1,English,PG,50000000,2005,6.8,2.35,10000
59,93,38,Nick Zano,Comedy|Family|Fantasy|Romance,Dania Ramirez,Fat Albert ,9380,4604,Alice Greczyn,animated sequence|junkyard|love|party|television,http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1,English,PG,26000000,2004,4.3,2.35,531
216,94,85,Mike Epps,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Extinction ,149549,16225,James Tumminia,clone|convoy|crow|desert|satellite,http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1,English,R,45000000,2007,6.3,2.35,0
173,117,153,Adam Sandler,Comedy|Romance,Bella Thorne,Blended ,87165,49743,Joel McHale,blind date|children|date|daughter|son,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,English,PG-13,40000000,2014,6.5,1.85,12000
99,112,61,Alicia Witt,Adventure|Comedy|Drama,LL Cool J,Last Holiday ,21215,3757,Timothy Hutton,chef|congressman|cook|hotel|senator,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,English,PG-13,45000000,2006,6.4,2.35,0
42,111,161,Glenn Morshower,Action|Adventure|Crime|Thriller,Meryl Streep,The River Wild ,32544,12161,William Lucking,criminal|rafting|river|robber|white water rafting,http://www.imdb.com/title/tt0110997/?ref_=fn_tt_tt_1,English,PG-13,45000000,1994,6.3,2.35,0
25,96,0,Vincent Kartheiser,Drama|Family|Fantasy,Steve Coogan,The Indian in the Cupboard ,20688,2965,David Keith,best friend|birthday|boy|friend|magic,http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1,English,PG,45000000,1995,5.9,1.85,0
339,141,0,Shea Whigham,Crime|Drama|Thriller,Demián Bichir,Savages ,104301,1948,Gary Stretch,arms tied overhead|damsel in distress|dea|marijuana|southern california,http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1,English,R,45000000,2012,6.5,2.35,28000
127,94,160,Valerie Cruz,Action|Crime|Thriller,Richard Burgi,Cellular ,79141,1102,Will Beinbrink,cell phone|distress signal|family in danger|police|stealing a car,http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1,English,PG-13,25000000,2004,6.5,2.35,2000
122,87,29,Natalie Imbruglia,Action|Adventure|Comedy,Kevin McNally,Johnny English ,114692,1461,Ben Miller,british|crown jewels|explosion|funeral|spy,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,English,PG,35000000,2003,6.1,1.85,2000
