num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,aspect_ratio
96,135,25,553,Anthony LaPaglia,902,Drama|Romance,The House of Mirth ,2735,Elizabeth McGovern,0,high society|love|money|reputation|wealth,181,English,UK,10000000,2000,576,2.35
27,92,4,311,Tracey Walter,754,Action|Drama|Thriller,Malone ,1891,Dennis Burkley,4,assassin|box office flop|cia|farmer|power,37,English,USA,10000000,1987,324,1.85
44,120,108,400,Tim DeKay,634,Drama|Romance|Sport,Peaceful Warrior ,2673,Agnes Bruckner,1,college|college athlete|comeback|gymnast|olympics,175,English,Germany,10000000,2006,436,2.35
49,97,105,269,Kevin Nealon,982,Comedy,Bucky Larson: Born to Be a Star ,2603,Nicholas Turturro,1,diner|eating a banana|masturbation|porn star|shooting a pornographic movie,64,English,USA,10000000,2011,503,1.85
57,135,0,851,Michael Rapaport,1000,Comedy|Drama|Music,Bamboozled ,4266,Jada Pinkett Smith,0,actor|minstrel show|protest|success|writer,186,English,USA,10000000,2000,975,1.85
185,93,4,4,Stephanie Vogt,533,Horror|Mystery|Thriller,The Forest ,578,Gen Seto,1,forest|japan|suicide|suicide forest|supernatural,127,English,USA,10000000,2016,35,1.85
2,118,76,249,William Hootkins,902,Adventure|Mystery|Thriller,Sphinx ,2079,John Gielgud,0,bat|curse|egyptologist|mummy|murder,21,English,USA,14000000,1981,488,2.35
270,97,387,64,Maria Dizzia,6000,Comedy|Drama,While We're Young ,6322,Dree Hemingway,2,documentary filmmaker|documentary filmmaking|father in law|generation z|hipster,96,English,USA,10000000,2014,139,1.85
94,98,129,221,Eddie 'Piolin' Sotelo,749,Drama|Romance,A Better Life ,2214,Robert Peters,0,gang|gardener|money|police|truck,81,English,USA,10000000,2011,252,1.85
157,98,0,258,John Neville,530,Drama|Mystery|Thriller,Spider ,1381,Lynn Redgrave,0,halfway house|key|reality|schizophrenia|spider,213,English,Canada,8000000,2002,387,1.78
49,101,3,826,Oliver Platt,14000,Comedy|Crime|Romance,Gun Shy ,17665,Mitch Pileggi,0,colombian|enema|group therapy|murder|nurse,91,English,USA,10000000,2000,1000,1.85
80,132,41,1000,Anne Hathaway,16000,Drama|Romance,Nicholas Nickleby ,29177,Jim Broadbent,1,boy|boys' school|death|friend|orphan,103,English,UK,10000000,2002,11000,2.35
221,106,34,683,James Franco,11000,Biography|Crime|Drama,The Iceman ,23187,Robert Davi,1,based on true story|contract killer|crime family|murder of a girl|serial murderer,144,English,USA,10000000,2012,11000,1.85
53,55,,2,Olaf Lubaszenko,20,Drama,Dekalog             ,25,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,37,Polish,Poland,,,3,1.33
20,168,53,45,Rekha,307,Action|Adventure|Romance|Sci-Fi,Krrish ,616,Sharat Saxena,0,breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore,110,Hindi,India,10000000,2006,200,2.35
90,87,0,503,Melanie Griffith,975,Comedy|Crime|Thriller,Cecil B. DeMented ,3059,Kevin Nealon,2,actress|drive in|female protagonist|movie star|woman shot in the forehead,150,English,France,10000000,2000,537,1.85
376,98,607,251,Scott A. Martin,11000,Crime|Drama|Romance|Thriller,Killer Joe ,11853,Carol Sutton,0,female nudity|female pubic hair|lingerie|neo noir|pubic hair,216,English,USA,11000000,2011,414,1.85
144,96,17,688,Gary Cole,2000,Comedy|Drama,The Joneses ,4607,Robert Pralgo,4,envy|fake family|gadget|materialism|unhappy marriage,88,English,USA,5000000,2009,989,2.35
82,104,23,232,Minnie Driver,22000,Crime|Drama|Thriller,Owning Mahowny ,23513,Maury Chaykin,1,bank|bank fraud|bank manager|gambling|toronto,83,English,Canada,10000000,2003,893,2.35
51,93,0,622,Lee Majors,966,Comedy,The Brothers Solomon ,3307,Will Forte,2,antarctica|coma|neighbor|phd|pregnancy,46,English,USA,10000000,2007,799,1.85
192,95,0,20,Norah Jones,20000,Drama|Romance,My Blueberry Nights ,20364,Adriane Lenox,3,blueberry pie|diner|nevada|new york city|pie,117,English,Hong Kong,10000000,2007,329,2.35
36,119,0,54,Ben Gazzara,816,Drama,Illuminata ,1585,George DiCenzo,0,critic|new york|new york city|playwright|theater critic,40,English,Spain,,1998,623,1.85
71,89,0,119,Jeanne Tripplehorn,990,Comedy|Romance,Swept Away ,2006,David Thornton,0,island|sailor|storm|stranded|vacation,215,English,UK,10000000,2002,711,1.85
79,107,0,91,Sergej Trifunovic,603,Action|Comedy|Thriller,"War, Inc. ",988,Ned Bellamy,3,assassin|corporation|pop star|reporter|satire,112,English,USA,10000000,2008,175,1.78
246,85,0,51,Karen Mok,478,Action|Comedy|Sport,Shaolin Soccer ,700,Kwok-Kwan Chan,2,cult film|kung fu|martial arts|shaolin|soccer,243,Cantonese,Hong Kong,10000000,2001,83,1.85
115,93,787,0,Cheryl Tiegs,787,Drama,The Brown Bunny ,883,Anna Vareschi,0,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,226,English,USA,10000000,2003,96,1.66
34,101,324,28,François Cluzet,678,Comedy|Crime|Thriller,The Swindle ,1256,Michel Serrault,0,con|con artist|money|scam|sils maria,21,French,France,60000000,1997,541,1.66
129,103,593,241,Claire Foy,374,Biography|Drama,Rosewater ,1283,Haluk Bilginer,0,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,37,English,USA,5000000,2014,362,1.85
22,101,163,34,Aitana Sánchez-Gijón,837,Drama|Romance,The Chambermaid on the Titanic ,1019,Romane Bohringer,1,foundry|foundry worker|french|friend|titanic,14,French,France,,1997,130,2.35
196,123,0,131,Ashraf Barhom,18000,Drama|Thriller|War,Coriolanus ,18652,Lubna Azabal,0,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,118,English,UK,,2011,451,2.35
73,111,24,83,Ryan Donowho,374,Comedy|Drama,Imaginary Heroes ,768,Larry Fessenden,2,cat|christmas song|lawn mowing|leave of absence|medication,56,English,USA,4000000,2004,181,2.35
43,86,302,428,Danny Dyer,893,Action|Comedy|Drama,High Heels and Low Lifes ,3049,Mary McCormack,2,attempted murder|blackmail|diver's watch|nurse|satire,44,English,UK,10000000,2001,798,1.85
