director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
0,107,James Gammon,10000,20207003,50198,10507,0,deputy|friend|hanging|rancher|widow,English,R,,311,0
0,877,Cary-Hiroyuki Tagawa,2000,20241395,42664,5123,0,cross|relic|team|vampire|vampire hunter,English,R,20000000,1000,0
,,,0,,12417,0,0,anime|based on manga|hero|surrealism|zen,Japanese,,,,124
13000,285,Vera Miles,606,32000000,422432,1885,2,money|motel|rain|shower|theft,English,R,806947,332,18000
41,490,Taran Killam,1000,19151864,36983,3301,3,breasts|female rear nudity|jesus crust pizza parlor|thong panties|wedding,English,R,40000000,500,0
19,942,Bruce Greenwood,15000,23393765,31323,18760,0,brother sister relationship|high school graduation|love|sparkler|unfaithful husband,English,PG-13,20000000,989,0
0,949,Zachary Gordon,995,18882880,20539,4039,3,alcoholic|rules|secret|summer|teenager,English,R,20000000,975,681
15,281,Adam Arkin,691,8500000,2061,1761,0,assassin|hotel|japanese tourist|secret service|wizard of oz,English,PG,20000000,374,501
503,83,John Wood,2000,,33597,2251,2,bishop|escape|hawk|lady|thief,English,PG-13,20000000,92,0
160,271,Jan Hooks,1000,18252684,18366,1816,2,boy|christmas|christmas pageant|friendship|illegitimate son,English,PG,30000000,367,0
57,905,Don Cheadle,11000,19661987,83786,17050,2,college|depression|grief|mental breakdown|post september 11 2001,English,R,20000000,3000,0
0,826,William Hurt,17000,18352454,426359,18752,0,alaska|based on true story|male nudity|self discovery|wilderness,English,R,15000000,882,76000
480,579,Sarah Silverman,970,17803796,26100,4374,1,paintball|paintball gun|pepper spray|tennis|what happened to epilogue,English,PG-13,20000000,931,484
83,206,Deborah Kara Unger,991,17529157,49888,2173,0,18th birthday|alternate reality|introduction|nightmare|on the run,English,R,20000000,494,25000
0,844,Salma Hayek,16000,25753840,219091,23296,2,brother|human versus vampire|rapist|stripper|vampire,English,R,19000000,4000,12000
0,253,Brenda Blethyn,304,18081626,4180,861,0,creature|forest|mother son relationship|rabbit|winnie the pooh,English,G,20000000,286,264
0,801,Holly Hunter,21000,17518220,9105,25263,1,dinner|gay interest|gay sibling|homosexual|thanksgiving,English,PG-13,20000000,1000,0
0,59,Chi Ling Chiu,264,17104669,99353,537,1,1940s|axe|china|gang|sign language,Cantonese,R,20000000,62,0
,215,Mark Feuerstein,909,,114,1557,2,sitcom,English,,,417,4
0,939,Alex Rocco,3000,16988996,3875,8189,1,animal in title|bear|box office flop|disney|satire,English,G,35000000,968,422
395,161,Shaun Toub,283,15797907,68119,904,0,afghanistan|based on novel|boy|friend|kite,Dari,PG-13,20000000,206,0
0,430,Eddie Marsan,6000,16248701,189683,7567,0,accident|faith|love|mathematician|nonlinear timeline,English,R,20000000,979,0
2,472,Tom Hollander,787,15712072,13210,2915,0,actor|coma|movie star|paparazzi|revenge,English,PG-13,20000000,555,269
308,10000,Taylor Lautner,17000,191449475,348010,44061,1,blood|high school|love|school|vampire,English,PG-13,37000000,12000,19000
13,499,Lochlyn Munro,651,15408822,14147,2698,3,bachelor party|climbing a tree|taxi|toilet|wedding,English,PG-13,20000000,555,401
143,153,Robert Miano,302,15464026,23076,1189,2,college|loser|love|new york city|overdose,English,PG-13,20000000,216,1000
909,173,Michael Moore,1000,14359793,35137,2327,0,capitalism|critique of capitalism|investment bank|market economy|plutocracy,English,R,,909,10000
126,202,Carroll Baker,940,8000000,6484,1934,6,70mm film|biblical epic|faith|jewish|king herod,English,G,20000000,208,1000
53,233,Michael Kelly,8000,,20186,9941,0,digging a grave|grave digging|investigator|police|secret,English,PG-13,19500000,963,0
82,329,Tony Cox,869,14174654,74945,2857,0,disaster|glass|mousetrap|natural disaster|scatological humor,English,PG-13,25000000,624,0
190,163,Fred Ward,137000,15988876,26236,137712,6,armored truck|blood splatter|die hard scenario|guard|heist,English,PG-13,27000000,459,0
36,507,Peter Gallagher,13000,13801755,23928,15183,1,assassin|bomb|dominatrix|mistaken identity|spy,English,PG,20000000,828,0
20,783,Ari Graynor,11000,13987482,58957,15713,1,ex boyfriend|morning after|prince charming|quarrel|womanizer,English,R,20000000,904,0
4,80,Vincent Regan,788,14291570,82082,1414,2,bodyguard|maximum security prison|outer space|president|prison,English,PG-13,20000000,447,10000
272,62,Ariel Gade,1000,12181484,26390,1189,1,best friend|dog|envy|jealousy|neighbor,English,PG-13,40000000,87,713
83,926,Clifton Collins Jr.,26000,13630226,112516,30541,0,artificial heart|heart|horse penis|prostitute|stripper,English,R,20000000,968,0
11000,967,Chazz Palminteri,1000,13383737,29385,4302,4,actress|bodyguard|new york city|play|playwright,English,R,20000000,979,979
6,85,Tiffany Dupont,541,13391174,5796,908,0,biblical|book of esther|esther|persia|treachery,English,PG,20000000,249,0
176,83,Tzi Ma,3000,12987647,24019,3431,2,american|french|saigon|vietnam|vietnamese,English,R,30000000,268,983
563,385,Hope Davis,12000,12469811,69172,13156,1,corndog|failure|funeral in the rain|new york city|weatherman,English,R,22000000,442,0
394,565,Wes Studi,922,12398628,21542,2880,2,boxing|fight|heavyweight champion|iceman|prison,English,R,20000000,855,977
192,31,Dequina Moore,346,13214030,60516,500,3,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,English,PG-13,20000000,41,0
212,347,Ashley Scott,969,12232937,22823,2799,1,2000s|detective|sadist|terrorism|terrorist,English,PG-13,22000000,794,0
198,884,Dylan Minnette,17000,12134420,92237,20258,0,blood|boy|night|school|vampire,English,R,20000000,1000,25000
18,181,Dustin Nguyen,400,11784000,6701,1151,0,1990s|dagger|japan|mousetrap|stick fight,English,PG,20000000,220,444
1000,270,Mia Farrow,734,11169531,79855,1778,2,friend|power plant|sabotage|store clerk|video store,English,PG-13,20000000,563,0
350,99,Christopher Guest,5000,11034436,13505,5637,1,anti semitism|breasts|chamberlain|friend|theatre,English,R,20000000,378,0
214,968,Norman Reedus,14000,12626905,32567,27214,3,betrayal|corrupt cop|heist|murder of a police officer|police detective,English,R,20000000,12000,0
11000,223,Lynn Cohen,11000,10569071,35586,11867,2,marriage|novelist|panties pulled down|writer's block|writing,English,R,20000000,474,0
4,677,Oliver Platt,2000,10544143,16372,4843,2,architect|award|farce|love|misunderstanding,English,PG-13,20000000,1000,311
53,580,Omar Sy,14000,13650738,61360,16926,1,chef|gay kiss|michelin star|restaurant|violent behavior,English,R,20000000,1000,25000
277,383,Demi Moore,22000,10555348,17349,24887,0,con|convict|escape|police|priest,English,PG-13,20000000,2000,855
11000,2,Gaby Hoffmann,1000,9714482,30083,1614,0,engagement|grandfather|liberal|maid|song,English,R,20000000,612,0
0,548,Ewen Bremner,22000,8579684,89547,24324,0,end credits roll call|four word title|funeral|secret|uncle,English,R,9000000,557,0
0,725,Kelly Preston,856,9525276,60156,3309,0,blood|death|gang|murder|revenge,English,R,20000000,742,0
52,148,James Frain,22000,8855646,49855,23409,1,bus trip|parental love|retirement|surprise visit|train ride,English,PG-13,21000000,1000,10000
84,177,Vanessa Angel,650,9109322,25371,1343,3,computer|good versus evil|mind control|science experiment|sequel,English,PG,20000000,384,0
10,69,Susie Essman,688,8326035,21933,1019,2,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,English,PG-13,33000000,99,676
10,436,Will Patton,716,8104069,9785,2700,3,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,English,PG-13,20000000,537,233
54,463,Nia Vardalos,786,8054280,6838,2730,3,box office flop|drag queen|gender disguise|mafia|witness,English,PG-13,20000000,567,924
189,388,Ricardo Montalban,683,,3454,2172,0,charity|dancer|foreign language adaptation|hope|taxi dancer,English,G,20000000,641,548
0,175,Katherine Waterston,204,8093318,61935,707,0,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,English,R,20000000,178,18000
3,593,Kylie Minogue,787,7382993,3851,2185,0,diamond|lava|magic|mountain|sorcerer,English,G,20000000,690,346
9,826,Caity Lotz,997,8888355,7894,3177,19,3 dimensional|box office flop|critically bashed|dancing,English,PG-13,20000000,941,0
,376,Eric McCormack,1000,,15612,2240,1,,English,TV-14,,440,0
119,633,Geoffrey Arend,885,7001720,8560,2907,2,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,English,PG-13,12000000,816,797
0,99,Demián Bichir,2000,7268659,59248,2848,7,arms dealer|battle|bomb|machete|missile,English,R,20000000,749,48000
17,86,Ty Olsson,669,6852144,15169,1267,0,at work|rat|revenge|vermin|work,English,PG-13,22000000,429,0
29,522,Ashley Scott,1000,6563357,18571,4218,4,bigfoot|critically bashed|ecuador|friend|tv show,English,R,20000000,794,847
608,149,Dexter Fletcher,1000,6201757,10037,1690,1,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,English,R,10000000,452,608
38,975,Cary-Hiroyuki Tagawa,1000,6420319,15978,5705,0,,English,PG-13,20000000,1000,15000
0,691,Viggo Mortensen,13000,5702083,80617,23755,3,carl jung|patient|psychoanalysis|russian|sigmund freud,English,R,15000000,10000,36000
0,407,Keanu Reeves,21000,5480996,89383,39507,0,detective|drugs|substance d|undercover|undercover cop,English,R,8700000,18000,0
150,956,Abigail Spencer,18000,6002756,24997,21200,2,box office flop|no opening credits|surfing|two word title|year 1987,English,PG,20000000,1000,13000
892,81,Darren Shahlavi,310,5132655,37626,838,0,artifact|creature|darkness|demon|museum,English,R,20000000,294,1000
650,181,Charlie Saxton,690,5205343,11958,1573,3,battle of the bands|high school|rock 'n' roll|school|teenager,English,PG,20000000,224,1000
143,430,Anne Heche,829,5005883,29649,2295,1,birthday|boy|dead husband|death|widow,English,R,20000000,681,0
78,745,Ashley Williams,1000,5749134,45799,3979,0,american dream|immigrant|new york city|oil|violence,English,R,20000000,969,0
329,544,Michael Greyeyes,1000,,6904,3493,0,battle|canadian armed forces|canadian soldier|directed by star|veteran,English,R,20000000,912,971
18,9,Bill Lake,20,4234040,14301,64,0,flash of genius|genius|intellectual property|professor|university,English,PG-13,20000000,18,0
162,228,Heath Ledger,23000,4001121,48346,36398,0,1960s|actor|horseback riding|reporter|riding the rails,English,R,20000000,13000,0
19,619,Bruce Willis,15000,3749061,28629,30134,3,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,English,PG-13,20000000,13000,0
0,446,Maximilian Schell,975,3519627,41737,3014,4,con man|eccentric|heiress|love|revenge,English,PG-13,20000000,877,0
0,631,Jennifer Jason Leigh,22000,3081925,55842,24732,0,actress|director|play|theatre director|warehouse,English,R,21000000,1000,13000
6000,745,Jada Pinkett Smith,893,2298191,221552,2710,0,anime|cult film|forest|princess|studio ghibli,Japanese,PG-13,2400000000,851,11000
22,413,Peter Coyote,572,2353728,4293,1776,5,actress|bordeaux|german|heavy water|nazi,French,PG-13,20000000,548,235
42,161,Randy Jones,801,2000000,2998,1462,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,English,PG,20000000,174,1000
214,430,Noah Taylor,1000,1900725,43205,2129,1,aborigine|foreboding|gang|hideout|outlaw,English,R,2000000,509,0
14,400,Finn Wittrock,2000,2246000,2302,3384,4,coach|football|football movie|football team|high school sweethearts,English,PG,20000000,769,0
121,587,Jane Krakowski,836,1646664,4518,2467,2,female protagonist|hip hop|jewish american princess|rapper|record label,English,R,20000000,624,241
110,722,Emily Watson,23000,1190018,261317,25088,2,cleric|dystopia|fascist|law|neo noir,English,R,20000000,876,20000
55,2,Guang Li,991,1027749,8087,1003,4,british|communist|journalist|nurse|orphan,English,R,40000000,10,1000
115,977,Ellen Burstyn,9000,882710,16215,11433,2,best friend|corruption|fall to death|female nudity|friend,English,R,24000000,1000,401
12,231,Garrett Clayton,979,1064277,14015,1978,0,balloon|birthday|box office flop|critically bashed,English,G,20000000,532,831
11000,188,Angelina Jolie Pitt,11000,531009,7976,22319,0,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,English,R,10000000,11000,0
78,101,Robin Atkin Downes,488,410388,13727,991,1,19th century|ball|boy|inventor|steam,Japanese,PG-13,2127519898,336,973
