num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,content_rating,title_year,aspect_ratio,movie_facebook_likes
490,138,163,29000,Mystery|Thriller,Leonardo DiCaprio,786092,29585,Nellie Sciutto,0,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,English,R,2010,2.35,53000
141,88,982,4000,Comedy|Drama|Romance,Jon Favreau,48500,9913,Katy Mixon,2,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,English,PG-13,2008,1.85,0
163,91,208,1000,Adventure|Animation|Comedy|Family|Sci-Fi,Jim Broadbent,103022,1804,Paula Abdul,1,http://www.imdb.com/title/tt0358082/?ref_=fn_tt_tt_1,English,PG,2005,1.85,0
155,138,805,12000,Action|Crime|Sci-Fi|Thriller,Nicolas Cage,283967,17087,Joan Allen,0,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,English,R,1997,2.35,11000
144,99,495,11000,Comedy|Family|Fantasy|Romance,Adam Sandler,72326,12831,Kathryn Joosten,0,http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1,English,PG,2008,2.35,0
226,117,818,15000,Crime|Drama|Thriller,Tom Hanks,200359,16828,Liam Aiken,0,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,English,R,2002,2.35,0
204,117,503,11000,Comedy|Romance,Adam Sandler,172878,16325,Kevin Nealon,1,http://www.imdb.com/title/tt1564367/?ref_=fn_tt_tt_1,English,PG-13,2011,1.85,19000
95,54,0,577,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,213483,581,Charlie Cox,0,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,English,TV-MA,,16.0,55000
139,123,744,12000,Action|Crime|Thriller,Steve Buscemi,225282,15362,Dave Chappelle,6,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,English,R,1997,2.35,0
215,118,915,3000,Action|Mystery|Thriller,Rosario Dawson,150764,5637,Cameron Boyce,3,http://www.imdb.com/title/tt1059786/?ref_=fn_tt_tt_1,English,PG-13,2008,2.35,0
198,154,16000,22000,Adventure|Drama|History|Romance|War,Philip Seymour Hoffman,118483,61110,Charlie Hunnam,3,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,English,R,2003,2.35,0
325,118,10000,18000,Action|Adventure|Drama|Thriller,Denzel Washington,227072,44797,Gary Oldman,0,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,English,R,2010,2.35,20000
53,90,159,49000,Comedy|Family|Sci-Fi,Robin Williams,63625,50005,Sam Lloyd,1,http://www.imdb.com/title/tt0119137/?ref_=fn_tt_tt_1,English,PG,1997,1.85,0
167,113,913,14000,Fantasy|Horror|Mystery|Thriller,Liam Neeson,58184,17786,Virginia Madsen,0,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,English,PG-13,1999,2.35,0
46,88,366,13000,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,Bill Murray,112167,15001,Michael Jordan,1,http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1,English,PG,1996,1.77,0
147,93,38,1000,Adventure|Comedy|Crime|Family|Mystery,Roger Rees,65499,1267,William Abadie,0,http://www.imdb.com/title/tt0383216/?ref_=fn_tt_tt_1,English,PG,2006,1.85,0
276,104,71,18000,Drama|Sci-Fi|Thriller,Keanu Reeves,139423,22194,Juan Riedinger,0,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,English,PG-13,2008,2.35,0
80,135,67,8000,Action|Crime|Mystery|Romance|Thriller,Julia Roberts,76099,8355,Michael Potts,1,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,English,R,1997,2.35,0
406,134,697,11000,Action|Drama|War,Brad Pitt,303185,20411,Jim Parrack,4,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1,English,R,2014,2.35,82000
97,98,397,11000,Action|Adventure|Comedy|Romance,Harrison Ford,60910,12729,Amy Sedaris,2,http://www.imdb.com/title/tt0120828/?ref_=fn_tt_tt_1,English,PG-13,1998,2.35,0
143,80,375,3000,Adventure|Animation|Comedy|Family,Justin Timberlake,16385,4394,Josh Robert Thompson,0,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,English,PG,2010,1.85,0
106,83,495,13000,Adventure|Animation|Family|Western,Matt Damon,44143,14261,Zahn McClarnon,0,http://www.imdb.com/title/tt0166813/?ref_=fn_tt_tt_1,English,G,2002,2.35,4000
178,102,269,3000,Comedy|Family|Romance,Rosario Dawson,44662,5392,Nicholas Turturro,1,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,English,PG,2011,2.35,0
