genres,movie_title,num_voted_users,plot_keywords,movie_imdb_link,content_rating,budget,title_year,aspect_ratio
Comedy|Drama|Romance,Garden State ,187595,actor|doctor|drugs|home|pain,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,R,2500000,2004,2.35
Drama|Romance,Before Sunrise ,183288,american|conversations|kiss|love|train,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,R,2500000,1995,1.85
Action|Drama|Horror|Thriller,Sur le seuil ,1003,canadian gothic|hospital|murder|paranormal|supernatural,http://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,,3200000,2003,1.85
Drama,Jesus' Son ,6221,hospital|love|mennonite|shower|song,http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1,R,2500000,1999,2.35
Comedy|Drama|Romance,Saving Face ,7776,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,R,,2004,1.85
Drama,Brick Lane ,2560,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,PG-13,,2007,2.35
Comedy|Crime|Drama|Sci-Fi,Robot & Frank ,52509,burglary|dementia|near future|robot|thief,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,PG-13,2500000,2012,2.35
Drama|Romance,My Life Without Me ,21202,cancer|death|doctor|drinking|love,http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,R,2000000,2003,1.85
Comedy|Drama|Romance,The Spectacular Now ,105591,crying man|high school|high school senior|men's clothing store|party,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,R,2500000,2013,2.35
Comedy|Family|Musical|Romance|Short,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,97,student film|wonder years,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,,34000,1990,
Comedy|Documentary|War,Religulous ,52286,catholic|christian|jew|muslim|religion,http://www.imdb.com/title/tt0815241/?ref_=fn_tt_tt_1,R,2500000,2008,1.78
Documentary,Fuel ,578,alternative energy|energy|fuel|green|oil,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,Not Rated,2500000,2008,1.85
Drama,Valley of the Heart's Delight ,91,,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,,2500000,2006,1.85
Comedy|Sport,Dodgeball: A True Underdog Story ,185345,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,PG-13,20000000,2004,2.35
Comedy|Drama|Family,Eye of the Dolphin ,806,dolphin|island|research|tourist|town,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,PG-13,2500000,2006,1.85
Documentary,8: The Mormon Proposition ,1138,church|marriage|mormon|mormon church|proposition,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,R,2500000,2010,1.78
Comedy|Drama|Romance,The Other End of the Line ,4820,birthday|call center|fiance|hotel|indian,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,PG-13,14000000,2008,2.35
Horror|Thriller,Anatomy ,10220,dissection|male pubic hair|medical school|medical student|train,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,R,8400000,2000,2.35
Drama|Romance|Sci-Fi|Thriller,Sleep Dealer ,5699,computer|future|mexican immigrant|network|wilhelm scream,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,PG-13,2500000,2008,1.85
Comedy|Crime|Drama,Super ,61787,drug dealer|superhero|tragedy|tragic hero|tragic love,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,R,2500000,2010,1.85
Comedy|Drama|Family|Romance,Christmas Mail ,858,boss|holiday|letter|north pole|santa,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,TV-PG,2500000,2010,
Comedy|Horror,Stung ,3119,catering|monster|one word title|party|wasp,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,Not Rated,2500000,2015,2.35
Horror,Antibirth ,63,,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,,3500000,2016,
Drama|History,Get on the Bus ,4100,actor|bus|march|million man march|religion,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,R,2400000,1996,1.85
Drama|Horror|Mystery|Thriller,Thr3e ,4057,bound with duct tape|flash forward|number|riddle|stalking,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,PG-13,2400000,2006,2.35
Adventure|Comedy|Sci-Fi,Idiocracy ,108052,experiment|future|hibernation|stupidity|top secret,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,R,,2006,1.85
Crime|Drama,The Rise of the Krays ,1510,,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,R,2500000,2015,
Crime|Drama,This Is England ,99177,england|racism|racist|skinhead|violence,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,Unrated,1500000,2006,1.85
Comedy|Sci-Fi,Alien Uprising ,2753,acronym in title|period in title|title ends with period,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,R,2500000,2012,2.35
Comedy|Musical,Bathing Beauty ,1079,college|teacher|theatrical producer|tutu|wedding,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,Passed,2361000,1944,1.37
Drama|Musical,Go for It! ,1015,exclamation point in title|imperative in title|punctuation in title|three word title,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,PG-13,2450000,2011,1.85
Comedy|Drama|Family,"Dancer, Texas Pop. 81 ",2189,best friend|friendship|population|state in title|texas,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,PG,,1998,1.85
Drama|Family|Musical|Romance,Show Boat ,3538,gambling|interracial marriage|love|miscegenation|showboat,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,Approved,2295429,1951,1.33
Drama,Redemption Road ,440,death of loved one|loss of father|loss of loved one|musician|singer,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,PG-13,,2010,2.35
Thriller,The Calling ,6025,bouquet|house fire|praying|serial killer|tied to a chair,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,R,,2014,
Adventure|Animation|Comedy|Family|Fantasy|Musical,The Brave Little Toaster ,19650,journey|obsolescence|radio|toaster|vacuum cleaner,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,Not Rated,2300000,1987,
Animation|Family|Fantasy|Music,Fantasia ,71321,apprentice|classical music|disney|mouse|orchestra,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,G,2280000,1940,1.37
Action|Crime|Drama|Thriller,The French Connection ,82476,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,R,1800000,1971,1.85
Drama|Thriller,8 Days ,44,,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,PG-13,2500000,2014,
Horror|Thriller,Friday the 13th Part III ,31952,defecation|hockey mask|jason voorhees|lake|serial killer,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,R,4000000,1982,2.35
Horror|Mystery|Thriller,Friday the 13th: A New Beginning ,22521,jason voorhees|murder|new jersey|nightmare|teenager,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,R,2200000,1985,1.85
Drama,The Last Sin Eater ,1573,1850s|christian film|dark secret|funeral|sin eater,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,PG-13,2200000,2007,1.85
Drama,Do You Believe? ,4977,belief|faith|pastor|question in title|three word title,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,PG-13,2300000,2015,
Thriller,Impact Point ,1118,championship|hit and run|police|police investigation|volleyball,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,R,2200000,2008,
Drama,The Valley of Decision ,1314,immigrant|maid|steel mill|strike|union,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,Passed,2160000,1945,1.37
Drama|Thriller,Eden ,1351,flare gun|island|plane crash|soccer team|stranded,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,R,,2015,
Comedy|Drama|Romance,Chicken Tikka Masala ,480,acceptance|coming out to family|gay|large family|wedding,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,,1200000,2005,1.85
Comedy|Music|Romance,Always Woodstock ,485,claim in title|contraction in title|new york|new york city|woodstock,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,,2400000,2014,
Action|Comedy|Horror,Jack Brooks: Monster Slayer ,5187,cult film|demon|monster slayer|uncle|vomiting,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,R,2500000,2007,1.85
Drama|Romance|War,The Best Years of Our Lives ,40359,love|pity|readjusting to civilian life|veteran|world war two veteran,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,Not Rated,2100000,1946,1.37
Biography|Crime|Drama,Bully ,29424,cruelty|friend|male frontal nudity|male nudity|pubic hair,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,R,,2001,1.85
Comedy|Drama,Elling ,12244,friendship|mental illness|poet|sex obsession|virgin,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,R,15500000,2001,1.85
Crime|Drama,Mi America ,22,,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,R,2100000,2015,2.35
Horror,[Rec] ,131462,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,R,1500000,2007,1.85
Drama,Lies in Plain Sight ,544,,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,TV-PG,2100000,2010,1.78
Comedy|Drama|Mystery|Romance|Thriller,Sharkskin ,6,,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,,2100000,2015,2.39
Horror|Sci-Fi|Thriller,Containment ,1355,hazmat suit,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,,,2015,
Adventure|Drama|Western,The Timber ,1274,,http://www.imdb.com/title/tt2215673/?ref_=fn_tt_tt_1,,2100000,2015,2.35
Action|Adventure|Thriller,From Russia with Love ,89403,assassin|british agent|british secret service|decoder|russian,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,Approved,2000000,1963,1.37
Action|Comedy|Horror|Sci-Fi,The Toxic Avenger Part II ,4663,bare breasts|japan|tokyo japan|toxic avenger|troma,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,R,2300000,1989,1.33
Crime|Drama|Mystery,In the Heat of the Night             ,2258,detective|mississippi|police|police detective|small town,http://www.imdb.com/title/tt0094484/?ref_=fn_tt_tt_1,,,,1.33
Comedy|Sci-Fi,Sleeper ,33335,frozen|future|health food|leader|police,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,PG,2000000,1973,1.85
Horror|Mystery,It Follows ,112899,ambiguous ending|being followed|sex scene|supernatural|supernatural being,http://www.imdb.com/title/tt3235888/?ref_=fn_tt_tt_1,R,2000000,2014,2.35
Comedy,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,31077,aphrodisiac|court jester|jester|queen|written and directed by cast member,http://www.imdb.com/title/tt0068555/?ref_=fn_tt_tt_1,R,2000000,1972,1.85
Crime|Drama,To Kill a Mockingbird ,215086,1930s|alabama|lawyer|six year old|trial,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,Not Rated,2000000,1962,1.85
Action|Adventure|Sci-Fi|Thriller,Mad Max 2: The Road Warrior ,133966,australian|gasoline|post apocalypse|refinery|warrior,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,R,2000000,1981,2.35
Action|Comedy,The Legend of Drunken Master ,34520,battle|fight|fighting|martial artist|snake,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,R,2000000,1994,2.35
Crime|Drama|Romance,Lolita ,67825,lolita|nymphet|older man young girl relationship|professor|writer,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,Not Rated,2000000,1962,1.66
Biography|Crime|Drama|Romance,Boys Don't Cry ,77551,drinking|female dressed as male|love|nebraska|transgender,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,R,2000000,1999,1.85
Drama|Horror|Mystery|Thriller,Silent House ,18566,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1,R,2000000,2011,1.85
Drama|Thriller,The Lives of Others ,259379,east germany|police|secret police|stasi|writer,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,R,2000000,2006,2.35
Drama,Courageous ,15401,faith|fatherhood|integrity|police|responsibility,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,PG-13,2000000,2011,2.35
Drama|Sport,The Hustler ,62860,drink|manager|money|partner|pool hall,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,Unrated,2000000,1961,2.35
Adventure|Drama|Romance|Western,Boom Town ,2269,oil|oil field|oil tycoon|partnership|wildcatter,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,Passed,1614000,1940,1.37
Animation|Comedy|Drama,The Triplets of Belleville ,42462,belleville|dog|mafia|tour de france|very little dialogue,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,PG-13,9500000,2003,1.66
Comedy|Drama,Smoke Signals ,8224,family abandonment|fire|loss of father|native american protagonist|native american reservation,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,PG-13,2000000,1998,1.85
Biography|Comedy|Drama,American Splendor ,41999,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,http://www.imdb.com/title/tt0305206/?ref_=fn_tt_tt_1,R,,2003,1.85
Drama|Romance,Before Sunset ,168398,book|bookstore|love|simultaneity|train,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,R,2700000,2004,1.85
Drama|Thriller,Amores Perros ,173551,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,R,2000000,2000,1.85
Drama,Thirteen ,68222,13 year olds|adolescence|friend|peer pressure|teacher,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,R,1500000,2003,1.85
Drama|Romance,Gentleman's Agreement ,10791,bigotry|jewish|prejudice|racism|writer,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,Approved,2000000,1947,1.37
Drama,Winter's Bone ,111658,bail|crystal meth|family relationships|female protagonist|search for father,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,R,2000000,2010,1.85
Adventure|Documentary|Drama|Sport,Touching the Void ,26926,bone|climbing|crevasse|partner|rope,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,R,,2003,1.85
Drama|Musical|Romance,Alexander's Ragtime Band ,1381,band|dance|ragtime|singer|violinist,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,Approved,2000000,1938,1.37
Comedy|Drama,Me and You and Everyone We Know ,31130,fellatio|seven word title|shoe salesman|title directed by female|written by director,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,R,2000000,2005,1.85
Crime|Documentary,Inside Job ,55382,florida|iceland|interview|new york city new york|recession,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,PG-13,,2010,2.35
Drama|Music|Romance,We Are Your Friends ,20885,box office flop|critically bashed|male objectification|narcissism|wannabe dj,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,R,2000000,2015,1.85
Action|Crime|Drama|Thriller,Ghost Dog: The Way of the Samurai ,70084,african american|code|dog|pigeon|samurai,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,R,,1999,1.85
Action|Crime|Drama|Thriller,Harsh Times ,54657,blood splatter|friend|lapd|mexican|violence,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,R,2000000,2005,1.85
Crime|Drama|Thriller,Captive ,3911,auto theft|based on true story|drug addict|kidnapping|violence,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,PG-13,2000000,2015,1.85
Comedy|Romance,Full Frontal ,8662,birthday|friend|hollywood|party|sex,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,R,2000000,2002,1.85
Horror|Mystery|Thriller,Witchboard ,4288,evil spirit|hatchet|ouija|ouija board|psychopathic killer,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,R,2000000,1986,1.85
Comedy,Strangers with Candy             ,4181,alternative comedy|female protagonist|high school|social satire|three word title,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,TV-14,,,4.0
