duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
155,58,720,25000,165500000,Action|Adventure|Drama|Romance,Alan Rickman,Robin Hood: Prince of Thieves ,145257,0,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,USA,PG-13,48000000,11000,6.9,1.85
139,488,597,10000,153620822,Comedy|Drama|Romance|Sport,Tom Cruise,Jerry Maguire ,189923,0,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,USA,R,50000000,743,7.3,1.85
112,3000,1000,15000,218628680,Comedy|Fantasy,Mila Kunis,Ted ,471644,1,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,USA,R,50000000,3000,7.0,1.85
139,274,285,625,147637474,Comedy|Drama|Romance,Lupe Ontiveros,As Good as It Gets ,224671,0,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,USA,PG-13,50000000,440,7.7,1.85
115,293,878,49000,135014968,Biography|Comedy|Drama|Romance,Robin Williams,Patch Adams ,80580,1,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,USA,PG-13,50000000,22000,6.7,2.35
143,285,7000,11000,2175312,Comedy,Harrison Ford,Anchorman 2: The Legend Continues ,131227,2,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,USA,PG-13,50000000,8000,6.3,2.35
96,65,828,12000,126203320,Comedy|Romance,Steve Buscemi,Mr. Deeds ,110432,1,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,USA,PG-13,50000000,11000,5.8,1.85
112,14000,417,1000,126975169,Mystery|Sci-Fi|Thriller,Joel Courtney,Super 8 ,287822,0,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,USA,PG-13,50000000,560,7.1,2.35
131,0,658,8000,125548685,Biography|Drama,Julia Roberts,Erin Brockovich ,135246,0,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,USA,R,52000000,883,7.3,1.85
116,80,651,11000,105807520,Comedy|Romance,Matthew McConaughey,How to Lose a Guy in 10 Days ,156717,2,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,USA,PG-13,50000000,1000,6.4,1.85
112,97,584,17000,191616238,Action|Comedy|Crime,Channing Tatum,22 Jump Street ,258186,2,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,USA,R,50000000,920,7.1,2.35
123,277,4000,11000,105264608,Drama|Fantasy|Horror,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,239752,0,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,USA,R,60000000,10000,7.6,1.85
104,235,1000,14000,97680195,Comedy|Romance,Bradley Cooper,Yes Man ,271691,1,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,USA,PG-13,70000000,11000,6.8,2.35
107,43,569,12000,126088877,Action|Comedy|Crime,Dwayne Johnson,Central Intelligence ,33354,2,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,USA,PG-13,50000000,919,6.6,2.35
