num_critic_for_reviews,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,actor_2_facebook_likes,imdb_score,aspect_ratio
25,Wayne Brady,7009668,Action|Sport,Wesley Jonathan,Crossover ,2000,Eva Marcille,6,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,36,English,USA,378,2.1,1.85
23,Mithun Chakraborty,352684,Action|Comedy,Asin,Khiladi 786 ,1065,Johnny Lever,1,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,31,Hindi,India,284,4.3,
222,Pablo Rosso,27024,Horror,Jonathan D. Mellor,[Rec] 2 ,73,Andrea Ros,0,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,148,Spanish,Spain,9,6.6,1.85
9,Alexis Biesiada,531806,Musical,Kayla Jackson,Standing Ovation ,72,Kayla Raparelli,9,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,6,English,USA,11,3.4,
119,Robert Shaw,159600000,Comedy|Crime|Drama,Eileen Brennan,The Sting ,2387,Ray Walston,0,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,English,USA,559,8.3,1.85
90,Ben Cross,58800000,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,1651,John Gielgud,0,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,English,UK,303,7.2,1.85
62,Kimberly Elise,50382128,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,2723,Tamara Taylor,0,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,English,USA,637,5.6,1.85
71,Armin Mueller-Stahl,35811509,Biography|Drama|Music|Romance,Noah Taylor,Shine ,888,Nicholas Bell,0,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,104,English,Australia,294,7.7,1.85
364,Scarlett Johansson,24475193,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,44265,Tony Danza,1,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,314,English,USA,19000,6.6,2.35
72,Richard Bull,,Mystery|Western,Clint Eastwood,High Plains Drifter ,17599,John Hillerman,0,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,169,English,USA,742,7.6,2.35
