director_name,duration,director_facebook_likes,actor_1_facebook_likes,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
Richard Marquand,134,37,11000,Action|Adventure|Fantasy|Sci-Fi,681857,13649,Kenny Baker,0,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,PG,32500000,1983,1000,14000
Neil Marshall,113,197,165,Action|Sci-Fi|Thriller,62770,391,Jeremy Crutchley,1,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,R,30000000,2008,107,0
Stephen Daldry,124,335,14000,Drama|Romance,189812,14504,Susanne Lothar,0,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,R,32000000,2008,388,15000
David Wain,98,136,1000,Comedy,62198,4151,Joe Lo Truglio,2,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,R,,2012,945,0
Jon Favreau,97,4000,22000,Comedy|Family|Fantasy|Romance,147597,43354,Will Ferrell,1,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,PG,33000000,2003,11000,21000
Jon Turteltaub,123,226,3000,Drama|Fantasy|Romance|Sci-Fi,63839,5975,David Gallagher,1,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,PG,32000000,1996,941,0
Brian Levant,99,32,773,Adventure|Comedy|Family|Sport,20219,2916,M. Emmet Walsh,1,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,PG,35000000,2002,664,0
Richard Donner,101,503,13000,Comedy|Drama|Fantasy,61396,18734,Robert Mitchum,1,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,PG-13,32000000,1988,1000,11000
Jared Hess,92,100,678,Comedy|Family|Sport,65551,1729,Héctor Jiménez,1,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,PG,32000000,2006,635,0
Paul Feig,131,176,722,Comedy|Romance,218711,3229,Steve Bannos,6,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,R,32500000,2011,655,27000
Evan Goldberg,107,133,17000,Comedy|Fantasy,310540,38751,Emma Watson,6,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,R,32000000,2013,11000,97000
Rupert Wainwright,103,9,826,Horror,54390,3004,Portia de Rossi,0,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,R,29000000,1999,724,0
George Tillman Jr.,129,88,22000,Biography|Drama,89424,36069,Michael Rapaport,0,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,R,32000000,2000,9000,0
John Luessenhop,107,34,23000,Action|Crime|Thriller,46961,31529,Jay Hernandez,5,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,PG-13,20000000,2010,4000,0
Justin Zackham,89,16,49000,Comedy,37493,74181,Topher Grace,8,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,R,35000000,2013,22000,0
John Whitesell,113,14,918,Action|Comedy|Crime,19671,3500,Portia Doubleday,2,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,PG-13,32000000,2011,845,0
Duncan Jones,93,0,15000,Mystery|Sci-Fi|Thriller,379462,16034,Russell Peters,3,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,PG-13,32000000,2011,491,56000
Frank Marshall,120,155,344,Adventure|Biography|Drama|Thriller,38949,2054,Michael DeLorenzo,3,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,R,32000000,1993,242,0
Joel Schumacher,98,541,8000,Mystery|Thriller,164608,10938,Ed Lauter,1,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,R,32000000,2007,912,10000
Jean-Pierre Jeunet,105,0,716,Action|Adventure|Drama|Family,11347,1843,Judy Davis,1,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,PG,33000000,2013,648,5000
Steven Spielberg,142,14000,16000,Action|Comedy|War,25193,20201,Treat Williams,5,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,PG,35000000,1979,1000,2000
John Gatins,98,61,649,Drama|Family|Sport,10018,1400,Holmes Osborne,1,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,PG,32000000,2005,579,0
David Cronenberg,96,0,10000,Crime|Drama|Thriller,186606,12754,William Hurt,1,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,R,32000000,2005,917,0
Louis Leterrier,87,255,26000,Action|Crime|Thriller,156267,29050,Matthew Modine,1,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,PG-13,32000000,2005,1000,0
Sam Raimi,107,0,29000,Action|Thriller|Western,69197,29743,Roberts Blossom,0,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,R,32000000,1995,165,0
Peter Howitt,90,29,638,Comedy|Romance,18771,961,Nora Dunn,1,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,PG-13,28000000,2004,160,702
Martin Scorsese,121,17000,12000,Drama|Thriller,53028,13040,Sonja Sohn,0,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,R,55000000,1999,368,0
Miguel Sapochnik,119,238,1000,Action|Crime|Sci-Fi|Thriller,87768,2925,Yvette Nicole Brown,0,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,R,32000000,2010,561,12000
Hyung-rae Shim,107,26,889,Action|Drama|Fantasy|Horror|Thriller,21506,3274,Chris Mulkey,0,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,PG-13,35000000,2007,618,0
Norman Jewison,110,278,3000,Comedy|Family|Fantasy,5176,3864,Andrea Martin,3,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,PG,30000000,1996,359,350
Don Scardino,100,35,12000,Comedy,60596,32094,Steve Carell,4,http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1,PG-13,30000000,2013,10000,13000
Mark Dindal,75,10,3000,Animation|Comedy|Family|Fantasy|Musical,5600,7394,Hal Holbrook,0,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,G,32000000,1997,2000,643
Tim Robbins,132,0,13000,Drama,8039,16878,Emily Watson,2,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,R,32000000,1999,898,625
Steven Soderbergh,105,0,845,Drama|Mystery|Thriller,21481,2355,Leland Orser,2,http://www.imdb.com/title/tt0452624/?ref_=fn_tt_tt_1,R,32000000,2006,552,559
Tom Reeve,93,0,330,Action|Adventure|Comedy|Fantasy|Romance,3088,1073,Simon Callow,4,http://www.imdb.com/title/tt0306892/?ref_=fn_tt_tt_1,PG,32000000,2004,239,290
Francis Ford Coppola,289,0,11000,Drama|War,450676,25313,Robert Duvall,1,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,R,31500000,1979,10000,19000
Nanette Burstein,102,8,839,Comedy|Romance,50523,2961,Jim Gaffigan,0,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,R,32000000,2010,730,0
Stephen Herek,143,65,975,Drama|Music,30230,2223,Jean Louisa Kelly,1,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,PG,6500000,1995,345,0
Ariel Vromen,113,34,10000,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,17319,10910,Doug Cockle,2,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,R,31500000,2016,877,0
Sydney Pollack,161,521,11000,Biography|Drama|Romance,52339,12518,Michael Kitchen,0,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,PG,31000000,1985,920,0
Robert Zemeckis,138,0,18000,Drama|Thriller,264047,20952,Nadine Velazquez,0,http://www.imdb.com/title/tt1907668/?ref_=fn_tt_tt_1,R,31000000,2012,984,64000
Lewis Gilbert,126,43,244,Action|Adventure|Sci-Fi|Thriller,69534,1008,Lois Maxwell,2,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,PG,34000000,1979,202,0
Wes Anderson,99,0,13000,Adventure|Comedy|Crime|Drama,475518,15082,F. Murray Abraham,0,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,R,25000000,2014,1000,149000
Scott Hicks,101,96,12000,Drama|Mystery,30339,13811,Hope Davis,1,http://www.imdb.com/title/tt0252501/?ref_=fn_tt_tt_1,PG-13,31000000,2001,495,0
