director_name,num_critic_for_reviews,duration,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,language,content_rating,budget,aspect_ratio,movie_facebook_likes
Matthew Robbins,60,108,Ralph Richardson,1000,Action|Adventure|Fantasy,Ian McDiarmid,1263,Albert Salmi,apprentice|dragon|king|kingdom|wizard,English,PG,18000000,2.35,0
Michael Hoffman,184,112,Kerry Condon,577,Biography|Drama|Romance,David Masterson,1341,Anne-Marie Duff,countess|leo tolstoy|russian|wealth|writing,English,R,13000000,2.35,0
Tim Burton,148,127,Bill Murray,40000,Biography|Comedy|Drama,Johnny Depp,56585,Martin Landau,1950s|director|friend|friendship|transvestism,English,R,18000000,1.85,0
Jason Reitman,217,111,Kate Winslet,24000,Drama,J.K. Simmons,39307,Brooke Smith,baseball|baseball practice|escaped convict|neighbor|tied to a chair,English,PG-13,18000000,2.35,0
Sergey Bodrov,160,126,Khulan Chuluun,627,Adventure|Biography|Drama|History|War,Tadanobu Asano,653,Honglei Sun,epic|genghis khan|one word title|slave|starving,Mongolian,R,20000000,2.35,0
Guy Ritchie,209,114,Gerard Butler,27000,Action|Crime|Thriller,Tom Hardy,46944,Tom Wilkinson,accountant|finger gun|homosexual|killed in an elevator|painting,English,R,18000000,2.35,12000
Hal Needham,40,99,Michael Beck,456,Action|Sci-Fi,Barry Bostwick,1356,Henry Silva,dictator|electronic music score|one word title|secret headquarters|soldier,English,PG,20000000,1.85,0
Kenneth Branagh,85,150,Brian Blessed,597,Drama,Julie Christie,1645,Richard Briers,classic literature|denmark|funeral|madness|prince,English,PG-13,18000000,2.2,0
Bruce Beresford,83,117,Suzie Steen,989,Biography|Drama|Music|Romance,Bruce Greenwood,1598,Aden Young,ballet|beijing|dancer|love|village,English,PG,,1.85,0
Jeff Nichols,263,112,Sam Shepard,4000,Adventure|Drama|Sci-Fi|Thriller,Kirsten Dunst,5671,Paul Sparks,cult|father son relationship|gas station|on the run|supernatural ability,English,PG-13,18000000,2.35,0
Woody Allen,128,108,Stockard Channing,11000,Comedy|Romance,Woody Allen,14843,Fisher Stevens,love at first sight|new york city|sex|teacher|writer,English,R,18000000,2.35,827
Jonathan Teplitzky,186,116,Colin Firth,25000,Biography|Drama|Romance|War,Jeremy Irvine,39463,Sam Reid,japanese soldier|physical torture|pow camp|prisoner of war|reference to adolf hitler,English,R,18000000,2.35,18000
,14,60,Dylan Walsh,654,Drama|Mystery,Poppy Montgomery,1906,Dallas Roberts,hyperthymesia|new york city|police,,,,,0
Michael Haneke,292,144,Burghart Klaußner,63,Drama|Mystery,Ulrich Tukur,167,Leonie Benesch,children|doctor|mysterious event|pastor|small village,German,R,12000000,1.85,0
Zack Ward,15,92,Anna Harr,662,Horror,Zack Ward,1498,James Cullen Bressack,,English,,,,378
Mike Marvin,70,93,Randy Quaid,1000,Action|Horror|Romance|Sci-Fi|Thriller,Clint Howard,2319,Nick Cassavetes,arizona|death|gang|police|sheriff,English,R,2700000,1.85,0
D.J. Caruso,79,103,Meat Loaf,1000,Crime|Drama|Mystery|Thriller,Adam Goldberg,4094,Anthony LaPaglia,male in shower|murder|neighbor neighbor relationship|remote control car|sex scene,English,R,18000000,1.85,2000
Nimród Antal,103,93,Mackenzie Gray,364,Music,James Hetfield,1083,Lars Ulrich,headbanger|metallica|roadie|song in title|standing on the roof of a car,English,R,,2.35,19000
Gregor Jordan,97,98,Brad Renfro,663,Crime|Drama|Thriller,Austin Nichols,2215,Lou Taylor Pucci,breasts|female nudity|male pubic hair|pubic hair|sex scene,English,R,18000000,2.35,1000
,108,334,Nora von Waldstätten,897,Biography|Crime|Drama|Thriller,Edgar Ramírez,1032,Katharina Schüttler,opec|pubic hair|revolutionary|terrorism|true crime,English,Not Rated,,2.35,0
Tran Anh Hung,59,114,Simón Andreu,84,Thriller,Takuya Kimura,198,Shawn Yue,gangster|hong kong|missing person|missing son|serial killer,English,Not Rated,18000000,2.35,342
Lance Hool,10,121,Joaquim de Almeida,854,Action|Drama|History|Romance|War|Western,Tom Berenger,2705,Mark Moses,american|battalion|catholic|mexican|sergeant,English,R,11350000,2.35,271
George A. Romero,184,87,John Amplas,1000,Horror,Greg Nicotero,1592,Joseph Pilato,bunker|experiment|military|research|scientist,English,Unrated,3500000,1.85,3000
Chuck Russell,23,92,Rebecca De Mornay,1000,Action|Crime|Drama|Thriller,Sam Trammell,3212,Amanda Schull,conspiracy|female scientist|mugging|police detective|tattoo,English,R,18000000,,0
Christian Volckman,112,105,Catherine McCormack,805,Action|Animation|Sci-Fi|Thriller,Romola Garai,1185,Kevork Malikyan,future|kidnapping|missing file|paris france|year 2054,English,R,14000000,2.35,0
Jon Cassar,45,90,Landon Liboiron,2000,Drama|Western,Demi Moore,4142,Michael Wincott,,English,R,11000000,2.35,0
Richard Fleischer,59,89,Brigitte Nielsen,444,Action|Adventure|Fantasy,Ernie Reyes Jr.,1243,Sandahl Bergman,cult film|psychotronic|sword and sorcery|talisman|warrior,English,PG-13,17900000,2.35,0
Rodrigo Cortés,195,114,Toby Jones,22000,Drama|Horror|Mystery|Thriller,Robert De Niro,25804,Craig Roberts,fraud|physicist|psychic|skeptic|tailing,English,R,14000000,2.35,10000
Greg Mottola,256,119,Joe Lo Truglio,15000,Comedy,Emma Stone,17584,Kevin Corrigan,black comedy|bromance|party|school|teen comedy,English,R,20000000,1.85,0
Tyler Perry,44,103,Keshia Knight Pulliam,923,Comedy|Crime|Drama,Vanessa Ferlito,3699,Derek Luke,adaptation directed by original author|cross dressing|madea series|remake|sequel,English,PG-13,,1.85,804
David Hayter,59,91,Jennifer Hale,11000,Action|Horror,Jason Momoa,13545,Stephen McHattie,bar|female nudity|murder|small town|werewolf,English,R,18000000,2.35,0
Jon M. Chu,97,98,Mari Koda,158,Drama|Music|Musical|Romance,Cassie Ventura,816,Luis Rosado,audition|dance|kissing in the rain|student|subway,English,PG-13,23000000,1.85,0
Cory Edwards,142,80,Chazz Palminteri,11000,Action|Animation|Comedy|Crime|Family,Anne Hathaway,14385,Jim Belushi,animal|axe|red riding hood|wolf|woodsman,English,PG,17500000,1.85,0
Terry George,187,121,Sophie Okonedo,3000,Drama|History|War,Don Cheadle,4142,Hakeem Kae-Kazim,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,English,PG-13,17500000,2.35,12000
Xavier Gens,193,94,Dougray Scott,866,Action|Crime|Drama|Thriller,Henry Ian Cusick,2124,Ulrich Thomsen,hitman|impersonation|see through dress|topless female nudity|woman on top,English,R,24000000,2.35,0
Kasi Lemmons,40,93,Mary J. Blige,549,Drama|Family|Music|Musical,Jennifer Hudson,1373,Vondie Curtis-Hall,based on stage musical|based on the bible|christmas|color in title|nativity,English,PG,17500000,2.35,0
Brian A Miller,46,93,50 Cent,13000,Action|Thriller,Bruce Willis,16735,Jessica Lowndes,assassin|fight|mechanic|rescue|rival,English,R,18000000,2.35,0
Matt Dillon,38,116,Shawn Andrews,109,Crime|Drama|Thriller,Kirk Fox,245,Rob Campbell,bag over head|buddhist temple|loss of friend|male bonding|nightclub,English,R,17500000,1.85,204
Alejandro Amenábar,239,101,Elaine Cassidy,482,Fantasy|Horror|Thriller,Fionnula Flanagan,956,Eric Sykes,curtain|haunting|mansion|mute|xeroderma pigmentosum,English,PG-13,17000000,1.85,20000
James Cameron,250,154,Carrie Henn,2000,Action|Adventure|Sci-Fi,Michael Biehn,4228,Jenette Goldstein,alien|human versus alien|monster|rescue mission|space marine,English,R,18500000,1.85,18000
George Cukor,82,170,Rex Harrison,453,Drama|Family|Musical|Romance,Jeremy Brett,1164,Theodore Bikel,colonel|flower girl|professor|street|wager,English,Approved,17000000,2.2,0
Jim Gillespie,140,99,Sarah Michelle Gellar,45000,Horror|Mystery|Thriller,Muse Watson,50284,Anne Heche,beach|corpse|fourth of july|overalls|revenge,English,R,17000000,2.35,0
Luke Greenfield,129,104,Damon Wayans Jr.,839,Comedy,Rob Riggle,3627,James D'Arcy,friendship between men|impersonating a police officer|mobster|party|police officer,English,R,17000000,1.85,14000
Alexander Payne,285,126,Patrick Gallagher,912,Adventure|Comedy|Drama|Romance,Virginia Madsen,2170,M.C. Gainey,actor|california|teacher|wine|writer,English,R,12000000,1.85,0
Jay Chandrasekhar,91,110,Owain Yeoman,33000,Comedy,Chris Moss,35345,Jay Chandrasekhar,beer|competition|germany|oktoberfest|prostitute,English,R,17500000,2.35,0
John Carpenter,318,101,Donald Pleasence,2000,Horror|Thriller,Jamie Lee Curtis,4400,P.J. Soles,halloween|masked killer|michael myers|slasher|trick or treat,English,R,300000,2.35,12000
Yimou Zhang,283,80,Tony Chiu Wai Leung,5000,Action|Adventure|History,Jet Li,6229,Maggie Cheung,china|flying|king|palace|sword,Mandarin,PG-13,31000000,2.35,0
John Hoffman,52,87,Molly Shannon,818,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,2164,Kevin Nealon,dog|friend|neighborhood|planet|star,English,PG,17000000,1.85,309
Malcolm D. Lee,56,123,Sanaa Lathan,1000,Comedy|Drama,Harold Perrineau,5306,Eddie Cibrian,childbirth|christmas|gay slur|infidelity|punched in the nose,English,R,17000000,2.35,7000
Joe Carnahan,186,109,Common,16000,Action|Crime|Drama|Thriller,Ryan Reynolds,19410,Alex Rocco,casino|fbi|mafia|mob hit|sniper,English,R,17000000,2.35,3000
Kevin Greutert,178,90,Gina Holden,723,Horror|Mystery,Costas Mandylor,1978,Betsy Russell,blood splatter|self help guru|sequel|support group|survivor,English,R,20000000,1.85,12000
Michael Lehmann,140,96,Vinessa Shaw,1000,Comedy|Romance,Emmanuelle Vaugier,3294,Paulo Costanzo,female on male rape|lent|male rear nudity|masturbation|sex,English,R,17000000,1.85,2000
Joseph Kosinski,469,125,Olivia Wilde,12000,Action|Adventure|Sci-Fi,Jeff Bridges,25549,James Frain,arcade|bridge|disappearance|escape|warrior,English,PG,170000000,2.35,30000
John Fortenberry,63,82,Chris Kattan,8000,Comedy|Music|Romance,Will Ferrell,9271,Dan Hedaya,1990s|bar|car accident|nightclub|whipped cream,English,PG-13,17000000,1.85,0
Daniel Barnz,148,86,Mary-Kate Olsen,15000,Drama|Fantasy|Romance,Alex Pettyfer,17396,Erik Knudsen,love|maid|newscaster|student|tutor,English,PG-13,17000000,2.35,16000
Alexandre Aja,265,108,Greg Nicotero,1000,Horror,Dan Byrd,4500,Vinessa Shaw,desert|horror movie remake|murder of family|rape|slasher,English,R,15000000,2.35,0
Sam Weisman,75,98,Jenna Boyd,593,Comedy,Kevin Grevioux,2713,Mary McCormack,dental braces|dental headgear|former child star|panties|white panties,English,PG-13,17000000,2.35,320
Niki Caro,113,129,Valente Rodriguez,427,Biography|Drama|Sport,Morgan Saylor,952,Diana Maria Riva,coach|high school|place name in title|school|student,English,PG,17000000,2.35,21000
