director_name,director_facebook_likes,gross,actor_1_name,facenumber_in_poster,content_rating
Steve Trenbirth,0,47887943,Haley Joel Osment,0,G
Stephen Kay,19,46363118,Barry Watson,0,PG-13
Mennan Yapo,9,47852604,Nia Long,0,PG-13
Jun Falkenstein,25,45542421,Kath Soucie,0,G
Jaume Collet-Serra,174,41573740,Jimmy Bennett,1,R
Boaz Yakin,132,42652003,Jay Hernandez,0,PG
,,,Lamman Rucker,2,
Jason Friedberg,82,39737645,David Carradine,11,PG-13
John Milius,468,37567440,William Smith,0,R
Tom McCarthy,310,44988180,Billy Crudup,2,R
Neil LaBute,119,39263506,Jay Hernandez,1,PG-13
Takashi Shimizu,70,39143839,Sarah Michelle Gellar,0,PG-13
Kevin Rodney Sullivan,8,37672350,Richard Lawson,1,R
Peter Hewitt,12,38037513,Keanu Reeves,2,PG
Barry Levinson,272,37442180,Robin Williams,1,PG-13
Gary Nelson,20,,Robert Forster,0,PG
Anton Corbijn,210,35596227,Violante Placido,1,R
Gregory Nava,16,35422828,Jon Seda,1,PG
Jason Friedberg,82,36658108,Diedrich Bader,7,PG-13
Alejandro G. Iñárritu,0,34300771,Brad Pitt,3,R
Shawn Levy,189,34290142,Tina Fey,8,R
John Patrick Shanley,53,33422556,Philip Seymour Hoffman,0,PG-13
Trey Parker,406,32774834,Jeremy Shada,5,R
John Luessenhop,34,34334256,Gunnar Hansen,0,R
Jon Amiel,36,32051917,William McNamara,0,R
Malcolm D. Lee,92,32014289,Marisa Saks,8,PG-13
Joshua Logan,32,,Clint Eastwood,3,PG-13
Gus Van Sant,835,31838002,James Franco,1,R
Kevin Reynolds,58,36874745,Peter Firth,2,PG-13
Steve Beck,17,30079316,Isaiah Washington,0,R
Todd Strauss-Schulson,12,35033759,Patton Oswalt,4,R
John McNaughton,39,29753944,Bill Murray,3,R
Nelson McCormick,29,29062561,Sela Ward,0,PG-13
John Madden,108,31146570,Tom Wilkinson,3,R
Stephen Frears,350,27277055,Drake Bell,0,R
Eric Valette,2,26876529,Johnny Lewis,1,PG-13
John Schlesinger,154,53146000,Joe Mantegna,1,R
Roger Donaldson,79,30028592,Jason Statham,0,R
Michel Gondry,1000,34126138,Kate Winslet,1,R
Andy Fickman,99,25677801,Jamie Lee Curtis,6,PG
David Ayer,453,26415649,Keanu Reeves,4,R
Edgar Wright,1000,26003149,Michael Smiley,6,R
Andrew Fleming,26,25584685,Kay Panabaker,5,PG
Michael Spierig,35,29975979,Jay Laga'aia,0,R
Jim Field Smith,14,31584722,Mike Vogel,1,R
Thomas Bezucha,15,23179303,Leighton Meester,3,PG
William Brent Bell,19,23078294,Adam Goldberg,0,PG-13
Simon Wincer,23,21413105,Alan Rickman,1,PG-13
Anthony Bell,0,25077977,Kevin Sussman,0,PG
