director_name,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,aspect_ratio,movie_facebook_likes
Renny Harlin,347,969,Action|Crime|Thriller,Taylor Cole,12 Rounds ,22823,Nick Gomez,1,2000s|detective|sadist|terrorism|terrorist,113,English,USA,PG-13,2009,2.35,0
Matt Reeves,884,17000,Drama|Fantasy|Horror|Mystery,Chloë Grace Moretz,Let Me In ,92237,Kodi Smit-McPhee,0,blood|boy|night|school|vampire,366,English,UK,R,2010,2.35,25000
Charles T. Kanganis,181,400,Action|Comedy|Family,Victor Wong,3 Ninjas Kick Back ,6701,Don Stark,0,1990s|dagger|japan|mousetrap|stick fight,26,English,USA,PG,1994,1.85,444
Michel Gondry,270,734,Comedy,Quinton Aaron,Be Kind Rewind ,79855,Melonie Diaz,2,friend|power plant|sabotage|store clerk|video store,235,English,UK,PG-13,2008,2.35,0
Stephen Frears,99,5000,Comedy|Drama|Music|War,Bob Hoskins,Mrs Henderson Presents ,13505,Sarah Solemani,1,anti semitism|breasts|chamberlain|friend|theatre,180,English,UK,R,2005,1.85,0
John Hillcoat,968,14000,Action|Crime|Drama|Thriller,Kate Winslet,Triple 9 ,32567,Clifton Collins Jr.,3,betrayal|corrupt cop|heist|murder of a police officer|police detective,106,English,USA,R,2016,2.35,0
Woody Allen,223,11000,Comedy,Woody Allen,Deconstructing Harry ,35586,Judy Davis,2,marriage|novelist|panties pulled down|writer's block|writing,131,English,USA,R,1997,1.85,0
Damon Santostefano,677,2000,Comedy|Romance,Matthew Perry,Three to Tango ,16372,David Ramsey,2,architect|award|farce|love|misunderstanding,121,English,Australia,PG-13,1999,1.37,311
John Wells,580,14000,Comedy|Drama,Bradley Cooper,Burnt ,61360,Riccardo Scamarcio,1,chef|gay kiss|michelin star|restaurant|violent behavior,129,English,USA,R,2015,2.35,25000
Neil Jordan,383,22000,Comedy|Crime,Robert De Niro,We're No Angels ,17349,James Russo,0,con|convict|escape|police|priest,42,English,USA,PG-13,1989,2.35,855
Woody Allen,2,1000,Comedy|Musical|Romance,Natasha Lyonne,Everyone Says I Love You ,30083,Jeff DeRocker,0,engagement|grandfather|liberal|maid|song,140,English,USA,R,1996,1.85,0
Frank Oz,548,22000,Comedy,Peter Dinklage,Death at a Funeral ,89547,Kris Marshall,0,end credits roll call|four word title|funeral|secret|uncle,199,English,USA,R,2007,1.85,0
