num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,num_voted_users,facenumber_in_poster,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
36,114,61,407,Eva Amurri Martino,14786,2,103,English,PG-13,23000000,1999,797,2.35,638
65,101,3,120,Stark Sands,30092,0,129,English,PG-13,23000000,2004,143,2.35,0
53,88,12,249,Dan Hedaya,3914,4,47,English,PG-13,23000000,2000,281,1.85,153
394,93,0,947,Michael Fassbender,72646,5,397,English,R,23000000,2011,13000,2.35,0
80,92,114,434,Mario Van Peebles,30840,0,383,English,PG-13,23000000,1987,535,2.35,0
45,98,4,11000,Robert De Niro,20163,2,71,English,PG-13,23000000,1996,22000,1.85,1000
47,94,258,424,Dash Mihok,3174,2,19,English,PG,23000000,2008,463,2.35,376
90,102,277,57,Ian Hart,17740,0,165,English,R,23000000,1999,261,1.85,0
30,98,23,982,Tia Carrere,14473,2,81,English,R,23000000,1991,1000,1.85,0
232,121,549,883,Charlize Theron,60115,2,224,English,R,,2007,9000,2.35,0
165,111,105,64,Benoît Poelvoorde,32003,1,65,French,PG-13,19430000,2009,86,2.35,0
45,90,78,720,Landon Liboiron,4693,1,49,English,R,11000000,2015,1000,2.35,0
155,100,350,30,Iben Hjejle,8924,1,43,English,R,23000000,2009,123,2.35,0
6,50,,543,Sarah Carter,1781,0,23,English,,,,748,,532
118,141,300,73,Roger Lloyd Pack,17373,2,148,English,PG-13,23000000,2004,539,2.35,767
55,139,3,107,Simon Yam,6263,0,33,Mandarin,,23000000,2009,155,2.35,765
314,114,101,23,Kim Thomson,209396,0,580,English,PG-13,25000000,2007,25,2.35,11000
103,96,0,542,Dick Van Patten,136667,2,273,English,PG,22700000,1987,605,1.85,13000
183,111,0,234,Ryan Corr,53341,0,185,English,R,22500000,2014,468,2.35,18000
77,127,109,71,Tony Goldwyn,154199,0,252,English,PG-13,22000000,1990,956,1.85,0
171,107,101,743,Lin Shaye,247289,1,611,English,R,23000000,1998,852,1.85,0
64,97,11,595,Eric Lloyd,64742,0,111,English,PG,22000000,1994,775,1.85,0
92,127,102,1000,Jay Hernandez,26434,0,174,English,G,20000000,2002,1000,2.35,0
112,110,99,835,Kyra Sedgwick,44021,0,83,English,PG,22000000,2007,941,2.35,0
69,135,16000,86,Meryl Streep,54631,0,192,English,PG-13,35000000,1995,11000,1.85,0
75,84,42,182,Michael Papajohn,47383,1,132,English,PG-13,22000000,2001,241,1.85,1000
95,240,0,249,Amrish Puri,171726,0,256,English,PG,22000000,1982,429,2.35,12000
