num_critic_for_reviews,duration,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
43,136,16000,Action|Adventure|Thriller,Firefox ,16805,Kenneth Colley,1,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,USA,21000000,281,5.9,2.35,0
163,81,893,Animation|Comedy|Fantasy|Musical,South Park: Bigger Longer & Uncut ,3003,Trey Parker,1,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,USA,21000000,795,7.8,1.85,0
168,87,22000,Comedy,Death at a Funeral ,24324,Kris Marshall,0,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,USA,9000000,557,7.4,1.85,0
60,96,533,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Teenage Mutant Ninja Turtles III ,1254,Matt Hill,0,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,USA,17000000,219,4.8,1.85,1000
85,106,18000,Drama|Sport,Hardball ,18630,DeWayne Warren,3,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,USA,21000000,558,6.3,1.85,0
539,122,34000,Comedy|Drama|Romance,Silver Linings Playbook ,72115,Bradley Cooper,0,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,USA,21000000,22000,7.8,2.35,117000
84,123,2000,Biography|Crime|Drama,Freedom Writers ,3994,Imelda Staunton,1,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,Germany,21000000,826,7.5,1.85,10000
75,133,1000,Drama,For Colored Girls ,6035,Kimberly Elise,0,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,USA,,912,6.0,1.85,0
171,92,26000,Action|Crime|Thriller,The Transporter ,27572,Matt Schulze,0,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,France,21000000,1000,6.8,2.35,0
140,110,3000,Action|Drama|Sport,Never Back Down ,4089,Leslie Hope,1,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,USA,20000000,427,6.6,2.35,0
85,104,711,Horror|Sci-Fi|Thriller,The Rage: Carrie 2 ,3162,Eddie Kaye Thomas,1,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,USA,21000000,490,4.6,1.85,897
5,60,98,Game-Show|Reality-TV|Romance,The Bachelor             ,98,,0,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,USA,3000000,,2.9,,141
217,98,925,Comedy|Drama|Romance,Away We Go ,1997,Carmen Ejogo,2,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,USA,17000000,472,7.1,2.35,7000
131,120,1000,Comedy|Drama,Swing Vote ,6212,Nathan Lane,1,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,USA,21000000,901,6.1,2.35,1000
111,112,15000,Drama|Romance,Moonlight Mile ,16692,Bob Clendenin,3,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,USA,21000000,1000,6.7,2.35,365
466,127,19000,Drama|Mystery|Thriller,Tinker Tailor Soldier Spy ,46241,Gary Oldman,1,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,France,20000000,14000,7.1,2.35,24000
16,102,670,Comedy|Drama|Romance,Molly ,1562,Sarah Wynter,1,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,USA,21000000,419,5.8,1.85,284
276,91,34000,Drama,The Beaver ,34705,Riley Thomas Stewart,0,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,USA,21000000,242,6.7,2.35,17000
11,114,1000,Comedy|Musical,The Best Little Whorehouse in Texas ,3688,Dom DeLuise,2,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,USA,35000000,883,5.8,2.35,0
196,115,1000,Horror|Sci-Fi|Thriller,eXistenZ ,2990,Callum Rennie,0,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,Canada,31000000,900,6.8,1.85,6000
234,115,11000,Action|Adventure,Raiders of the Lost Ark ,12906,William Hootkins,1,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,USA,18000000,783,8.5,2.35,16000
37,120,3000,Adventure|Comedy|Family,Home Alone 2: Lost in New York ,7860,Devin Ratray,2,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,USA,18000000,1000,6.6,1.85,0
171,135,559,Drama|Sci-Fi,Close Encounters of the Third Kind ,1591,Melinda Dillon,0,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,USA,19400870,481,7.7,2.35,0
148,90,16000,Drama|Horror|Sci-Fi|Thriller,Pulse ,19952,Rick Gonzalez,0,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,USA,20000000,1000,4.7,2.35,0
50,100,936,Action|Comedy|Crime|Thriller,Beverly Hills Cop II ,4121,Ronny Cox,1,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,USA,28000000,901,6.4,2.35,0
121,105,1000,Comedy,Bringing Down the House ,2505,Steve Harris,2,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,USA,33000000,409,5.5,2.35,800
185,138,12000,Crime|Drama|Horror|Thriller,The Silence of the Lambs ,13184,Anthony Heald,0,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,USA,19000000,826,8.6,1.85,40000
61,94,1000,Comedy|Music,Wayne's World ,4263,Kurt Fuller,2,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,USA,20000000,619,7.0,1.85,0
156,101,608,Action|Comedy|Documentary,Jackass 3D ,1787,Chris Pontius,1,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,USA,20000000,362,7.1,1.78,0
75,131,813,Adventure|Horror|Thriller,Jaws 2 ,1520,Joseph Mascolo,0,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,USA,20000000,366,5.7,2.35,0
100,91,2000,Adventure|Comedy|Drama|Family|Romance,Beverly Hills Chihuahua ,4729,Ali Hillis,1,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,USA,20000000,641,3.7,2.35,0
511,112,6000,Horror|Mystery|Thriller,The Conjuring ,9049,Hayley McFarland,0,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,USA,20000000,960,7.5,2.35,131000
75,95,826,Adventure|Comedy|Family|Romance,Are We There Yet? ,3558,Jay Mohr,2,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,USA,32000000,642,4.6,1.85,773
148,100,989,Comedy,Tammy ,2654,Ben Falcone,0,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,USA,20000000,830,4.9,1.85,11000
253,105,884,Drama|Mystery|Thriller,Disturbia ,2287,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,USA,20000000,617,6.9,1.85,0
204,108,2000,Comedy|Music,School of Rock ,4403,Mike White,1,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,USA,35000000,931,7.1,1.85,0
72,101,1000,Action|Adventure|Fantasy|Sci-Fi|Thriller,Mortal Kombat ,3816,Bridgette Wilson-Sampras,0,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,USA,18000000,1000,5.8,1.85,0
98,114,489,Drama|Mystery|Romance|Thriller,Wicker Park ,679,Mark Camacho,0,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,USA,30000000,93,7.0,2.35,0
62,109,1000,Comedy|Crime,White Chicks ,6313,Brittany Daniel,4,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,USA,37000000,960,5.4,1.85,0
549,115,8000,Comedy|Drama,The Descendants ,9578,Beau Bridges,0,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,USA,20000000,727,7.3,2.35,22000
106,117,596,Adventure|Comedy|Drama|Family|Mystery,Holes ,1293,Ski Carr,0,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,USA,20000000,265,7.1,1.85,0
123,107,742,Drama|Family|Music|Romance,The Last Song ,2341,Melissa Ordway,1,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,USA,20000000,360,5.8,2.35,10000
597,134,2000,Biography|Drama|History,12 Years a Slave ,4251,Taran Killam,0,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,USA,20000000,660,8.1,2.35,83000
64,118,962,Comedy|Drama|Music|Romance,Drumline ,2390,Jason Weaver,0,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,USA,20000000,593,5.7,2.35,2000
40,121,2000,Comedy|Drama|Romance,Why Did I Get Married Too? ,6657,Tasha Smith,8,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,USA,20000000,907,4.4,1.85,0
111,105,40000,Fantasy|Romance,Edward Scissorhands ,42330,Conchata Ferrell,0,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,USA,20000000,967,7.9,1.85,16000
151,110,11000,Drama|Romance,Me Before You ,21852,Brendan Coyle,0,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,UK,20000000,10000,7.6,2.35,51000
31,114,982,Comedy|Crime|Drama,Madea's Witness Protection ,2753,Romeo Miller,5,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,USA,20000000,618,4.8,1.85,0
138,104,813,Action|Crime|Drama|Thriller,The French Connection ,1196,Tony Lo Bianco,0,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,USA,1800000,165,7.8,1.85,0
81,100,15000,Comedy,Bad Moms ,18786,Jada Pinkett Smith,9,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,USA,20000000,1000,6.7,,18000
99,85,3000,Comedy|Romance,Date Movie ,6539,Fred Willard,0,http://www.imdb.com/title/tt0466342/?ref_=fn_tt_tt_1,USA,20000000,869,2.7,1.85,806
80,72,1000,Adventure|Animation|Family|Fantasy,Return to Never Land ,3402,Spencer Breslin,1,http://www.imdb.com/title/tt0280030/?ref_=fn_tt_tt_1,USA,20000000,677,5.8,1.66,302
364,128,1000,Biography|Drama|History,Selma ,3869,Oprah Winfrey,0,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,UK,20000000,1000,7.5,2.35,22000
85,72,3000,Adventure|Animation|Family|Musical,The Jungle Book 2 ,4480,Tony Jay,0,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,USA,20000000,455,5.4,1.85,227
140,89,526,Drama|Horror|Mystery|Thriller,Boogeyman ,1383,Charles Mesure,0,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,USA,20000000,392,4.1,1.85,1000
184,96,826,Drama|Mystery|Thriller,Premonition ,1825,Marc Macaulay,0,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,USA,20000000,626,5.9,2.35,0
89,77,304,Animation|Comedy|Drama|Family|Musical,The Tigger Movie ,575,Ken Sansom,0,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,USA,30000000,253,6.3,1.78,347
265,123,87000,Horror|Mystery|Thriller,Orphan ,88953,Aryana Engineer,1,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,USA,,1000,7.0,1.85,20000
61,111,1000,Adventure|Family,Max ,2851,Edgar Arreola,0,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,USA,20000000,465,6.8,2.35,33000
3,30,607,Comedy,Meet the Browns             ,1530,Denise Boutte,2,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,USA,,378,3.5,1.85,211
112,93,926,Adventure|Comedy,Epic Movie ,4293,Fred Willard,11,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,USA,20000000,869,2.3,1.85,0
166,129,919,Adventure|Fantasy,Conan the Barbarian ,2024,Sandahl Bergman,0,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,USA,20000000,691,6.9,2.35,0
474,128,745,Biography|Crime|Drama|History,Spotlight ,1058,Brian d'Arcy James,2,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,USA,20000000,168,8.1,1.85,80000
165,110,1000,Crime|Drama|Thriller,Lakeview Terrace ,2382,Robert Pine,1,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,USA,22000000,931,6.1,2.35,0
131,137,4000,Horror|Thriller,The Grudge 2 ,5746,Matthew Knight,0,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,USA,20000000,884,5.0,1.85,930
29,124,508,Comedy|Drama|Romance,How Stella Got Her Groove Back ,1660,Barry Shabaka Henley,1,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,USA,20000000,270,5.5,1.85,0
43,93,18000,Adventure|Comedy|Fantasy|Music|Sci-Fi,Bill & Ted's Bogus Journey ,20188,Alex Winter,2,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,USA,20000000,769,6.2,1.85,0
111,115,49000,Comedy|Drama|Romance|Thriller,Man of the Year ,52571,Amy Poehler,1,http://www.imdb.com/title/tt0483726/?ref_=fn_tt_tt_1,USA,20000000,2000,6.2,2.35,0
90,98,889,Action|Sci-Fi,The Black Hole ,2110,Yvette Mimieux,0,http://www.imdb.com/title/tt0078869/?ref_=fn_tt_tt_1,USA,20000000,877,5.9,2.35,4000
333,105,978,Crime|Drama|Thriller,The American ,1454,Filippo Timi,1,http://www.imdb.com/title/tt1440728/?ref_=fn_tt_tt_1,USA,20000000,191,6.3,2.35,10000
37,127,565,Biography|Drama|Music,Selena ,1735,Jacob Vargas,1,http://www.imdb.com/title/tt0120094/?ref_=fn_tt_tt_1,USA,20000000,441,6.7,2.35,0
