duration,facenumber_in_poster,movie_imdb_link,country,aspect_ratio,movie_facebook_likes
114,1,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,USA,2.35,0
100,2,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,USA,1.85,368
85,0,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,USA,2.35,720
103,2,http://www.imdb.com/title/tt0424993/?ref_=fn_tt_tt_1,USA,1.85,0
100,4,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,USA,1.85,0
114,0,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,USA,2.35,10000
102,0,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,USA,2.35,21000
103,0,http://www.imdb.com/title/tt0085407/?ref_=fn_tt_tt_1,USA,1.85,0
97,0,http://www.imdb.com/title/tt2752772/?ref_=fn_tt_tt_1,USA,2.35,13000
116,7,http://www.imdb.com/title/tt1876451/?ref_=fn_tt_tt_1,USA,2.35,0
96,1,http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1,USA,2.35,0
98,0,http://www.imdb.com/title/tt1220198/?ref_=fn_tt_tt_1,USA,2.35,15000
105,8,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,USA,2.35,683
123,1,http://www.imdb.com/title/tt0107079/?ref_=fn_tt_tt_1,USA,1.85,331
107,1,http://www.imdb.com/title/tt0089348/?ref_=fn_tt_tt_1,USA,1.85,0
112,0,http://www.imdb.com/title/tt0403455/?ref_=fn_tt_tt_1,USA,2.35,997
93,2,http://www.imdb.com/title/tt0128445/?ref_=fn_tt_tt_1,USA,2.35,5000
97,0,http://www.imdb.com/title/tt1564585/?ref_=fn_tt_tt_1,USA,2.35,13000
122,6,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,UK,2.35,21000
101,1,http://www.imdb.com/title/tt0846308/?ref_=fn_tt_tt_1,USA,1.85,851
100,3,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,USA,1.85,767
129,1,http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1,USA,1.85,720
81,1,http://www.imdb.com/title/tt0240468/?ref_=fn_tt_tt_1,USA,2.35,0
96,0,http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1,USA,1.85,11000
84,1,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,USA,1.85,0
100,0,http://www.imdb.com/title/tt0081071/?ref_=fn_tt_tt_1,USA,1.85,680
110,2,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,USA,2.35,328
130,1,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,USA,2.35,27000
84,2,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,USA,1.85,441
106,11,http://www.imdb.com/title/tt2515086/?ref_=fn_tt_tt_1,USA,1.85,0
89,5,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,USA,1.85,0
76,0,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,USA,1.85,227
