director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Guy Hamilton,120,175,244,43800000,Action|Adventure|Thriller,Desmond Llewelyn,Diamonds Are Forever ,74249,1105,2,cat|diamond|ford mustang|james bond 007|yanked off bikini top,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,UK,GP,7200000,1971,177,6.7,0
Francis Ford Coppola,208,3000,14000,134821952,Crime|Drama,Al Pacino,The Godfather ,1155770,28122,1,crime family|mafia|organized crime|patriarch|rise to power,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,USA,R,6000000,1972,10000,9.2,43000
Adrian Lyne,51,92,225,94900000,Drama|Music|Romance,Michael Nouri,Flashdance ,35172,791,0,ballet school|dance|dancer|overalls|steel worker,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,USA,R,4000000,1983,174,6.1,0
Marc Webb,331,11000,23000,32391374,Comedy|Drama|Romance,Joseph Gordon-Levitt,500 Days of Summer ,376600,54075,43,friend|greeting card|office|summer|true love,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,USA,PG-13,7500000,2009,17000,7.7,40000
Jane Campion,83,11,1000,40158000,Drama|Music|Romance,Holly Hunter,The Piano ,63931,1051,1,adultery|daughter|male rear nudity|new zealand|piano,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,New Zealand,R,7000000,1993,18,7.6,0
Steven Soderbergh,324,11000,17000,113709992,Comedy|Drama,Channing Tatum,Magic Mike ,108843,46646,1,bank|male nudity|male objectification|male stripper|stripper,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,USA,R,7000000,2012,15000,6.1,54000
Jonathan Liebesman,140,82,1000,32131483,Horror|Mystery|Thriller,Sullivan Stapleton,Darkness Falls ,25870,2212,0,boy|darkness|light|tooth|tooth fairy,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,USA,PG-13,11000000,2003,970,4.9,2000
Guy Hamilton,136,189,581,35400000,Action|Adventure|Thriller,Yaphet Kotto,Live and Let Die ,74957,1865,3,british|cards|heroin|murder|tarot card,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,UK,PG,7000000,1973,547,6.8,0
Jay Russell,79,430,1000,34099640,Drama|Family|Sport,Clint Howard,My Dog Skip ,16651,2515,0,1940s|dog|mississippi|puppy|veteran,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,USA,PG,5000000,2000,934,7.0,0
Adam Brooks,160,61,16000,31973840,Comedy|Drama|Romance,Ryan Reynolds,Definitely, Maybe ,127760,16289,5,college|daughter|girl|sex|wisconsin,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,Germany,PG-13,,2008,109,7.2,0
Salim Akil,52,826,1000,37295394,Comedy|Drama,Gary Dourdan,Jumping the Broom ,7973,5959,8,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,USA,PG-13,6600000,2011,912,5.7,0
Baz Luhrmann,490,76,29000,144812796,Drama|Romance,Leonardo DiCaprio,The Great Gatsby ,362933,29769,4,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,Australia,PG-13,105000000,2013,509,7.3,115000
George Clooney,351,566,21000,31501218,Biography|Drama|History,Robert Downey Jr.,Good Night, and Good Luck. ,84070,22745,0,cbs|expose|fear|paranoia|reporter,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,USA,PG,7500000,2005,650,7.5,0
Bennett Miller,271,27,22000,28747570,Biography|Crime|Drama,Philip Seymour Hoffman,Capote ,100571,22140,1,book|holcomb kansas|kansas|killer|truman capote,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,Canada,R,7000000,2005,68,7.4,0
Robert Rodriguez,93,4000,16000,25625110,Action|Crime|Thriller,Quentin Tarantino,Desperado ,138707,33758,0,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,USA,R,7000000,1995,12000,7.2,0
Michael Winterbottom,71,887,14000,403932,Drama|Romance|Western,Milla Jovovich,The Claim ,5254,17104,4,gold|gold mine|miner|railroad|surveyor,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,UK,R,20000000,2000,900,6.5,141
,54,1000,4000,,Crime|Drama|Thriller,Kirsten Dunst,Fargo             ,170055,19949,0,anthology|death|insurance salesman|minnesota|police officer,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,USA,TV-MA,,,1000,9.0,61000
Michael Anderson,112,440,1000,25000000,Action|Adventure|Sci-Fi,Farrah Fawcett,Logan's Run ,39847,2951,1,cat|computer|cult film|runner|sanctuary,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,USA,PG,9000000,1976,659,6.8,0
Guy Hamilton,118,244,16000,21000000,Action|Adventure|Thriller,Christopher Lee,The Man with the Golden Gun ,73950,17611,3,assassin|bikini|girl in a bikini|mission|secret agent,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,UK,PG,13000000,1974,387,6.8,2000
Craig R. Baxley,35,794,1000,20257000,Action|Comedy|Crime|Thriller,Bill Duke,Action Jackson ,7569,5282,2,murder|power|psychotronic|tough cop|union,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,USA,R,7000000,1988,841,5.2,978
Neil Marshall,342,159,513,26005908,Adventure|Horror|Thriller,MyAnna Buring,The Descent ,154938,1379,0,cave|expedition|friendship between women|group of friends|survival horror,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,UK,R,3500000,2005,239,7.2,10000
Don Kempf,14,69,13000,18642318,Documentary|Sport,Bill Murray,Michael Jordan to the Max ,1723,13448,0,basketball|basketball player|character name in title|chicago bulls|imax,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,USA,,,2000,366,7.5,407
Matt Bettinelli-Olpin,137,270,971,15818967,Horror|Mystery,Zach Gilford,Devil's Due ,13913,2517,0,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,USA,R,7000000,2014,479,4.0,0
David O. Russell,50,380,718,14891000,Comedy,Lily Tomlin,Flirting with Disaster ,15088,2240,3,adoption|armpit fetish|mistaken identity|new mexico|overalls,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,USA,R,7000000,1996,524,6.8,824
Rob Zombie,261,597,1000,16901126,Crime|Horror,Sid Haig,The Devil's Rejects ,76267,3544,0,escape|police|road trip|sheriff|texas,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,USA,R,7000000,2005,649,6.9,0
,96,970,4000,,Action|Drama|Fantasy|Romance,Sarah Michelle Gellar,Buffy the Vampire Slayer             ,101902,7970,0,action heroine|coming of age|destiny|double life|vampire,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,USA,TV-14,2300000,,3000,8.2,6000
Rick Famuyiwa,180,190,637,17474107,Comedy|Crime|Drama,Kimberly Elise,Dope ,56605,1342,3,african american|geek|hip hop|party|tomboy,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,USA,R,7000000,2015,256,7.3,23000
Michael Rymer,28,826,1000,14003141,Crime|Drama|Thriller,LL Cool J,In Too Deep ,4598,4837,1,cunnilingus|oral sex|police|sex scene|undercover,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,USA,R,7000000,1999,865,6.1,375
Sam Mendes,750,393,883,304360277,Action|Adventure|Thriller,Albert Finney,Skyfall ,522048,2039,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,UK,PG-13,200000000,2012,563,7.8,80000
Rob Zombie,202,303,1000,12583510,Horror,Sid Haig,House of 1000 Corpses ,60709,2444,0,actor playing multiple roles|axe|dark comedy|masked man|sadism,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,USA,R,7000000,2003,340,6.0,0
Sharron Miller,8,23,246,,Horror,Bernard Fox,Alien Zone ,440,345,0,affair|child murderer|mortician|strangulation|supernatural power,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,USA,PG,350000,1978,29,4.1,44
Ethan Coen,341,98,816,9190525,Comedy|Drama,Michael Stuhlbarg,A Serious Man ,102125,1120,1,bar mitzvah|jewish|marital breakup|nose job|rabbi,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,USA,R,7000000,2009,105,7.0,10000
Aaron Schneider,160,970,13000,9176553,Drama|Mystery,Bill Murray,Get Low ,19147,19330,1,funeral|funeral home|hermit|party|secret,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,USA,PG-13,7500000,2009,3000,7.1,0
Steve Miner,31,304,687,9094451,Action|Fantasy|Horror|Thriller,Julian Sands,Warlock ,11668,1990,0,17th century|book|death|warlock|witch hunter,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,USA,R,7000000,1989,554,6.2,0
Gina Prince-Bythewood,71,658,893,14612840,Drama|Music,Minnie Driver,Beyond the Lights ,11191,3110,1,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,USA,PG-13,7000000,2014,664,6.9,0
Tom Ford,281,292,14000,9166863,Drama|Romance,Colin Firth,A Single Man ,83182,14816,2,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,USA,R,7000000,2009,343,7.6,16000
Martin Scorsese,114,159,883,8373585,Drama,Irvin Kershner,The Last Temptation of Christ ,39680,1934,0,carpenter|exorcism|faith|reference to jesus christ|temptation,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,USA,R,7000000,1988,618,7.6,0
Michael Corrente,72,407,761,7292175,Comedy|Drama|Romance,Jonathan Brandis,Outside Providence ,7736,2018,3,class|cornwall connecticut|dog|friend|pawtucket rhode island,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,USA,R,7000000,1999,412,6.4,0
Gurinder Chadha,119,397,729,6601079,Comedy|Drama|Musical|Romance,Indira Varma,Bride & Prejudice ,17436,2321,1,bollywood|india|jane austen|london england|travel,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,UK,PG-13,7000000,2004,579,6.2,0
Phillip Noyce,74,46,116,6165429,Adventure|Biography|Drama|History,Roy Billing,Rabbit-Proof Fence ,23486,312,1,aborigine|based on true story|colonialism|fence|half caste,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,Australia,PG,6000000,2002,93,7.5,0
Don Michael Paul,25,442,692,5694308,Comedy|Sport,Jeffrey Jones,Who's Your Caddy? ,13815,3128,0,2000s|golf caddy|golf course|golfer|question mark in title,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,USA,PG-13,7000000,2007,585,2.0,446
Tony Maylam,39,38,206,5430822,Action|Crime|Horror|Sci-Fi|Thriller,Michael J. Pollard,Split Second ,8391,493,0,appearing from water|breasts|creature|partner|water,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,UK,R,7000000,1992,192,6.2,0
