num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,num_voted_users,imdb_score,movie_facebook_likes
77,472,787,Cole Hauser,13210,5.8,269
350,10000,17000,Kristen Stewart,348010,5.2,19000
81,499,651,Thomas Lennon,14147,5.6,401
81,153,302,Andy Dick,23076,5.3,1000
222,173,1000,Ronald Reagan,35137,7.4,10000
27,202,940,Martin Landau,6484,6.6,1000
155,233,8000,Julia Roberts,20186,6.2,0
111,329,869,Carmen Electra,74945,1.9,0
107,163,137000,Andrew Fiscella,26236,5.7,0
34,507,13000,Bill Murray,23928,6.6,0
151,783,11000,Chris Evans,58957,6.0,0
289,80,788,Joseph Gilgun,82082,6.1,10000
76,62,1000,Amy Poehler,26390,4.8,713
150,926,26000,Jason Statham,112516,6.2,0
67,967,1000,Jim Broadbent,29385,7.5,979
36,85,541,James Callis,5796,6.3,0
149,83,3000,Brendan Fraser,24019,7.1,983
156,385,12000,Nicolas Cage,69172,6.6,0
64,565,922,Fisher Stevens,21542,6.1,977
210,31,346,Aasif Mandvi,60516,6.7,0
113,347,969,Taylor Cole,22823,5.6,0
390,884,17000,Chloë Grace Moretz,92237,7.2,25000
5,181,400,Victor Wong,6701,4.3,444
248,270,734,Quinton Aaron,79855,6.4,0
137,99,5000,Bob Hoskins,13505,7.1,0
214,968,14000,Kate Winslet,32567,6.3,0
104,223,11000,Woody Allen,35586,7.4,0
81,677,2000,Matthew Perry,16372,6.1,311
175,580,14000,Bradley Cooper,61360,6.6,25000
20,383,22000,Robert De Niro,17349,6.0,855
69,2,1000,Natasha Lyonne,30083,6.8,0
168,548,22000,Peter Dinklage,89547,7.4,0
166,725,856,Aisha Tyler,60156,6.8,0
160,148,22000,Robert De Niro,49855,7.2,10000
32,177,650,Scott Baio,25371,1.9,0
72,69,688,Miguel Ferrer,21933,5.5,676
53,436,716,Callum Rennie,9785,4.5,233
76,463,786,Debbie Reynolds,6838,6.3,924
15,388,683,Sammy Davis Jr.,3454,7.0,548
401,175,204,Martin Dew,61935,6.7,18000
31,593,787,Jimmy Fallon,3851,2.8,346
65,826,997,Chris Brown,7894,5.0,0
26,376,1000,LeVar Burton,15612,7.5,0
45,633,885,Chriss Anglin,8560,4.3,797
260,99,2000,Alexa PenaVega,59248,5.6,48000
129,86,669,Laura Harring,15169,6.2,0
58,522,1000,Kevin Alejandro,18571,5.3,847
103,149,1000,Jim Broadbent,10037,7.4,608
45,975,1000,Tom Wilkinson,15978,7.4,15000
345,691,13000,Michael Fassbender,80617,6.5,36000
232,407,21000,Robert Downey Jr.,89383,7.1,0
116,956,18000,Gerard Butler,24997,7.2,13000
148,81,310,Catherine Lough Haggquist,37626,2.3,1000
79,181,690,Scott Porter,11958,6.4,1000
167,430,829,Cameron Bright,29649,6.1,0
350,745,1000,David Oyelowo,45799,7.0,0
25,544,1000,Landon Liboiron,6904,6.5,971
99,9,20,Dylan Authors,14301,7.0,0
231,228,23000,Christian Bale,48346,7.0,0
119,619,15000,Henry Cavill,28629,4.9,0
182,446,975,Zachary Gordon,41737,6.9,0
245,631,22000,Philip Seymour Hoffman,55842,7.5,13000
174,745,893,Minnie Driver,221552,8.4,11000
69,413,572,Isabelle Adjani,4293,6.9,235
26,161,801,Steve Guttenberg,2998,4.5,1000
168,430,1000,Ray Winstone,43205,7.4,0
27,400,2000,Donny Boaz,2302,7.0,0
28,587,836,Damon Wayans,4518,2.8,241
146,722,23000,Christian Bale,261317,7.5,20000
67,2,991,Radha Mitchell,8087,7.1,1000
93,977,9000,Charlize Theron,16215,6.4,401
28,231,979,Chazz Palminteri,14015,6.7,831
131,188,11000,Brad Pitt,7976,5.3,0
105,101,488,William Hootkins,13727,6.9,973
21,407,18000,Gerard Butler,2613,6.2,445
140,902,33000,Ryan Gosling,41249,6.3,0
9,324,699,Esai Morales,3843,6.4,399
83,3,46,Jiao Xu,11391,6.5,1000
8,11,106,Christian Clavier,7147,6.0,136
138,311,403,Marco St. John,13026,5.1,0
42,442,14000,Al Pacino,9868,5.5,217
,9,310,Peter Vaughan,18,7.2,0
92,181,3000,Djimon Hounsou,6147,5.4,0
140,648,9000,Emma Watson,20821,5.7,0
,51,344,Necar Zadegan,118,5.2,30
29,60,483,Andy Lau,5154,6.2,314
29,716,18000,Gerard Butler,25450,6.7,0
39,700,12000,Leonard Nimoy,5203,5.8,1000
2,7,109,Mani Bharathi,102,7.0,58
2,53,729,Joey D. Vieira,50,4.8,70
,897,22000,Robert De Niro,178,7.2,0
64,889,14000,Milla Jovovich,21833,5.6,0
120,897,12000,Nicolas Cage,43879,6.4,11000
143,7,2000,Toby Jones,77656,7.5,0
160,155,486,Moritz Bleibtreu,29602,7.4,0
92,232,933,Mary McDonnell,186485,8.0,0
286,384,3000,Justin Timberlake,160418,5.7,16000
43,551,14000,Al Pacino,30213,6.8,0
69,528,1000,Dan Byrd,62861,5.9,0
242,157,611,David Arquette,222018,7.2,11000
149,670,1000,Shannon Elizabeth,65512,5.5,0
253,413,888,Scatman Crothers,610333,8.4,37000
198,459,1000,Lea Thompson,732212,8.5,39000
