num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
143,13,432,Lee Armstrong,169719,Fantasy|Horror,Escape from Tomorrow ,2483,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,79,English,Not Rated,,511,0
21,2,442,Harvey Weinstein,,Documentary,Starsuckers ,1683,0,celebrity|consumerism|fashion|media manipulation,8,English,,400000,474,203
1,0,21,Dave Fennoy,,Documentary,The Hadza: Last of the First ,1359,1,east africa|hunter gatherer|indigenous|rift valley|swahili,1,English,,650000,338,5
34,4,258,Madison Lintz,,Fantasy|Horror|Mystery|Thriller,After ,1553,0,coma|crash,27,English,PG-13,650000,385,1000
5,4,2000,Lorraine Ziff,,Drama|Thriller,Treachery ,283939,5,panties|white panties,5,English,,625000,21000,0
10,7,912,Justin Kirk,,Comedy|Drama,Walter ,4767,2,based on short film|based on short story,19,English,,700000,945,0
66,10,23,Edward Everett Horton,3000000,Comedy|Musical|Romance,Top Hat ,824,2,dance|dancer|dancing|horse|tap dancing,98,English,Approved,609000,172,1000
360,19,39,Joshua Leonard,140530114,Horror,The Blair Witch Project ,399,0,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,3400,English,R,60000,170,0
53,14,136,Jimi Hendrix,13300000,Documentary|History|Music,Woodstock ,778,0,drugs|hippie|music festival|the who|woodstock,63,English,R,600000,227,0
82,644,11,Barry Dennen,,Comedy,The Kentucky Fried Movie ,190,0,fake commercial|fake newscast|fake trailer|parody|spoof,109,English,R,650000,29,0
15,16,254,David A.R. White,171988,Action|Crime|Drama,Mercy Streets ,1281,1,church|cigarette smoking|deacon|twin brother|twins,16,English,PG-13,600000,266,12
,0,20,Matthew Feeney,23616,Mystery|Thriller,Arnolds Park ,85,4,,4,English,PG-13,600000,20,11
18,4,218,Jason London,13493,Drama,Broken Vessels ,2288,0,independent film|katana sword|los angeles storm drain,19,English,R,600000,711,51
,12,359,Angela Nordeng,79043,Crime|Drama,Water & Power ,2241,0,,,English,Not Rated,,371,358
22,0,0,Garba Touré,,Documentary,They Will Have to Kill Us First ,0,3,,2,French,,400000,0,34
15,3,0,Colin Andrews,,Documentary,Crop Circles: Quest for Truth ,0,0,crop circle|intelligence|paranormal|phenomenon|universe,13,English,,750000,0,32
,0,271,Steven Michael Quezada,,Action|Drama|Thriller,Light from the Darkroom ,1754,0,china|faith|panama|photography|suspense,1,English,PG-13,600000,412,9
18,12,2,Félix Moati,,Comedy|Drama,Irreplaceable ,553,2,doctor|hospital|mayor|no opening credits|title at the end,1,French,,,8,36
8,5,233,Annabella Sciorra,,Thriller,The Maid's Room ,1707,0,,9,English,,600000,448,128
105,44,704,Ringo Starr,515005,Comedy|Musical,A Hard Day's Night ,2538,1,boy|concert|drummer|manager|television,219,English,Approved,560000,725,0
3,6,,,2245,Documentary,The Harvest/La Cosecha ,0,0,child labor|education|hispanic|labor|migration,2,English,,560000,,88
4,11,221,Sally Kirkland,,Drama|Romance,Love Letters ,2996,1,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,9,English,R,550000,433,7
2,0,0,Spela Colja,,Comedy,Julija in alfa Romeo ,0,6,,2,Slovenian,,500000,0,18
50,589,150,Ken Bevel,33451479,Drama|Romance,Fireproof ,1164,0,christian film|dare|firefighter|internet pornography|marriage,215,English,PG,500000,153,0
19,95,0,Pant Shirt Baba,,Biography|Documentary|Drama,Faith Connections ,0,1,faith|ganja|kumbh mela|little boy|orphan,3,Hindi,,550000,0,126
5,24,142,Peter Breck,39552600,Adventure|Family|Romance,Benji ,1090,0,animal abuse|cat|dog|dog movie|tween girl,36,English,G,500000,189,816
235,9,7,Saul Stein,30500882,Adventure|Biography|Drama|Horror|Thriller,Open Water ,67,1,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,916,English,R,500000,10,0
8,490,201,Matt Jones,,Comedy,High Road ,2295,6,,3,English,R,,523,244
95,8,22,Hoke Howell,17000000,Horror|Sci-Fi,Kingdom of the Spiders ,516,0,death|farm|hotel|spider|tarantula,84,English,PG,500000,23,0
84,2,0,Eva Carrozza,8044906,Documentary|Family|Music,Mad Hot Ballroom ,0,2,ballroom dancing|new york city|poise|self confidence|teacher,65,English,PG,,0,588
154,310,587,Joe Lo Truglio,5739376,Comedy|Drama,The Station Agent ,24419,0,abandoned|depot|dwarf|newfoundland new jersey|train,286,English,R,500000,833,0
20,3,234,Sean Michael Afable,3773863,Drama,To Save a Life ,2563,1,basketball|beer pong|childhood friend|christian|suicide,55,English,PG-13,1000000,801,0
88,3,2,Bill Clinton,3117666,Documentary,Wordplay ,382,0,comedian|crossword puzzle|editor|new york times|puzzle,43,English,PG,,184,694
70,6,43,Vince McMahon,2047570,Biography|Documentary|Sport,Beyond the Mat ,194,3,championship|drugs|three word title|wrestler|wrestling,80,English,R,500000,44,491
5,0,15,Lincoln Hoppe,1250798,Comedy|Drama|Romance,The Singles Ward ,161,0,church|love|marriage|mormon|single,53,English,PG,500000,24,43
105,6,0,Zubaida Sahar,1127331,Drama,Osama ,30,1,boy|girl|hair|school|taliban,77,Dari,PG-13,46000,0,0
29,0,59,Peter Riegert,906666,Documentary,Sholem Aleichem: Laughing in the Darkness ,660,1,jewish identity,5,English,Unrated,500000,169,287
46,7,17,Ari Gold,1114943,Drama|Music,Groove ,407,0,dj|ecstasy the drug|rave|raver|warehouse,74,English,R,500000,27,0
3,0,17,Big Budah,1111615,Comedy|Crime|Family,The R.M. ,155,0,latter day saints|missionary|pickup truck|police|video camera,34,English,PG,500000,34,44
54,35,482,William Katt,985341,Drama,Twin Falls Idaho ,3166,0,conjoined twins|independent film|low budget film|separation|twin,87,English,R,500000,505,180
126,9,595,Scott Mechlowicz,603943,Crime|Drama,Mean Creek ,2655,0,boat|bully|dare|friend|river,154,English,R,500000,634,1000
17,204,474,Heather Matarazzo,334041,Crime|Drama|Romance,Hurricane Streets ,2322,3,gang|new mexico|prison|smuggling|theft,21,English,R,500000,529,51
25,71,658,Bill Duke,295468,Comedy|Romance,Never Again ,24382,1,bar|gay bar|love|mother son relationship|new york,34,English,R,500000,1000,139
11,21,469,LisaRaye McCoy,243347,Crime|Drama|Thriller,Civil Brand ,2555,3,abuse of power|friendship|prison|prison guard|title directed by female,24,English,R,500000,485,86
81,12000,213,Seymour Cassel,154077,Comedy|Drama,Lonesome Jim ,1440,0,bail|coma|dart board|indiana|ladder factory,53,English,R,500000,327,238
155,217,243,Anna Kendrick,342936,Comedy|Drama|Romance,Drinking Buddies ,20480,5,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,106,English,R,,10000,0
39,0,49,Ricky Jay,151389,Documentary,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,483,0,stage magician,7,English,,500000,79,590
153,0,4,Minoru Chiaki,269061,Action|Adventure|Drama,Seven Samurai ,338,6,16th century|battle|japan|practice|samurai,596,Japanese,Unrated,2000000,8,11000
26,6,8,Greg Speirs,133778,Documentary|Sport,The Other Dream Team ,44,1,basketball|basketball team|grateful dead|lithuanian|olympics,9,English,Not Rated,500000,9,0
10,32,329,Tina Louise,,Comedy|Music|Romance,Johnny Suede ,11839,0,idol|musician|vomiting|watching television|wyoming,24,English,R,500000,422,344
35,681,143,Jake Sandvig,52850,Comedy,Finishing the Game: The Search for a New Bruce Lee ,734,0,bruce lee|jeet kune do|karate|satire|spoof,12,English,Not Rated,500000,172,155
230,248,196,Jack Plotnick,98017,Comedy|Fantasy|Horror,Rubber ,1498,0,desert|dump|show|spectator|tire,170,English,R,500000,248,46000
165,12,183,Matt Jones,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home ,17883,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,English,PG,135000000,523,26000
