director_name,duration,actor_2_name,actor_1_name,cast_total_facebook_likes,actor_3_name,language,country,budget,title_year,aspect_ratio
James Wong,85,Jet Li,Jason Statham,32831,Delroy Lindo,English,USA,49000000,2001,2.35
,64,Graham McTavish,Tobias Menzies,1863,Stephen Walters,English,USA,,,16.0
Renny Harlin,104,Gilbert Gottfried,Lauren Holly,2795,David Patrick Kelly,English,USA,40000000,1990,2.35
Richard Curtis,135,Charlie Rowe,Philip Seymour Hoffman,24316,Tom Sturridge,English,UK,,2009,2.35
Steven Soderbergh,190,Jacob Vargas,Michael O'Neill,1418,James Lew,English,USA,48000000,2000,1.85
Steven Spielberg,127,Julian Glover,Harrison Ford,12884,Alison Doody,English,USA,48000000,1989,2.35
Joe Wright,129,Guro Nagelhus Schia,Kelly Macdonald,2035,Matthew Macfadyen,English,UK,,2012,2.35
Neill Blomkamp,120,Sharlto Copley,Hugh Jackman,23051,Jose Pablo Cantillo,English,USA,49000000,2015,2.35
Phillip Noyce,118,Angelina Jolie Pitt,Denzel Washington,29748,Leland Orser,English,USA,48000000,1999,2.35
David Fincher,112,Dwight Yoakam,Kristen Stewart,18141,Mel Rodriguez,English,USA,48000000,2002,2.35
Chuck Bowman,89,Lochlyn Munro,P.J. Soles,2353,Steve Bacic,English,USA,1500000,2006,1.78
David O. Russell,114,Jamie Kennedy,Judy Greer,3743,Mykelti Williamson,English,USA,48000000,1999,2.35
Daniel Espinosa,137,Fares Fares,Tom Hardy,27666,Michael Nardone,English,Czech Republic,50000000,2015,2.35
Jerry Zucker,112,Douglas Haase,Corinna Harney,1823,Vince Vieluf,English,Canada,48000000,2001,2.35
Iain Softley,120,Jeff Bridges,Kevin Spacey,33615,Alfre Woodard,English,USA,48000000,2001,2.35
James Mangold,123,Natasha Lyonne,Hugh Jackman,22209,Bradley Whitford,English,USA,48000000,2001,1.85
Harold Ramis,93,Frances O'Connor,Brendan Fraser,5390,Brian Doyle-Murray,English,USA,48000000,2000,2.35
Francis Ford Coppola,123,Bob Hoskins,Nicolas Cage,18793,Fred Gwynne,English,USA,58000000,1984,1.85
James Mangold,122,Logan Lerman,Christian Bale,33548,Gretchen Mol,English,USA,55000000,2007,2.35
Olivier Megaton,115,Dougray Scott,Liam Neeson,16967,Jon Gries,English,France,48000000,2014,2.35
Steven Soderbergh,123,Albert Brooks,Don Cheadle,3768,Keith Hudson,English,USA,48000000,1998,1.85
Ben Stiller,96,Janeane Garofalo,Matthew Broderick,3718,Andy Dick,English,USA,47000000,1996,2.35
Deepa Mehta,110,Gulshan Grover,Nandita Das,371,Eric Peterson,Hindi,India,,1998,
Warren Beatty,105,Warren Beatty,Charlie Korsmo,2096,Seymour Cassel,English,USA,100000000,1990,1.85
John McTiernan,113,Faye Dunaway,Mark Margolis,4660,Denis Leary,English,USA,48000000,1999,2.35
Penny Marshall,132,Adam Garcia,Rosie Perez,4796,Alissa Dean,English,USA,48000000,2001,1.85
Ted Kotcheff,93,Brian Dennehy,Sylvester Stallone,15192,Chris Mulkey,English,USA,14000000,1982,2.35
Andrei Tarkovsky,115,Anatoliy Solonitsyn,Donatas Banionis,95,Natalya Bondarchuk,Russian,Soviet Union,1000000,1972,2.35
Paul Bolger,75,George Carlin,Sarah Michelle Gellar,6863,Rob Paulsen,English,USA,47000000,2006,1.85
Stephen Frears,108,Bronagh Gallagher,Julia Roberts,8349,George Cole,English,USA,47000000,1996,1.85
