director_name,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Mark Tonderai,13,Nolan Gerard Funk,31607598,Drama|Horror|Thriller,Jennifer Lawrence,58366,35717,Gil Bellows,1,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,Canada,PG-13,6900000,2012,924,2.35,10000
Denis Villeneuve,777,Mélissa Désormeaux-Poulin,6857096,Drama|Mystery|War,Lubna Azabal,80429,343,Ahmad Massad,0,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,Canada,R,6800000,2010,66,1.85,37000
Gabriele Muccino,125,Silvio Muccino,223878,Comedy|Drama|Romance,Laura Morante,3548,132,Giulia Michelini,1,box office hit|dancer|sex scene|television|underage sex,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,Italy,R,5000000,2003,29,2.35,282
Ian Fitzgibbon,11,Brendan Coyle,828,Action|Comedy|Crime|Drama|Romance|Thriller,Jim Broadbent,5133,2728,Michael McElhatton,8,burglary|estranged father|money|neighbor|thug,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,Ireland,R,,2009,418,2.35,663
José Padilha,294,Fernanda Machado,8060,Action|Crime|Drama|Thriller,Wagner Moura,81644,666,André Ramiro,1,brazil|military police|police|rio de janeiro brazil|slum,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,Brazil,R,4000000,2007,39,1.85,11000
John R. Leonetti,40,Annabelle Wallis,84263837,Horror|Mystery,Alfre Woodard,81699,2323,Gabriel Bateman,0,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,USA,R,6500000,2014,421,2.35,45000
Rachel Perkins,3,Magda Szubanski,110029,Comedy|Drama|Musical,Deborah Mailman,1388,225,Jessica Mauboy,7,australia|journey|love|priest|traveling,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,Australia,PG-13,6500000,2009,46,2.35,479
John Singleton,309,Lloyd Avery II,57504069,Crime|Drama,John Cothran,94139,106,Na'Blonka Durden,2,drugs|escape|football|friend|violence,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,USA,R,6000000,1991,26,1.85,0
Luis Valdez,7,Rosanna DeSoto,54215416,Biography|Drama|Music,Esai Morales,21409,936,Danielle von Zerneck,1,crash|hispanic|interracial relationship|interracial romance|racism,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,USA,PG-13,6500000,1987,63,1.85,0
Alan Alda,0,Len Cariou,,Comedy|Drama,Rita Moreno,3157,1285,Sandy Dennis,2,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,USA,PG,,1981,167,1.85,337
Brian De Palma,0,David Margulies,31899000,Mystery|Romance|Thriller,Angie Dickinson,23986,2442,Nancy Allen,0,apartment|elevator|murder|psychiatrist|sunglasses,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,USA,X,6500000,1980,567,2.35,0
Stephen Sommers,208,Frances Conroy,24103594,Adventure|Comedy|Drama|Family,Curtis Armstrong,6384,4840,Anne Heche,0,boy|lesson|mississippi river|river|slave,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,USA,PG,6500000,1993,827,1.85,391
Doug Liman,218,Jay Mohr,16842303,Comedy|Crime,Sarah Polley,59474,2475,Scott Wolf,3,drug deal|drugs|sex|sex on stairs|strip club,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,USA,R,6500000,1999,563,2.35,0
Nicole Holofcener,132,Marin Hinkle,13367101,Comedy|Drama|Romance,Greg Germann,19715,1140,Jake Cherry,2,friend|friendship|marital problem|money problems|nervous breakdown,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,USA,R,6500000,2006,230,2.35,515
Robert Wise,338,Paula Kelly,,Sci-Fi|Thriller,David Wayne,25857,394,Eric Christmas,0,alien|baby|new mexico|satellite|scientist,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,USA,G,6500000,1971,112,2.35,0
Louis Morneau,38,Bob Gunton,10149779,Horror|Sci-Fi|Thriller,Leon,8294,1405,Ned Bellamy,0,animal attack|bat|creature feature|experiment|mad scientist,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,USA,PG-13,6500000,1999,461,2.35,342
Caroline Link,11,Juliane Köhler,6173485,Biography|Drama,Merab Ninidze,10672,105,Matthias Habich,0,breasts|farm|jew|kenya|tween girl,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,Germany,R,7000000,2001,36,2.35,802
Steve McQueen,0,Nicole Beharie,4000304,Drama,Michael Fassbender,145395,15230,James Badge Dale,0,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,UK,NC-17,6500000,2011,898,2.35,23000
Matthew Vaughn,905,Sally Hawkins,2338695,Crime|Drama|Thriller,Tom Hardy,134070,29277,Jamie Foreman,1,cake|cocaine|drugs|pills|serbian,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,UK,R,4000000,2004,594,2.35,0
