duration,actor_2_name,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,num_user_for_reviews,language,country,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
90,Monica Calhoun,890,Comedy|Drama,The Salon ,3138,5,English,USA,597,1.85,68
98,Jim O'Heir,563,Comedy,Road Hard ,2628,11,English,USA,485,,212
108,Jenny O'Hara,826,Drama|Music|Romance,Forty Shades of Blue ,1240,26,English,USA,189,1.85,216
124,John Arcilla,38,Drama|War,Amigo ,60,8,English,USA,8,,594
95,Georgina Reilly,413,Fantasy|Horror,Pontypool ,721,142,English,Canada,98,2.35,0
90,Joey Lauren Adams,87000,Drama,Trucker ,89263,22,English,USA,781,2.35,371
93,Jaime Zevallos,310,Comedy|Drama|Romance,Me You and Five Bucks ,771,,English,USA,228,,132
101,Dee Wallace,1000,Drama|Fantasy|Horror|Thriller,The Lords of Salem ,5158,166,English,USA,725,2.35,15000
107,Bruce Hopkins,61,Comedy|Horror|Mystery,Housebound ,165,83,English,New Zealand,46,2.35,10000
20,Jon Hunter,0,Documentary,Wal-Mart: The High Cost of Low Price ,0,70,English,USA,0,1.85,0
87,Sarah Lind,199,Drama|Fantasy|Romance,Fetching Cody ,596,10,English,Canada,134,,193
98,Michael Rapaport,979,Comedy|Drama,Once Upon a Time in Queens ,4036,7,English,USA,975,1.89,283
112,Joe Armstrong,129,Comedy|Drama,Closer to the Moon ,588,13,English,Romania,98,2.35,0
82,Amber Marshall,341,Sci-Fi,Mutant World ,967,10,English,Canada,265,,236
102,Jake Busey,3000,Comedy|Drama|Family,Growing Up Smith ,4320,1,English,USA,660,1.85,232
97,Johnny Messner,835,Action|Crime|Thriller,Checkmate ,2882,18,English,USA,522,2.35,402
130,Robert Duvall,10000,Action|Crime|Mystery|Thriller,Jack Reacher ,16385,448,English,USA,3000,2.35,38000
101,Balthazar Getty,501,Drama|Horror|Mystery|Thriller,#Horror ,1044,42,English,USA,418,,750
93,Glen Powell,708,Action|Horror|Thriller,Wind Walkers ,2870,2,English,USA,571,,135
83,Billy Gilbert,82,Animation|Family|Fantasy|Musical,Snow White and the Seven Dwarfs ,229,204,English,USA,47,1.37,0
106,Mercedes Morán,341,Drama,The Holy Girl ,358,37,Spanish,Argentina,5,1.85,57
113,Woody Strode,984,Western,Shalako ,2140,41,English,UK,423,2.35,209
94,Gabriel Beristain,87,Adventure|Comedy|Horror,Incident at Loch Ness ,256,63,English,UK,70,1.85,400
101,Christina Moore,1000,Drama,The Dog Lover ,2419,8,English,USA,301,2.35,724
99,Adam DiMarco,756,Horror|Thriller,Girl House ,2072,33,English,Canada,382,2.35,969
76,Léa Drucker,412,Crime|Romance|Thriller,The Blue Room ,421,16,French,France,4,1.33,389
91,Jonathan Mangum,847,Horror|Thriller,House at the End of the Drive ,1159,6,English,USA,147,,223
105,Cesar Romero,1000,Adventure|Comedy|Family,Batman: The Movie ,2658,155,English,USA,370,1.85,0
120,Jason Flemyng,26000,Comedy|Crime,"Lock, Stock and Two Smoking Barrels ",28294,523,English,UK,1000,1.85,21000
105,Bruce McGill,883,Western,The Ballad of Gregorio Cortez ,3164,2,English,USA,655,,32
120,Michael Douglas,416,Action|Crime|Drama|Mystery,The Streets of San Francisco             ,416,13,English,USA,0,4.0,533
105,Paprika Steen,280,Drama,The Celebration ,821,258,Danish,Denmark,278,1.33,5000
95,Debi Mazar,12000,Comedy|Drama,Trees Lounge ,14420,65,English,USA,680,1.85,872
135,Kieu Chinh,51,Drama,Journey from the Fall ,83,19,Vietnamese,USA,24,1.85,100
105,Karen Allen,2000,Drama,The Basket ,3475,38,English,USA,783,1.85,117
83,Thure Lindhardt,413,Comedy|Horror,Eddie: The Sleepwalking Cannibal ,843,10,English,Canada,197,,932
111,Miko Hughes,13000,Action|Crime|Drama|Thriller,Mercury Rising ,16537,127,English,USA,969,2.35,0
60,Tucker Smallwood,210,Drama|Sci-Fi,Space: Above and Beyond             ,611,79,English,USA,121,1.33,963
135,Aziz Muradillayev,0,Action|Biography|Drama|History,Queen of the Mountains ,0,24,English,Kyrgyzstan,0,2.35,0
88,Lenore Zann,232,Action|Sci-Fi,Def-Con 4 ,289,46,English,Canada,23,1.85,220
87,Adam Goldberg,2000,Comedy,The Hebrew Hammer ,6227,53,English,USA,1000,1.85,3000
97,Uday Chopra,374,Comedy|Musical|Romance,Neal 'N' Nikki ,602,24,English,India,145,2.35,66
82,Bryan Callen,700,Comedy,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,1499,42,English,USA,460,1.85,0
103,Chloe Bridges,35000,Horror|Romance|Thriller,Forget Me Not ,38121,38,English,USA,516,2.35,969
130,Joan Fontaine,1000,Drama|Film-Noir|Mystery|Thriller,Rebecca ,2888,276,English,USA,991,1.37,0
87,Adrienne King,309,Horror|Mystery|Thriller,Friday the 13th Part 2 ,707,394,English,USA,121,1.85,0
101,Jane Wyman,287,Drama|Film-Noir,The Lost Weekend ,581,136,English,USA,160,1.37,0
96,John Heard,796,Horror|Sci-Fi,C.H.U.D. ,1866,88,English,USA,697,1.85,0
80,Jenni Rivera,2000,Drama|Music,Filly Brown ,2459,11,English,USA,245,2.35,0
87,Omar Benson Miller,578,Animation,The Lion of Judah ,1730,3,English,USA,418,1.78,381
92,Jean Peters,469,Crime|Film-Noir|Thriller,Niagara ,683,116,English,USA,79,1.37,1000
118,Walter Pidgeon,595,Drama|Family,How Green Was My Valley ,1129,124,English,USA,176,1.37,0
27,Riley Keough,934,Drama,The Girlfriend Experience             ,1961,17,English,USA,691,,632
123,Elvis Nolasco,3000,Comedy|Romance|Thriller,Da Sweet Blood of Jesus ,4040,9,English,USA,372,2.35,447
