num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_name,movie_title,actor_3_name,plot_keywords,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score
36,104,644,174,Louis Lombardi,Beverly Hills Cop III ,Gilbert R. Hill,california|counterfeit|counterfeit money|money|theme park,114,55000000,289,5.5
105,106,287,767,Christopher Lee,Gremlins 2: The New Batch ,Phoebe Cates,gremlin|horror host|hulk hogan|monster|skyscraper,148,50000000,823,6.3
276,141,71,3000,Robert Downey Jr.,The Judge ,Leighton Meester,courtroom|dysfunctional family|indiana|lawyer|trial,275,50000000,3000,7.4
93,124,75,258,Armin Mueller-Stahl,The Peacemaker ,Marcel Iures,nuclear explosion|nuclear weapon|russia|train|train crash,156,50000000,273,5.9
191,98,38,706,Milla Jovovich,Resident Evil: Apocalypse ,Mike Epps,cover up|monster|strong female character|strong female lead|zombie apocalypse,672,45000000,919,6.2
143,108,17,186,Colin Firth,Bridget Jones: The Edge of Reason ,Celia Imrie,american actress playing british character|intern|prison|six word title|thailand,259,40000000,1000,5.9
124,114,73,323,Denzel Washington,Out of Time ,John Billingsley,cancer|florida|insurance|life insurance policy|small town,157,50000000,886,6.5
47,101,0,158,Mike Starr,On Deadly Ground ,Sven-Ole Thorsen,environmental|murder|oil|oil spill|tribe,140,50000000,643,4.4
66,93,0,717,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D ,Taylor Dooley,boy|bully|dream|dream sequence|planet,177,50000000,722,3.5
118,119,0,39,Leonardo DiCaprio,The Beach ,Peter Youngblood Hills,love|map|paradise|thailand|travel,548,50000000,414,6.6
93,119,0,434,Amber Valletta,Raising Helen ,Spencer Breslin,fashion show|female protagonist|love|pastor|queens new york city,106,50000000,508,6.0
235,99,160,72,Shô Kosugi,Ninja Assassin ,Rain,critically bashed|kung fu|martial artist|martial arts|ninja,194,40000000,119,6.4
113,137,0,432,J.K. Simmons,For Love of the Game ,Carmine Giovinazzo,baseball|baseball movie|detroit tigers|perfect game|pitcher,226,50000000,743,6.5
14,105,,5,David Jason,A Touch of Frost             ,John Lyons,cult tv|death|detective inspector|four word title|internal affairs,33,,7,7.8
51,117,31,210,Demi Moore,Striptease ,Paul Guilfoyle,bouncer|breasts|congressman|private dancer|stripper,118,40000000,472,4.3
98,87,9,1000,Emma Stone,Marmaduke ,Steve Coogan,dog|great dane|rivalry|talking animal|talking cat,65,50000000,2000,4.2
315,129,16000,447,Matt Damon,Hereafter ,Cécile De France,death|france|near death experience|tsunami|twin brother,323,50000000,563,6.5
136,115,58,401,Ryan Gosling,Murder by Numbers ,Agnes Bruckner,disposing of a dead body|high school student|murder|sociopath|teenage boy,302,50000000,455,6.1
61,132,503,282,Muse Watson,Assassins ,Kelly Rowan,assassin|floppy disk|modem|rival|russian,84,50000000,13000,6.3
209,131,73,163,Li Gong,Hannibal Rising ,Richard Brake,aunt|cannibalism|faked death|medical student|revenge,392,50000000,184,6.2
99,95,0,323,Bruce Willis,The Story of Us ,Rita Wilson,four word title|husband wife relationship|male rear nudity|marriage|summer camp,150,50000000,559,5.9
298,125,487,201,J.D. Evermore,The Host ,Rachel Roberts,alien|alien creature|body snatching|desert|parasite,347,40000000,329,5.9
131,98,323,511,Connie Nielsen,Basic ,Tim Daly,2000s|army|military crime|necklace yanked off|panama,286,50000000,631,6.5
146,110,16000,581,Clint Eastwood,Blood Work ,Rick Hoffman,boat|heart transplant|murder|serial killer|sister,260,50000000,1000,6.4
245,118,670,294,Naomi Watts,The International ,Armin Mueller-Stahl,bank|chase|district attorney|interpol|murder,190,50000000,450,6.5
104,101,0,764,Steve Buscemi,Escape from L.A. ,Michelle Forbes,escape|island|los angeles california|machismo|president's daughter,227,50000000,898,5.7
4,60,,398,Grey Damon,Twisted             ,Aaron Hill,,22,,512,7.5
162,90,663,521,Vin Diesel,The Iron Giant ,M. Emmet Walsh,boy|friend|government agent|maine|robot,514,70000000,631,8.0
259,119,0,639,Bill Murray,The Life Aquatic with Steve Zissou ,Matthew Gray Gubler,expedition|oceanographer|sea|shark|team,632,50000000,1000,7.3
79,139,378,303,Matthew McConaughey,Free State of Jones ,Jessica Collins,american civil war|civil war|u.s. civil war,47,50000000,552,6.7
141,130,317,256,Kevin Spacey,The Life of David Gale ,Matt Craven,activist|death|death row|murder|texas,420,50000000,14000,7.5
59,100,65,730,Christina Milian,Man of the House ,Kelli Garner,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,94,40000000,923,5.4
236,114,174,655,Liam Neeson,Run All Night ,Bruce McGill,death|drug dealer|limousine|limousine driver|one night,205,50000000,988,6.6
356,96,0,509,Viggo Mortensen,Eastern Promises ,Raza Jaffrey,male pubic hair|pubic hair|russian|sex scene|turkish bath,398,25000000,6000,7.7
120,110,134,795,Paul Walker,Into the Blue ,Ashley Scott,bahamas|blood splatter|cocaine|hairy chest|shark,208,50000000,1000,5.8
111,158,0,15,Paul Brooke,The Messenger: The Story of Joan of Arc ,Rab Affleck,cathedral|dauphin|france|trial|wartime rape,390,390000000,40,6.4
208,102,234,11000,Natalie Portman,Your Highness ,James Franco,knight|prince|quest|rescue|thong bikini,274,49900000,11000,5.6
174,84,260,692,Naomi Watts,Dream House ,Sarah Gadon,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,137,55000000,694,6.0
59,115,333,317,Mia Kirshner,Mad City ,William Atherton,hostage|museum|natural history museum|news reporter|reporter,73,50000000,713,6.2
22,99,32,479,Joe Mantegna,Baby's Day Out ,Cynthia Nixon,baby|baby boy|kidnapping|kidnapping a child|taxi,78,50000000,619,5.9
34,135,596,2000,Gary Oldman,The Scarlet Letter ,Demi Moore,17th century|adultery|letter|pubic hair|swimming,90,50000000,3000,5.1
