actor_2_name,num_voted_users,country,actor_2_facebook_likes
Helen Hayes,3519,USA,164
Brandy Norwood,1180,USA,509
Colleen O'Shaughnessey,5164,USA,45
Patrick Fugit,40274,USA,835
Stéphane Rousseau,24921,Canada,28
Denholm Elliott,8930,USA,249
Kerr Smith,7319,USA,591
Carl Weathers,13587,UK,794
Gedde Watanabe,21416,USA,448
Joel David Moore,67853,USA,936
Kevin Corrigan,9427,USA,778
Woody Strode,216005,Italy,423
Faizon Love,15053,USA,585
Matt Berry,260607,UK,572
Jami Gertz,2719,USA,847
Guillaume Denaiffe,296,UK,0
Sarah Polley,26720,Canada,900
Michael Lonsdale,12411,France,135
Freddy Rodríguez,12233,USA,579
Tim Thomerson,881,USA,162
Jed Brophy,50197,New Zealand,433
Bobby Batson,2047,USA,849
Scott Takeda,40305,USA,981
Ryan O'Neal,12366,USA,385
Jennifer Jason Leigh,281649,Spain,1000
Jane Adams,3665,USA,280
Paz Vega,32382,USA,963
Jon Tenney,40618,USA,289
Mia Kirshner,12675,USA,971
Mark Webber,28845,USA,442
Tim Russ,5494,USA,625
Greg Germann,1900,USA,435
Darryl Cox,54478,USA,96
Joe Mantegna,6632,USA,1000
Bhoomika Chawla,1311,India,45
Megan Ambuhl Graner,3329,USA,0
Don Gordon,1599,Canada,59
Tyler Labine,127842,Canada,779
Ellen Burstyn,1560,USA,1000
Paul Fix,989,USA,116
John Heard,1884,USA,697
Marc Trottier,4041,Canada,680
Patch Darragh,65299,USA,309
Daniel Stewart Sherman,8824,USA,29
Jacqueline Bisset,1207,Germany,522
Dylan Minnette,3852,USA,1000
Sandra Staggs,7888,USA,21
Tony Corvillo,23756,Spain,93
Doug Bradley,10056,UK,337
Callum Blue,10734,USA,738
John Stamos,4322,USA,2000
Patricia Neal,215,USA,617
Dulé Hill,67315,USA,922
Felicity Huffman,12672,USA,508
Cyndi Lauper,83,USA,732
Jon Heder,1091,USA,970
Esai Morales,216,USA,699
Irène Jacob,6964,Bahamas,316
Sofia Black-D'Elia,237,UK,266
Sam Waterston,15988,USA,849
Natasha Henstridge,38,USA,900
Cody Howard,8,USA,763
Haley Joel Osment,849,USA,3000
Michael Dudikoff,928,USA,615
Ivan Barnev,6183,Czech Republic,12
Moritz Bleibtreu,29203,Germany,486
Dwight Yoakam,72443,USA,324
Imelda Staunton,46347,UK,579
Takashi Miike,138814,USA,1000
Shirley Henderson,11202,UK,887
Shea Whigham,68211,USA,463
Lukas Haas,4695,USA,733
Julie Walters,9611,UK,838
Greg Grunberg,4247,USA,833
Lou Perryman,19234,USA,28
Bob Dylan,13467,USA,476
Kristin Scott Thomas,83234,Denmark,1000
Isild Le Besco,262,France,40
Kate del Castillo,1427,USA,345
Diganth,57,India,0
Sharon Small,18940,UK,66
Gary Farmer,436,Canada,580
Jacques Gamblin,6304,France,52
Douglas Smith,421,Mexico,480
Elena Anaya,8867,Spain,1000
Matthew Sunderland,2776,New Zealand,10
Bubba Smith,87739,USA,760
Christopher Atkins,50125,USA,511
James Fleet,107923,UK,398
Judge Reinhold,71217,USA,901
Richard Basehart,13474,USA,169
Rosario Dawson,149528,USA,3000
Indiana Evans,6762,USA,560
Kevin Michael Richardson,41138,USA,441
Mark Margolis,573541,USA,1000
Jeanne Crain,2756,USA,135
Juan Luis Galiardo,2412,Spain,26
John Savage,15175,UK,652
Sarah Drew,10483,USA,416
Mary McDonnell,580999,USA,933
Gerardo Taracena,1592,Mexico,154
Fedja van Huêt,9171,Netherlands,20
Nicholas Gonzalez,32357,USA,601
Shirley Henderson,5465,USA,887
Yeong-ae Lee,53508,South Korea,126
Clovis Fouin,1213,France,12
Jason Flemyng,29463,UK,1000
Anthony Chau-Sang Wong,6919,Hong Kong,96
Dominique McElligott,7390,Spain,356
Artyom Bogucharskiy,35464,Sweden,2
Josh Charles,30836,USA,1000
Sana Saeed,781,India,82
Michael Berryman,680041,USA,721
Dove Cameron,917,USA,570
Dom DeLuise,12666,USA,842
Sameer Ali Khan,30977,India,26
Jonathan Crombie,14251,Canada,517
Michael J. Morris,4952,USA,298
Ray Winstone,16445,UK,1000
James Fox,43135,UK,146
Fares Fares,13443,Sweden,254
Rawiri Paratene,34232,New Zealand,20
Abhishek Bachchan,7295,India,374
Claude-Oliver Rudolph,15780,Switzerland,9
Cara Delevingne,39975,USA,559
Corbin Bleu,59254,USA,632
Daniella Alonso,3673,USA,557
Maury Chaykin,3407,UK,232
Aleksey Chadov,47097,Russia,28
Miranda Richardson,41361,UK,530
Susan Clark,31260,Canada,95
Shawn Roberts,17478,USA,529
Duane Jones,87978,USA,108
Bill Murray,321283,USA,13000
Carol Kane,192940,USA,636
Dorothy Lamour,9456,USA,178
María Valverde,128694,UK,892
Peter Boyle,71495,USA,595
J.D. Evermore,30219,USA,430
Valeria Golino,93894,USA,898
Lara Flynn Boyle,2806,USA,619
Clu Gulager,39857,USA,426
Harold Gould,9007,USA,222
Hill Harper,27198,USA,465
Katy Jurado,3102,USA,119
Dylan Minnette,3852,USA,1000
Mia Wasikowska,110616,USA,3000
Peter Jason,73501,USA,151
Donald Pleasence,165638,USA,742
Elaine Hendrix,12059,USA,670
Spencer Treat Clark,13506,France,541
Lorelei Linklater,266020,USA,193
Kevin McNally,66840,UK,427
Estella Warren,177729,USA,658
Dr. Dre,5612,USA,231
Mike Epps,1415,USA,706
Paul Sorvino,28714,USA,636
Kevin McCarthy,12981,USA,403
Joe Morton,13086,USA,780
William Hickey,2129,USA,246
Emily Meade,16411,USA,374
Belén Rueda,120189,Spain,273
Essence Atkins,14621,USA,713
Faye Dunaway,44339,USA,977
John Vernon,12677,USA,187
Chi McBride,19622,USA,466
Alicia Witt,78241,USA,975
Stephen McHattie,67949,USA,413
Alan Taylor,3611,USA,12
Zach Grenier,10073,USA,246
Fred Willard,22697,USA,729
Tyra Banks,4377,USA,625
Aaron Hughes,16224,USA,113
Lou Taylor Pucci,18762,USA,394
Michael Angarano,53342,USA,947
Gina McKee,20275,UK,291
Balinese Tari Legong Dancers,22457,USA,0
Eva LaRue,2308,USA,576
Blair Underwood,45293,USA,685
Alexandra Breckenridge,4091,USA,1000
Ricky Schroder,8535,USA,665
Saffron Burrows,2877,USA,811
Leos Carax,29440,France,227
Tye Sheridan,36494,USA,1000
Dan Futterman,6705,UK,254
Lane Smith,2705,USA,633
