director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,content_rating,budget,actor_2_facebook_likes
Lawrence Kasanoff,91,11,500,719,Foodfight! ,4377,0,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,PG,65000000,611
Ben Affleck,130,0,650,1000,Argo ,452465,1,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,R,44500000,660
Andrew Davis,130,99,812,11000,The Fugitive ,213668,1,http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,PG-13,44000000,1000
Andy Tennant,110,72,789,18000,The Bounty Hunter ,96565,1,http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,PG-13,40000000,1000
Barry Levinson,147,272,893,22000,Sleepers ,154487,3,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,R,44000000,11000
George P. Cosmatos,96,170,668,13000,Rambo: First Blood Part II ,117606,0,http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,R,44000000,738
Brian Gibson,118,13,643,23000,The Juror ,13995,1,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,R,44000000,2000
Norman Ferguson,88,3,40,1000,Pinocchio ,90360,0,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,Approved,2600000,48
Michael Cimino,325,517,678,12000,Heaven's Gate ,9830,0,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,R,44000000,849
Len Wiseman,102,235,520,956,Underworld: Evolution ,156225,1,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,R,50000000,845
Paul McGuigan,110,118,287,11000,Victor Frankenstein ,28618,2,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,PG-13,40000000,1000
Gus Van Sant,136,835,225,670,Finding Forrester ,73006,1,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,PG-13,43000000,370
Betty Thomas,103,84,664,12000,28 Days ,34597,1,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,PG-13,43000000,10000
Louis Leterrier,103,255,5000,11000,Unleashed ,85198,1,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,R,45000000,5000
Roger Kumble,90,16,16,44,The Sweetest Thing ,46158,3,http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,R,43000000,28
Sydney Pollack,154,521,957,10000,The Firm ,88844,0,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,R,42000000,1000
Burr Steers,99,23,135,405,Charlie St. Cloud ,47364,1,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,PG-13,44000000,268
Simon West,93,165,350,26000,The Mechanic ,117999,0,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,R,40000000,956
Phil Lord,109,97,839,17000,21 Jump Street ,408302,2,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,R,42000000,971
Roger Michell,124,50,427,8000,Notting Hill ,203269,1,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,PG-13,42000000,437
Peter Lord,84,91,206,579,Chicken Run ,140499,0,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,G,45000000,530
John Hamburg,90,29,650,22000,Along Came Polly ,106909,1,http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,PG-13,42000000,923
Reginald Hudlin,117,71,547,723,Boomerang ,20183,1,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,R,40000000,558
