director_name,duration,gross,genres,actor_1_name,cast_total_facebook_likes,facenumber_in_poster,content_rating,movie_facebook_likes
Ashish R. Mohan,141,352684,Action|Comedy,Asin,1065,1,Not Rated,365
Jaume Balagueró,85,27024,Horror,Jonathan D. Mellor,73,0,R,4000
Stewart Raffill,105,531806,Musical,Kayla Jackson,72,9,PG,277
George Roy Hill,129,159600000,Comedy|Crime|Drama,Eileen Brennan,2387,0,PG,0
Hugh Hudson,125,58800000,Biography|Drama|Sport,Alice Krige,1651,0,PG,0
Darren Grant,116,50382128,Comedy|Drama|Romance,Cicely Tyson,2723,0,PG-13,0
Scott Hicks,105,35811509,Biography|Drama|Music|Romance,Noah Taylor,888,0,PG-13,0
Joseph Gordon-Levitt,90,24475193,Comedy|Drama|Romance,Joseph Gordon-Levitt,44265,1,R,33000
Clint Eastwood,105,,Mystery|Western,Clint Eastwood,17599,0,R,0
Terry Zwigoff,111,6200756,Comedy|Drama,Scarlett Johansson,34106,0,R,5000
Richard Eyre,91,1292119,Biography|Drama|Romance,Kate Winslet,16768,1,R,0
William Sachs,95,,Comedy|Sci-Fi,Stephen Macht,396,0,R,438
Christophe Barratier,97,3629758,Drama|Music,Jean-Baptiste Maunier,745,0,PG-13,0
Émile Gaudreault,92,6239558,Comedy|Drama,Paul Sorvino,1033,0,R,352
James Cox,104,1056102,Crime|Drama|Mystery|Thriller,Alexis Dziena,1315,0,R,1000
Spike Lee,120,27545445,Drama,Ruby Dee,2892,2,R,0
James Toback,99,56007,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,6776,3,R,113
Aki Kaurismäki,93,611709,Comedy|Drama,Jean-Pierre Léaud,391,1,Not Rated,0
Gaspar Noé,99,753501,Crime|Drama|Mystery|Thriller,Philippe Nahon,118,0,Not Rated,13000
Hitoshi Matsumoto,99,22770,Comedy|Drama,Lindsay Kay Hayward,81,0,Unrated,543
Rakeysh Omprakash Mehra,157,2197331,Comedy|Drama|History|Romance,Anupam Kher,1519,0,Not Rated,0
Collin Schiffli,90,,Drama,Kim Shaw,2030,0,,679
George Ratliff,96,27445,Action|Comedy|Drama|Thriller,Jim Gaffigan,561,5,R,1000
David Wain,96,766487,Comedy|Romance,Jon Hamm,4883,4,R,915
Shane Meadows,90,18434,Comedy|Drama,Bob Hoskins,6111,2,R,484
Morten Tyldum,100,1196752,Crime|Drama|Thriller,Aksel Hennie,385,3,R,23000
Jon Wright,94,,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,1832,0,Not Rated,11000
Michael McGowan,98,795126,Comedy|Drama|Sport,Campbell Scott,955,1,PG-13,989
Liv Ullmann,129,,Drama|Romance,Samantha Morton,631,2,PG-13,0
Jeannot Szwarc,103,,Drama|Fantasy|Romance,Teresa Wright,454,2,PG,0
Rohan Sippy,128,563699,Action|Crime|Drama|Thriller,Abhishek Bachchan,787,0,R,421
James Wan,106,83574831,Fantasy|Horror|Thriller,Lin Shaye,2975,0,PG-13,35000
Darren Lynn Bousman,95,87025093,Horror|Mystery,Emmanuelle Vaugier,4134,0,R,0
Dan Trachtenberg,104,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,14504,0,PG-13,33000
Jeff Tremaine,87,64267897,Comedy|Documentary,Bam Margera,1770,0,R,0
David F. Sandberg,81,56536016,Horror,Billy Burke,3344,0,PG-13,0
Henry Joost,94,104007828,Horror,Johanna Braddy,2371,0,R,24000
Stiles White,89,50820940,Fantasy|Horror,Lin Shaye,5056,0,PG-13,18000
Chuck Russell,88,44793200,Action|Fantasy|Horror|Thriller,John Saxon,1584,0,X,0
Joel Edgerton,108,43771291,Mystery|Thriller,Busy Philipps,3215,1,R,15000
Eugenio Derbez,115,44456509,Comedy|Drama,Eugenio Derbez,688,1,PG-13,14000
Henry Joost,96,53884821,Horror,Matt Shively,799,0,R,26000
Henry Koster,135,36000000,Drama|History,Richard Burton,1920,1,Unrated,0
Blake Edwards,113,,Comedy|Crime|Mystery,Burt Kwouk,971,0,G,620
Rachel Talalay,93,34872293,Comedy|Fantasy|Horror|Thriller,Johnny Depp,42002,0,R,963
Patty Jenkins,109,34468224,Biography|Crime|Drama|Thriller,Charlize Theron,11736,2,R,0
Richard Fleischer,127,,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,799,0,Approved,0
Christopher Landon,101,32453345,Fantasy|Horror|Thriller,Richard Cabral,2161,0,R,10000
David Lynch,124,,Biography|Drama,Anthony Hopkins,13864,1,PG,9000
Jean-Marc Vallée,117,27296514,Biography|Drama,Matthew McConaughey,17738,0,R,65000
David Gelb,83,25799043,Horror|Sci-Fi|Thriller,Olivia Wilde,11771,0,PG-13,0
Christopher Nolan,113,25530884,Mystery|Thriller,Callum Rennie,1997,0,R,40000
Mike Flanagan,104,27689474,Horror|Mystery,James Lafferty,2071,0,R,23000
Kevin Smith,97,24138847,Comedy,Ethan Suplee,2990,3,R,0
Stephen Daldry,110,21994911,Drama|Music,Julie Walters,1122,0,R,0
Nat Faxon,103,21501098,Comedy|Drama,Steve Carell,8375,1,PG-13,22000
George Jackson,94,19281235,Comedy|Drama|Music|Romance,William Schallert,2523,0,R,232
George Miller,102,,Adventure|Drama|Family|Romance|Western,Tony Bonner,854,0,PG,0
Maurice Joyce,77,19421271,Animation|Comedy|Family,Frank Welker,2908,1,G,122
Robert Duvall,134,20733485,Drama,John Beasley,428,1,PG-13,1000
Frank Perry,129,,Biography|Drama,Faye Dunaway,2014,1,R,0
Jesse Peretz,90,24809547,Comedy|Drama,Zooey Deschanel,15710,1,R,11000
Stephen Hopkins,134,19097994,Biography|Drama|Sport,William Hurt,2410,0,PG-13,0
Ice Cube,104,23031390,Comedy|Drama,Bernie Mac,2868,9,R,575
Tim Blake Nelson,95,16017403,Drama|Romance|Thriller,Mekhi Phifer,3300,2,R,0
John Erick Dowdle,93,21197315,Horror|Mystery|Thriller,Ben Feldman,1410,0,R,14000
Bille Woodruff,106,17382982,Drama|Thriller,Boris Kodjoe,2840,0,R,0
Kasi Lemmons,109,14821531,Drama,Jurnee Smollett-Bell,3843,2,R,599
Richard Glatzer,101,18656400,Drama,Kristen Stewart,19673,1,PG-13,45000
Michael Curtiz,139,,Drama|History,Gene Tierney,2112,0,Approved,376
Bruce Malmuth,99,,Action|Crime|Thriller,Sylvester Stallone,14306,2,R,0
Rob Hedden,100,14343976,Adventure|Horror,Kane Hodder,1327,0,R,1000
Joel Zwick,95,241437427,Comedy|Family|Romance,Nia Vardalos,1495,3,PG,5000
Harmony Korine,94,14123773,Crime|Drama,James Franco,12306,4,R,25000
Joe Chappelle,93,15126948,Horror|Thriller,Donald Pleasence,1227,0,R,0
Alfonso Cuarón,106,13622333,Adventure|Comedy|Drama|Romance,Maribel Verdú,361,1,R,0
Edgar Wright,99,13464388,Comedy|Horror,Peter Serafinowicz,1686,6,R,19000
Mickey Liddell,82,13350177,Drama|Horror|Thriller,Jessica Lowndes,4856,5,PG-13,562
John Sayles,135,13269963,Drama|Mystery,Matthew McConaughey,11400,2,R,0
Dwight H. Little,88,17768000,Horror|Thriller,Donald Pleasence,1136,0,R,0
Fred Walton,89,12947763,Horror|Mystery,Thomas F. Wilson,1160,0,R,0
Barry Levinson,110,14100000,Comedy|Drama,Steve Guttenberg,2943,6,R,0
Steve Carver,107,12200000,Action|Crime|Drama|Thriller|Western,David Carradine,2383,0,PG,0
Gonzalo López-Gallego,86,17683670,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,1520,0,PG-13,0
Christine Jeffs,91,12055108,Comedy|Drama,Clifton Collins Jr.,2528,0,R,0
John Erick Dowdle,103,27285953,Action|Thriller,Sterling Jerins,259,0,R,16000
Don Coscarelli,90,,Action|Adventure|Fantasy,Vanna Bonta,23714,0,PG,0
King Vidor,141,,Drama|History|Romance|War,Gina Lollobrigida,1332,2,,270
Michael Tiddes,92,11675178,Comedy,Fred Willard,2848,4,R,11000
Bill Duke,99,10572742,Drama|Romance,Eddie Cibrian,2269,1,PG-13,738
Frank Borzage,79,,Drama|Romance|War,Gary Cooper,1284,1,Unrated,213
Bille Woodruff,96,9658370,Comedy|Romance,Donald Faison,3552,6,R,740
Mamoru Hosoda,82,9628751,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,315,0,PG,207
Brian Dannelly,92,8786715,Comedy|Drama,Macaulay Culkin,5668,5,PG-13,0
Denys Arcand,112,3432342,Comedy|Crime|Drama|Mystery|Romance,Marie-Josée Croze,253,2,R,0
