director_facebook_likes,actor_1_name,country,content_rating,movie_facebook_likes
10,Nia Long,USA,R,0
19,Leighton Meester,Official site,PG-13,0
119,Bruce Greenwood,Australia,R,673
310,Ryan Gosling,USA,R,47000
79,Luke Bracey,USA,R,0
11,Jason Priestley,Canada,R,327
0,Jeremy Renner,USA,R,16000
73,Heather Locklear,USA,R,0
181,Brad Pitt,USA,R,20000
210,Philip Seymour Hoffman,UK,R,13000
374,Rip Torn,USA,R,0
12,Yuri Lowenthal,USA,G,175
0,Bono,USA,G,116
36,Christopher Lambert,USA,R,356
16,Cicely Tyson,USA,R,489
92,Anne Hathaway,USA,PG-13,49000
0,Daniel Stern,USA,PG-13,10000
34,Vin Diesel,USA,R,566
164,Louis Lombardi,USA,R,622
745,Jeff Bridges,USA,PG-13,251
34,Kevin McNally,USA,PG-13,1000
11000,Woody Allen,USA,PG,877
9,Trevor Morgan,Canada,G,436
561,Rick Yune,USA,R,29000
23,Catherine O'Hara,USA,PG-13,247
4,Bruce Greenwood,USA,PG-13,648
0,Robert De Niro,UK,R,16000
80,Oliver James,USA,PG,1000
,David Ogden Stiers,Canada,TV-14,576
0,Philip Seymour Hoffman,USA,R,35000
153,Justin Timberlake,USA,R,0
41,Khandi Alexander,USA,R,455
187,Angelina Jolie Pitt,USA,R,923
9,James Franco,USA,PG-13,816
2,Vivica A. Fox,USA,R,1000
32,Colin Firth,UK,PG,0
45,Jennifer Jason Leigh,USA,Unrated,515
6,Logan Lerman,USA,PG,647
454,Elizabeth Berrington,UK,R,32000
24,Tyler James Williams,USA,PG-13,0
11,Emma Stone,USA,PG-13,0
96,J.K. Simmons,USA,PG-13,0
835,Matt Damon,USA,R,10000
11000,Larry David,USA,PG-13,10000
52,Matthew Settle,USA,PG-13,157
0,Levon Helm,France,R,0
0,Robin Williams,France,PG-13,0
1000,Robert Downey Jr.,USA,R,0
6,Vivica A. Fox,USA,R,0
0,Naomi Watts,France,R,16000
18,Olivier Martinez,USA,PG-13,0
11000,Anthony Hopkins,USA,R,0
132,Andrew Garfield,UK,R,33000
,Anna Silk,USA,,733
122,Thomas Kretschmann,Spain,R,0
70,Curtis Armstrong,USA,R,843
0,Meat Loaf,USA,PG-13,391
0,Naomi Watts,USA,R,0
5,Thomas Stroppel,Cambodia,,708
460,Bob Hoskins,Canada,PG-13,284
756,Brigitte Helm,Germany,Not Rated,12000
180,David Belle,France,R,0
39,Steve Buscemi,USA,R,0
141,Qi Shu,Taiwan,Not Rated,0
34,Dean Stockwell,UK,R,664
445,Konstantin Lavronenko,Russia,Unrated,0
0,Nirut Sirichanya,Thailand,R,0
197,Michael Fassbender,UK,R,0
85,Christopher Heyerdahl,Canada,R,154
129,Bradley Cooper,USA,R,0
36,Jennifer Hudson,South Africa,R,705
68,Channing Tatum,USA,R,0
24,Eddie Izzard,Germany,PG-13,193
17,Stephen Graham,USA,R,445
15,Anna Friel,Slovakia,R,0
0,Liam Neeson,South Africa,Not Rated,0
19,Birgitte Hjort Sørensen,Bulgaria,R,13000
93,Bruce Payne,Germany,Not Rated,473
6,Maximilian Dirr,Italy,,18
3,Bingbing Fan,Hong Kong,R,821
67,Samantha Morton,UK,PG-13,277
11000,Bill Murray,USA,PG,38000
13,Matt Bomer,USA,R,41000
1000,Leonardo DiCaprio,USA,PG-13,10000
15,Kristin Scott Thomas,France,PG-13,0
5,Sharon Leal,USA,R,998
16000,Clint Eastwood,USA,R,10000
3000,Bryce Dallas Howard,Denmark,Not Rated,1000
0,Anil Kapoor,UK,R,13000
213,Fred Gwynne,USA,R,3000
0,Julia Roberts,USA,R,11000
0,Martin Short,Canada,,0
5,Paul Hogan,Australia,PG,489
34,María Valverde,USA,R,0
0,Tom Cruise,USA,R,4000
226,Doug E. Doug,USA,PG,0
71,Jensen Ackles,USA,R,0
30,Kyra Sedgwick,USA,PG-13,17000
270,Sylvester Stallone,USA,R,0
41,Chris Brown,USA,PG-13,0
43,Caroline Munro,UK,PG,0
,Amy Bruni,USA,,373
9,Alicia Witt,USA,R,0
350,Keanu Reeves,USA,R,0
0,Eddie Cibrian,USA,PG-13,0
116,Seymour Cassel,USA,PG,0
54,Will Ferrell,USA,PG-13,2000
58,Meryl Streep,UK,PG-13,18000
12,Phil Vischer,USA,G,184
309,Janet Jackson,USA,R,0
10,Mike Epps,USA,R,530
0,John Witherspoon,USA,R,1000
128,Linda Blair,USA,R,889
31,Sissy Spacek,UK,PG-13,0
119,Carmen Electra,USA,PG-13,411
123,Chris Hemsworth,USA,R,4000
44,America Ferrera,USA,PG-13,1000
0,Alyson Hannigan,USA,R,645
160,Lily Tomlin,Italy,PG,970
85,Joe Mantegna,USA,R,0
17000,Robert De Niro,USA,PG,932
0,Alfre Woodard,USA,PG-13,905
0,Steve Buscemi,USA,R,488
52,Peter Mensah,USA,R,0
189,Frankie Muniz,USA,PG,896
0,Anthony Hopkins,USA,R,0
70,Monica Potter,USA,PG-13,613
90,Thomas McDonell,USA,PG-13,0
232,Emmanuelle Seigner,France,PG-13,13000
143,Kate Winslet,USA,R,5000
49,Norman Reedus,USA,R,853
956,Viggo Mortensen,USA,R,860
176,Derek Luke,France,PG-13,447
12,Melissa Sagemiller,USA,PG-13,231
133,Seth Gilliam,France,PG-13,127
11,Colin Firth,UK,PG-13,2000
109,Christopher Lee,Iran,PG,76
608,Lesley Manville,UK,R,0
752,Mathieu Amalric,France,PG,512
333,Sebastian Koch,France,Unrated,0
2,Woo-sung Jung,China,R,1000
168,John Heard,USA,R,702
50,Matt Damon,USA,R,0
10,Steve Howey,Canada,R,934
0,Madeline Carroll,USA,PG,14000
0,Jake Gyllenhaal,USA,R,13000
473,Noel Fisher,USA,PG-13,62000
143,Donald Faison,USA,PG-13,0
162,Dennis Quaid,USA,PG-13,0
38,Adam Scott,USA,R,0
,Krystyna Janda,Poland,TV-MA,0
133,Kate Winslet,UK,R,0
454,Abbie Cornish,UK,R,52000
148,Colm Feore,USA,R,329
,Jacek Koman,Poland,,64
101,Thomas Kretschmann,Germany,R,14000
448,Belén Rueda,Spain,PG-13,0
143,Scarlett Johansson,UK,R,29000
272,Robin Williams,USA,R,0
26,Jason Mewes,South Korea,PG-13,502
209,Usher Raymond,USA,G,62000
0,Natalie Portman,USA,R,106000
294,Gary Oldman,USA,PG-13,60000
0,Robert De Niro,USA,R,14000
49,Sean Patrick Thomas,USA,PG-13,0
212,Tuesday Knight,USA,R,0
36,Jennifer Garner,USA,PG,16000
8,Jennifer Garner,USA,PG-13,0
58,Jack Palance,USA,R,0
51,Bill Murray,USA,PG-13,33000
38,Joe Lo Truglio,USA,R,0
19,Joseph Gordon-Levitt,USA,PG-13,10000
13,Zooey Deschanel,USA,PG-13,1000
0,Jon Lovitz,USA,PG-13,0
174,Óscar Jaenada,USA,PG-13,0
19,Logan Lerman,USA,R,15000
13,Chris Elliott,USA,PG,0
17,Mekhi Phifer,USA,PG-13,0
84,Kathleen Turner,USA,PG,0
6,Bokeem Woodbine,USA,R,934
15,Gregory Smith,USA,PG,833
5,Jenny Agutter,USA,R,0
12,Leslie Bibb,USA,PG-13,0
0,Toby Jones,USA,R,20000
232,Elina Alminas,UK,R,109000
0,Willie Garson,USA,R,0
7,Mo'Nique,USA,R,593
13,Teo Halm,USA,PG,0
134,Kirsten Dunst,USA,PG-13,0
16000,Yuki Matsuzaki,USA,R,5000
35,J.K. Simmons,USA,PG,862
18,LL Cool J,USA,R,204
412,Joan Allen,Ireland,R,72000
799,Don Rickles,Canada,PG-13,679
0,Kathleen Turner,USA,R,3000
26,Ryan Reynolds,France,PG-13,0
76,Michael Nyqvist,Sweden,,22
7,Rosario Dawson,USA,R,251
15,Salma Hayek,USA,R,0
2,Jake Gyllenhaal,USA,PG-13,0
16,Mark Gatiss,UK,R,618
24,Justin Chon,USA,R,11000
107,Steve Buscemi,France,R,0
37,Harry Lennix,USA,PG-13,689
80,Tina Fey,USA,PG-13,5000
83,Emir Kusturica,France,R,186
460,Liam Neeson,USA,R,0
150,Chazz Palminteri,USA,R,69
260,Natalie Portman,USA,R,10000
0,Peter Dinklage,Germany,R,0
139,Logan Lerman,USA,PG-13,131000
29,Burt Young,USA,R,107
41,Toby Jones,USA,R,0
187,Milla Jovovich,UK,R,141
83,Djimon Hounsou,USA,PG-13,0
115,John Boyega,UK,R,18000
11000,Jelena Jovanova,USA,R,0
122,Michael Imperioli,USA,R,23000
32,Liam Neeson,South Korea,,139
0,Steve Irwin,Australia,PG,332
43,Dameon Clarke,France,R,11000
218,Rae Dawn Chong,Canada,R,0
18000,Denzel Washington,USA,PG-13,0
97,Gabriel Millman,USA,PG-13,0
12000,Brad Pitt,USA,R,15000
28,Eva Green,Germany,Unrated,0
164,Kevin Spacey,USA,R,0
187,Liam Aiken,USA,R,0
261,Ed Begley Jr.,USA,R,0
10,Julian Morris,USA,R,0
19,David Niven,USA,Approved,337
44,Ryan Gosling,USA,PG-13,19000
39,Richard Johnson,UK,PG-13,38000
3000,Catherine Deneuve,Denmark,R,0
44,Tom Wilkinson,USA,R,329
220,Isabella Rossellini,USA,R,344
34,Jenna Fischer,USA,R,0
20,Robert De Niro,USA,R,44000
60,Kevin Spacey,Canada,R,0
383,Judith Barsi,USA,G,5000
16,Min-sik Choi,South Korea,R,0
50,Clifton Collins Jr.,Canada,PG,0
607,Ellen Burstyn,USA,R,18000
14000,Roy Scheider,USA,PG,21000
80,Alyson Hannigan,USA,R,0
2,Mackenzie Foy,France,PG,0
23,Victor Wong,USA,PG-13,0
167,Chris Brown,USA,PG-13,0
167,Sean Patrick Thomas,USA,PG-13,770
120,Leonard Nimoy,USA,PG,0
293,Sean Young,USA,PG-13,0
139,Matthew Broderick,USA,PG,0
608,Harrison Ford,USA,R,0
16,Alex Veadov,USA,R,15000
98,Channing Tatum,USA,PG-13,0
406,Bruce Willis,USA,PG-13,0
16000,Robert De Niro,USA,R,0
22,Danneel Ackles,USA,R,0
128,Michael Kelly,USA,PG-13,32000
0,Miriam Margolyes,UK,PG,0
0,Shelley Duvall,UK,PG,0
33,Britney Spears,USA,PG-13,0
166,Dax Flame,USA,R,29000
76,George C. Scott,USA,GP,0
132,Robin Williams,USA,R,0
66,Andrew Fiscella,USA,R,0
0,Chloë Grace Moretz,USA,PG-13,0
4,Vanessa Williams,USA,PG-13,243
58,Hector Elizondo,USA,R,0
53,Steven Mackintosh,USA,G,0
258,Eva Green,UK,PG-13,0
278,Salma Hayek,USA,R,0
4,Lexie Contursi,USA,PG,0
131,Shailene Woodley,USA,PG-13,93000
131,Matt Damon,USA,R,0
0,Rosario Dawson,USA,R,0
287,Talia Shire,USA,PG,902
192,Illeana Douglas,USA,R,0
,Peter Mensah,USA,TV-MA,31000
350,Steve Coogan,UK,PG-13,37000
57,Alicia Witt,USA,R,549
76,Laurence Olivier,UK,R,0
20,Tammin Sursok,USA,PG,0
14,Nat Wolff,USA,PG-13,0
17,Michael Imperioli,USA,PG-13,151
729,Devin Ratray,USA,R,28000
226,CCH Pounder,USA,R,0
25,Noel Fisher,USA,PG,371
655,Charlize Theron,USA,R,0
83,Jason Statham,USA,R,0
3,Bernie Mac,USA,R,439
98,Holly Hunter,USA,R,242
43,Common,USA,PG,0
438,Anne Hathaway,USA,R,0
30,Anjelica Huston,USA,R,1000
73,Scarlett Johansson,UK,PG-13,0
249,Jürgen Prochnow,West Germany,R,11000
102,Dennis Quaid,USA,PG-13,701
32,Heather Matarazzo,USA,R,507
628,Tom Hughes,UK,R,105000
611,Takeshi Kaneshiro,China,PG-13,0
27,Nate Parker,USA,R,0
16,Gary Weeks,USA,PG-13,0
67,Cedric the Entertainer,USA,R,0
25,Sarah Silverman,USA,PG-13,262
216,Christopher Lambert,Australia,R,1000
378,John Michael Higgins,USA,PG-13,650
11000,Melanie Griffith,USA,R,652
708,Jill Clayburgh,USA,R,0
7,Anika Noni Rose,USA,PG,0
0,Michael Imperioli,USA,R,251
319,Jennifer Jason Leigh,Australia,R,656
115,Isabella Rossellini,USA,R,0
40,Bob Hoskins,UK,R,305
584,Doona Bae,South Korea,R,7000
55,Robert Duvall,USA,PG,135
61,Jeremy Davies,Czech Republic,R,0
20,Robert Downey Jr.,USA,R,0
667,Toni Servillo,Italy,Not Rated,29000
0,Kieran Culkin,USA,R,677
0,Mia Wasikowska,UK,R,27000
0,Li Gong,Hong Kong,R,0
60,David Richmond-Peck,USA,PG-13,314
19,Eamonn Walker,USA,PG,0
277,Tony Curran,Ireland,PG-13,0
0,Omar Epps,USA,R,0
94,Michael Jeter,USA,R,423
0,Kyra Sedgwick,Australia,R,88
26,Eva Amurri Martino,USA,R,1000
759,Dianne Wiest,USA,PG-13,0
7,Zack Ward,Germany,R,0
45,Marcell Nagy,Hungary,R,607
18,Bruce Willis,USA,R,458
611,Honglei Sun,China,R,784
165,David Hewlett,USA,R,0
14,Ye Liu,China,R,0
