director_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,budget,imdb_score,aspect_ratio
32,483,11546543,Action|Comedy,Andy Lau,The Legend of Drunken Master ,34520,Ho-Sung Pak,1,battle|fight|fighting|martial artist|snake,146,Cantonese,Hong Kong,2000000,7.6,2.35
0,618,,Crime|Drama|Romance,James Mason,Lolita ,67825,Lois Maxwell,0,lolita|nymphet|older man young girl relationship|professor|writer,207,English,UK,2000000,7.7,1.66
108,173,11533945,Biography|Crime|Drama|Romance,Alicia Goranson,Boys Don't Cry ,77551,Jeannetta Arnette,0,drinking|female dressed as male|love|nebraska|transgender,434,English,USA,2000000,7.6,1.85
9,120,12555230,Drama|Horror|Mystery|Thriller,Eric Sheffer Stevens,Silent House ,18566,Adam Trese,0,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,154,English,France,2000000,5.3,1.85
207,380,11284657,Drama|Thriller,Sebastian Koch,The Lives of Others ,259379,Martina Gedeck,3,east germany|police|secret police|stasi|writer,407,German,Germany,2000000,8.5,2.35
589,690,34522221,Drama,Ben Davies,Courageous ,15401,T.C. Stallings,7,faith|fatherhood|integrity|police|responsibility,175,English,USA,2000000,7.0,2.35
31,654,,Drama|Sport,George C. Scott,The Hustler ,62860,Murray Hamilton,1,drink|manager|money|partner|pool hall,167,English,USA,2000000,8.0,2.35
6,1000,,Adventure|Drama|Romance|Western,Hedy Lamarr,Boom Town ,2269,Claudette Colbert,8,oil|oil field|oil tycoon|partnership|wildcatter,34,English,USA,1614000,7.1,1.37
162,23,7002255,Animation|Comedy|Drama,Michel Robin,The Triplets of Belleville ,42462,Béatrice Bonifassi,0,belleville|dog|mafia|tour de france|very little dialogue,312,French,France,9500000,7.8,1.66
149,912,6719300,Comedy|Drama,Michael Greyeyes,Smoke Signals ,8224,Gary Farmer,3,family abandonment|fire|loss of father|native american protagonist|native american reservation,132,English,Canada,2000000,7.2,1.85
30,14000,6003587,Biography|Comedy|Drama,Josh Hutcherson,American Splendor ,41999,Daniel Tay,0,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,226,English,USA,,7.5,1.85
0,50,5792822,Drama|Romance,Vernon Dobtcheff,Before Sunset ,168398,Marie Pillet,0,book|bookstore|love|simultaneity|train,492,English,USA,2700000,8.0,1.85
0,85,5383834,Drama|Thriller,Adriana Barraza,Amores Perros ,173551,Goya Toledo,0,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,361,Spanish,Mexico,2000000,8.1,1.85
308,1000,4599680,Drama,Holly Hunter,Thirteen ,68222,Kip Pardue,2,13 year olds|adolescence|friend|peer pressure|teacher,545,English,USA,1500000,6.8,1.85
603,936,,Drama|Romance,Dean Stockwell,Gentleman's Agreement ,10791,John Garfield,3,bigotry|jewish|prejudice|racism|writer,113,English,USA,2000000,7.4,1.37
81,34000,6531491,Drama,Jennifer Lawrence,Winter's Bone ,111658,Lauren Sweetser,2,bail|crystal meth|family relationships|female protagonist|search for father,297,English,USA,2000000,7.2,1.85
162,21,4581222,Adventure|Documentary|Drama|Sport,Nicholas Aaron,Touching the Void ,26926,Joe Simpson,0,bone|climbing|crevasse|partner|rope,156,English,UK,,8.1,1.85
85,480,,Drama|Musical|Romance,Tyrone Power,Alexander's Ragtime Band ,1381,John Carradine,2,band|dance|ragtime|singer|violinist,29,English,USA,2000000,7.0,1.37
244,538,3885134,Comedy|Drama,Najarra Townsend,Me and You and Everyone We Know ,31130,Miranda July,0,fellatio|seven word title|shoe salesman|title directed by female|written by director,243,English,USA,2000000,7.4,1.85
